#@string, string, string, string, string, string, string, ra, dec, string, int, float, float, float, string, string, float, string, string, string, string, string, string, float
dataproduct_type,obs_collection,instrument,filters,wavelength_region,target_name,obs_id,s_ra,s_dec,proposal_pi,calib_level,t_min,t_max,t_exptime,target_classification,obs_title,t_obs_release,proposal_id,objID,s_region,jpegURL,obsid,project,distance
image,HST,ACS/WFC,F555W,OPTICAL,NGC419,J96123030,17.09060146,-72.87914544,GALLAGHER,3,53924.73111,53924.74581,40,EXT-CLUSTER,,54290.30655,10396,2001915975,POLYGON 17.19020691 -72.84667079 17.00234126 -72.85608053 17.01410541 -72.91149996 17.20789275 -72.90328659 17.19020691 -72.84667079 17.19020691 -72.84667079,http://archive.stsci.edu/hst/previews/J961/J96123030_256.jpg,2000966232,DADS,1041.867617
image,HST,ACS/WFC,F555W,OPTICAL,NGC419,J96123040,17.09060146,-72.87914544,GALLAGHER,3,53924.74767,53924.82537,1984,EXT-CLUSTER,,54290.34179,10396,2001920516,POLYGON 17.19020691 -72.84667079 17.00234126 -72.85608053 17.01410541 -72.91149996 17.20789275 -72.90328659 17.19020691 -72.84667079 17.19020691 -72.84667079,http://archive.stsci.edu/hst/previews/J961/J96123040_256.jpg,2000970776,DADS,1041.867617
image,HST,ACS/WFC,f814w,OPTICAL,NGC416,HST_10396_01_ACS_WFC_F814W,16.98184326,-72.36598114,Gallagher,3,53696.6611,53696.74867,1916,,,54062.05403,10396,2002381411,POLYGON J2000 16.96523070 -72.32439610 16.96396625 -72.32494666 16.96255950 -72.32458780 16.91037400 -72.34727340 16.91194783 -72.34767508 16.91165750 -72.34780110 16.91205606 -72.34790282 16.91191810 -72.34796270 16.95281071 -72.35838891 16.91006550 -72.34778273 16.90988140 -72.34773700 16.90861501 -72.34827779 16.90720640 -72.34792790 16.85248990 -72.37125460 16.85408350 -72.37165066 16.85377330 -72.37178270 16.85417747 -72.37188315 16.85403380 -72.37194430 16.99909850 -72.40787180 16.99924203 -72.40781051 17.00036641 -72.40733040 17.00178090 -72.40767950 17.05529398 -72.38479213 17.05582600 -72.38456422 17.05641500 -72.38431190 17.05441056 -72.38381748 17.05486290 -72.38362370 17.05463801 -72.38356822 17.05489474 -72.38345644 17.05630730 -72.38381450 17.10715344 -72.36164172 17.10841530 -72.36109060 17.10643647 -72.36058925 17.10686360 -72.36040270 16.96579527 -72.32454011 16.96523070 -72.32439610,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10396_01_ACS_WFC_F814W&size=ALL&format=jpeg&output_size=256,2001168859,HLA,1856.754055
image,HST,ACS/WFC,F814W,OPTICAL,NGC416,J96101010,16.99004627,-72.36269658,GALLAGHER,3,53696.66109,53696.6695,20,EXT-CLUSTER,,54061.97632,10396,2001916310,POLYGON 17.10439857 -72.35998764 16.96489743 -72.3240335 16.85351368 -72.37062469 16.99963469 -72.40637241 17.10439857 -72.35998764 17.10439857 -72.35998764,http://archive.stsci.edu/hst/previews/J961/J96101010_256.jpg,2000966567,DADS,1861.560921
image,HST,ACS/WFC,F814W,OPTICAL,NGC416,J96101020,16.99004627,-72.36269658,GALLAGHER,3,53696.67137,53696.74867,1896,EXT-CLUSTER,,54062.05403,10396,2001920502,POLYGON 17.10439857 -72.35998764 16.96489743 -72.3240335 16.85351368 -72.37062469 16.99963469 -72.40637241 17.10439857 -72.35998764 17.10439857 -72.35998764,http://archive.stsci.edu/hst/previews/J961/J96101020_256.jpg,2000970762,DADS,1861.560921
image,HST,ACS/WFC,F555W,OPTICAL,NGC416,J96101030,16.99004627,-72.36269658,GALLAGHER,3,53696.78434,53696.79047,40,EXT-CLUSTER,,54062.06837,10396,2001916311,POLYGON 17.10439857 -72.35998764 16.96489743 -72.3240335 16.85351368 -72.37062469 16.99963469 -72.40637241 17.10439857 -72.35998764 17.10439857 -72.35998764,http://archive.stsci.edu/hst/previews/J961/J96101030_256.jpg,2000966568,DADS,1861.560921
image,HST,ACS/WFC,F555W,OPTICAL,NGC416,J96101040,16.99004627,-72.36269658,GALLAGHER,3,53696.8023,53696.80806,0,EXT-CLUSTER,,54062.06844,10396,2001920503,POLYGON 17.10439857 -72.35998764 16.96489743 -72.3240335 16.85351368 -72.37062469 16.99963469 -72.40637241 17.10439857 -72.35998764 17.10439857 -72.35998764,http://archive.stsci.edu/hst/previews/J961/J96101040_256.jpg,2000970763,DADS,1861.560921
image,HST,ACS/WFC,f555w,OPTICAL,NGC416,HST_10396_21_ACS_WFC_F555W,16.96857791,-72.34815601,Gallagher,3,53802.63233,53802.69457,2024,,,54168.1149,10396,2002381419,POLYGON J2000 16.88829068 -72.36344065 16.94050060 -72.38587130 16.94273640 -72.38547977 16.94316870 -72.38566520 17.10326580 -72.35751980 17.10198325 -72.35697191 17.10357270 -72.35669140 17.05209342 -72.33466679 17.05081480 -72.33411890 17.04903846 -72.33443214 17.04874620 -72.33430690 17.04829556 -72.33438636 17.04815610 -72.33432660 17.00189304 -72.34247515 17.04933925 -72.33385860 17.04954330 -72.33382150 17.04829356 -72.33327717 17.04985320 -72.33299360 16.99600500 -72.30950240 16.99424277 -72.30982256 16.99393780 -72.30968930 16.99348960 -72.30977073 16.99334880 -72.30970920 16.83287420 -72.33875110 16.83301457 -72.33881269 16.83411724 -72.33929650 16.83255190 -72.33957870 16.88627890 -72.36311460 16.88829375 -72.36275109 16.88849845 -72.36271416 16.88894420 -72.36290910 16.88919415 -72.36286400 16.88945470 -72.36297611 16.88785970 -72.36325520 16.88829068 -72.36344065,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10396_21_ACS_WFC_F555W&size=ALL&format=jpeg&output_size=256,2001168867,HLA,1889.320915
image,HST,ACS/WFC,f814w,OPTICAL,NGC416,HST_10396_21_ACS_WFC_F814W,16.96857669,-72.34815535,Gallagher,3,53802.53329,53802.6176,1916,,,54168.02286,10396,2002381418,POLYGON J2000 16.83412055 -72.33929628 16.83255560 -72.33957840 16.88628080 -72.36311300 16.88850059 -72.36271253 16.88894620 -72.36290740 16.88919533 -72.36286245 16.88945478 -72.36297408 16.88786010 -72.36325310 16.94050020 -72.38586810 16.94273636 -72.38547653 16.94316830 -72.38566180 17.10103038 -72.35791236 17.10325960 -72.35751900 17.10197779 -72.35697144 17.10356810 -72.35669080 17.05165685 -72.33448201 17.05081060 -72.33411940 17.04903362 -72.33443274 17.04874090 -72.33430730 17.04829072 -72.33438668 17.04815170 -72.33432710 17.00190622 -72.34247206 17.04732660 -72.33422407 17.04953930 -72.33382180 17.04828966 -72.33327753 17.04985020 -72.33299380 16.99680377 -72.30985346 16.99600350 -72.30950380 16.99424042 -72.30982411 16.99393580 -72.30969100 16.99348836 -72.30977228 16.99334720 -72.30971060 16.83287730 -72.33875080 16.83412055 -72.33929628,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10396_21_ACS_WFC_F814W&size=ALL&format=jpeg&output_size=256,2001168866,HLA,1889.330563
image,HST,ACS/WFC,F814W,OPTICAL,NGC416,J96121010,16.97505259,-72.35132613,GALLAGHER,3,53802.53328,53802.53918,20,EXT-CLUSTER,,54167.92411,10396,2001916324,POLYGON 17.10357316 -72.35726368 16.99669154 -72.30972939 16.83643287 -72.33913672 16.9443917 -72.38481828 17.10357316 -72.35726368 17.10357316 -72.35726368,http://archive.stsci.edu/hst/previews/J961/J96121010_256.jpg,2000966581,DADS,1894.755929
