#@string, string, string, string, string, string, string, ra, dec, string, int, float, float, float, string, string, float, string, string, string, string, string, string, float
dataproduct_type,obs_collection,instrument,filters,wavelength_region,target_name,obs_id,s_ra,s_dec,proposal_pi,calib_level,t_min,t_max,t_exptime,target_classification,obs_title,t_obs_release,proposal_id,objID,s_region,jpegURL,obsid,project,distance
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT03IIQ,80.55827988483,-69.49782503515,DIAZ-MILLER,2,53851.1197,53851.12368,343,UNIDENTIFIED,,53851.81095,10753,2001281477,POLYGON GSC1  80.67670190 -69.50115094  80.56551090 -69.45881358  80.44035422 -69.49496862  80.55181211 -69.53540895  80.67670190 -69.50115094,http://archive.stsci.edu/hst/previews/J9IT/J9IT03IIQ_256.jpg,2000299557,DADS,5325.4786294092
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT03IOQ,80.55667956436,-69.50026535568,DIAZ-MILLER,2,53851.13742,53851.1414,343,UNIDENTIFIED,,53851.81867,10753,2001281982,POLYGON GSC1  80.67511475 -69.50359233  80.56391421 -69.46125397  80.43874061 -69.49740786  80.55020819 -69.53784921  80.67511475 -69.50359233,http://archive.stsci.edu/hst/previews/J9IT/J9IT03IOQ_256.jpg,2000300099,DADS,5329.51964431825
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT03ISQ,80.55656022165,-69.50173790182,DIAZ-MILLER,2,53851.18949,53851.19347,343,UNIDENTIFIED,,53851.8264,10753,2001281983,POLYGON GSC1  80.67500343 -69.50506493  80.56379543 -69.46272651  80.43861307 -69.49888033  80.55008812 -69.53932175  80.67500343 -69.50506493,http://archive.stsci.edu/hst/previews/J9IT/J9IT03ISQ_256.jpg,2000300100,DADS,5330.92671879384
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT03IQQ,80.54770906826,-69.4984566069,DIAZ-MILLER,2,53851.18355,53851.18753,343,UNIDENTIFIED,,53851.82255,10753,2001287683,POLYGON GSC1  80.66613264 -69.50178962  80.55495908 -69.45944558  80.42978104 -69.49559309  80.54122232 -69.53604013  80.66613264 -69.50178962,http://archive.stsci.edu/hst/previews/J9IT/J9IT03IQQ_256.jpg,2000305812,DADS,5338.97892445419
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT06E6Q,80.53931663621,-69.49428660651,DIAZ-MILLER,2,53927.03419,53927.0391,423,UNIDENTIFIED,,53927.49152,10753,2001282620,POLYGON GSC1  80.56067965 -69.53521571  80.64872934 -69.48661803  80.51664161 -69.45365304  80.43396730 -69.50178656  80.56067965 -69.53521571,http://archive.stsci.edu/hst/previews/J9IT/J9IT06E6Q_256.jpg,2000300745,DADS,5347.67362193419
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT07D5Q,80.53918709199,-69.494095502,DIAZ-MILLER,2,53925.01256,53925.01747,423,UNIDENTIFIED,,53925.61042,10753,2001281483,POLYGON GSC1  80.56054967 -69.53502462  80.64859886 -69.48642701  80.51651251 -69.45346192  80.43383865 -69.50159537  80.56054967 -69.53502462,http://archive.stsci.edu/hst/previews/J9IT/J9IT07D5Q_256.jpg,2000299563,DADS,5347.67832384874
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT05T2Q,80.50194683917,-69.47539557504,DIAZ-MILLER,2,53854.19722,53854.2012,343,UNIDENTIFIED,,53854.58734,10753,2001281481,POLYGON GSC1  80.62023622 -69.47875973  80.50927249 -69.43638648  80.38415205 -69.47250118  80.49538687 -69.51297740  80.62023622 -69.47875973,http://archive.stsci.edu/hst/previews/J9IT/J9IT05T2Q_256.jpg,2000299561,DADS,5376.43788682853
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT05T0Q,80.49311491377,-69.47211151434,DIAZ-MILLER,2,53854.19128,53854.19527,343,UNIDENTIFIED,,53854.58417,10753,2001281480,POLYGON GSC1  80.61138478 -69.47548166  80.50045543 -69.43310279  80.37533932 -69.46921117  80.48654043 -69.50969301  80.61138478 -69.47548166,http://archive.stsci.edu/hst/previews/J9IT/J9IT05T0Q_256.jpg,2000299560,DADS,5384.77294737979
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT05SXQ,80.4929913637,-69.4735840163,DIAZ-MILLER,2,53854.18361,53854.18384,19,UNIDENTIFIED,,53854.82439,10753,2001287686,POLYGON GSC1  80.61126921 -69.47695421  80.50033243 -69.43457529  80.37520757 -69.47068360  80.48641613 -69.51116550  80.61126921 -69.47695421,http://archive.stsci.edu/hst/previews/J9IT/J9IT05SXQ_256.jpg,2000305815,DADS,5386.06815643148
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT05SYQ,80.4929913637,-69.4735840163,DIAZ-MILLER,2,53854.18543,53854.18941,343,UNIDENTIFIED,,53854.58103,10753,2001281985,POLYGON GSC1  80.61126921 -69.47695421  80.50033243 -69.43457529  80.37520757 -69.47068360  80.48641613 -69.51116550  80.61126921 -69.47695421,http://archive.stsci.edu/hst/previews/J9IT/J9IT05SYQ_256.jpg,2000300102,DADS,5386.06815643148
