#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Product Type, Mission, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Proposal ID, Principal Investigator, Calibration Level, Start Time, End Time, Exposure Time, Release Date, Object ID, s_region, Product Group ID, Distance (")
#@string, string, string, string, string, string, string, string, string, ra, dec, string, string, int, float, float, float, float, string, string, string, float
dataproduct_type,obs_collection,instrument,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,proposal_id,proposal_pi,calib_level,t_min,t_max,t_exptime,t_obs_release,objID,s_region,obsid,distance
image,HST,WFC3/IR,DADS,F160W,INFRARED,NGC-2070-3-V1Y,STAR FORMING REGION;STELLAR CLUSTER,IBY01Y030,84.23941208333,-69.09793055556,12939,SABBI,3,56447.69795,56447.74182,1598.465576,56448.03038,2012916401,POLYGON 84.24030415 -69.07190832 84.16951129 -69.09474627 84.23898543 -69.123128 84.31157368 -69.10096766 84.24030415 -69.07190832 84.24030415 -69.07190832,2003851037,4781.36300229528
image,HST,WFC3/IR,DADS,F110W,INFRARED,NGC-2070-3-V1Z,STAR FORMING REGION;STELLAR CLUSTER,IBY01Z020,84.30806236009,-69.13276286656,12939,SABBI,3,56449.25517,56449.27108,1298.464661,56449.60272,2012916402,POLYGON 84.30895836 -69.10674065 84.23805043 -69.1295777 84.30763258 -69.15796031 84.38033874 -69.13580084 84.30895836 -69.10674065 84.30895836 -69.10674065,2003851038,4793.57762443856
image,HST,ACS/WFC,DADS,F555W,OPTICAL,NGC-2070,STAR FORMING REGION;STELLAR CLUSTER,JBY07K010,84.43948234708,-69.18226466135,12939,SABBI,3,56561.61413,56561.66536,2270,56562.07722,2012945841,POLYGON 84.38932705 -69.15158057 84.3522028 -69.20551724 84.5122655 -69.21467612 84.54581109 -69.15908479 84.38932705 -69.15158057 84.38932705 -69.15158057,2003880477,4795.34450091882
image,HST,ACS/WFC,DADS,F555W,OPTICAL,NGC-2070-2,STAR FORMING REGION;STELLAR CLUSTER,JBY07S010,84.37384923849,-69.12284568442,12939,SABBI,3,56389.91512,56389.94981,2270,56390.0916,2012945849,POLYGON 84.3227503 -69.08561078 84.25612446 -69.13726487 84.4042775 -69.15664343 84.47274856 -69.10675968 84.3227503 -69.08561078 84.3227503 -69.08561078,2003880485,4800.18945254712
image,HST,WFC3/IR,DADS,F160W,INFRARED,NGC-2070-3-V1Z,STAR FORMING REGION;STELLAR CLUSTER,IBY01Z030,84.30947333333,-69.12492222222,12939,SABBI,3,56449.27193,56449.33068,1598.465576,56449.64753,2012916403,POLYGON 84.31036733 -69.0989 84.23948632 -69.12173764 84.30904533 -69.15011967 84.38172397 -69.12795961 84.31036733 -69.0989 84.31036733 -69.0989,2003851039,4809.18773221282
image,HST,WFC3/UVIS,DADS,F336W,OPTICAL,NGC-2070-V7E,STAR FORMING REGION;STELLAR CLUSTER,IBY07E020,84.34902040316,-69.13818426567,12939,SABBI,3,56556.9111,56556.94788,1408,56557.09154,2012916454,POLYGON 84.37650776 -69.10874106 84.26069631 -69.12782347 84.32154408 -69.167617 84.43678367 -69.14918693 84.37650776 -69.10874106 84.37650776 -69.10874106,2003851090,4821.2599446038
image,HST,WFC3/UVIS,DADS,F336W,OPTICAL,NGC-2070-V7K,STAR FORMING REGION;STELLAR CLUSTER,IBY07K020,84.2921798681,-69.09806422305,12939,SABBI,3,56561.61316,56561.65002,1408,56561.85253,2012916466,POLYGON 84.31085021 -69.06775879 84.20145892 -69.09104868 84.27354058 -69.1283584 84.38252063 -69.1057393 84.31085021 -69.06775879 84.31085021 -69.06775879,2003851102,4823.36726536739
image,HST,WFC3/IR,DADS,F110W,INFRARED,NGC-2070-3-V2A,STAR FORMING REGION;STELLAR CLUSTER,IBY02A020,84.37812186609,-69.15972397766,12939,SABBI,3,56450.60558,56450.62148,1298.464661,56450.87578,2012916404,POLYGON 84.37901814 -69.13370175 84.30802332 -69.15653907 84.37769237 -69.18492142 84.4504877 -69.16276163 84.37901814 -69.13370175 84.37901814 -69.13370175,2003851040,4825.27686245059
image,HST,ACS/WFC,DADS,F555W,OPTICAL,NGC-2070-2,STAR FORMING REGION;STELLAR CLUSTER,JBY07M010,84.32298241261,-69.07784602534,12939,SABBI,3,56391.84372,56391.87841,2270,56392.01822,2012945843,POLYGON 84.27207456 -69.04059608 84.20546636 -69.09223055 84.3532695 -69.11165277 84.42171604 -69.06178932 84.27207456 -69.04059608 84.27207456 -69.04059608,2003880479,4825.56406729765
image,HST,WFC3/UVIS,DADS,F336W,OPTICAL,NGC-2070-2,STAR FORMING REGION;STELLAR CLUSTER,IBY07S020,84.46742813545,-69.21629911235,12939,SABBI,3,56389.91414,56389.93448,1408,56390.01988,2012916482,POLYGON 84.50372665 -69.1880895 84.38332521 -69.20194066 84.43094849 -69.24450387 84.55249487 -69.22995823 84.50372665 -69.1880895 84.50372665 -69.1880895,2003851118,4827.09312107041
image,HST,WFC3/UVIS,DADS,F336W,OPTICAL,NGC-2070-2,STAR FORMING REGION;STELLAR CLUSTER,IBY07M020,84.41615036883,-69.17132712788,12939,SABBI,3,56391.84274,56391.86308,1408,56392.01329,2012916470,POLYGON 84.45241415 -69.14312367 84.33224143 -69.1569534 84.37970647 -69.19952506 84.5010224 -69.18500112 84.45241415 -69.14312367 84.45241415 -69.14312367,2003851106,4836.42748905225
image,HST,WFC3/IR,DADS,F160W,INFRARED,NGC-2070-3-V2A,STAR FORMING REGION;STELLAR CLUSTER,IBY02A030,84.37953458333,-69.15188333333,12939,SABBI,3,56450.6473,56450.66668,1598.465576,56450.8764,2012916405,POLYGON 84.38042969 -69.12586111 84.30946111 -69.14869873 84.37910605 -69.17708078 84.4518745 -69.1549207 84.38042969 -69.12586111 84.38042969 -69.12586111,2003851041,4840.2808627904
