instrument,detector,propid,target,RAJ2000,DECJ2000,filter1,filter2,pr_inv,exptime,date-obs,filename
@string,string,int,string,ra,dec,string,string,string,int,string,string
ACS,WFC,10396,SFH-8,10.450000,-71.062500,F555W,CLEAR2L,Gallagher,20,2005-11-29,smc_fields/ACS/10396_SFH-8/j96114fjq_flt.fits
ACS,WFC,10396,SFH-8,10.450000,-71.062500,F555W,CLEAR2L,Gallagher,496,2005-11-29,smc_fields/ACS/10396_SFH-8/j96114fkq_flc.fits
ACS,WFC,10396,SFH-8,10.450000,-71.062500,F555W,CLEAR2L,Gallagher,496,2005-11-29,smc_fields/ACS/10396_SFH-8/j96114fkq_flt.fits
ACS,WFC,10396,SFH-8,10.450000,-71.062500,F555W,CLEAR2L,Gallagher,496,2005-11-29,smc_fields/ACS/10396_SFH-8/j96114fmq_flc.fits
ACS,WFC,10396,SFH-8,10.450000,-71.062500,F555W,CLEAR2L,Gallagher,496,2005-11-29,smc_fields/ACS/10396_SFH-8/j96114fmq_flt.fits
ACS,WFC,10396,SFH-8,10.450000,-71.062500,F555W,CLEAR2L,Gallagher,496,2005-11-29,smc_fields/ACS/10396_SFH-8/j96114foq_flc.fits
ACS,WFC,10396,SFH-8,10.450000,-71.062500,F555W,CLEAR2L,Gallagher,496,2005-11-29,smc_fields/ACS/10396_SFH-8/j96114foq_flt.fits
ACS,WFC,10396,SFH-8,10.450000,-71.062500,F555W,CLEAR2L,Gallagher,496,2005-11-29,smc_fields/ACS/10396_SFH-8/j96114fqq_flc.fits
ACS,WFC,10396,SFH-8,10.450000,-71.062500,F555W,CLEAR2L,Gallagher,496,2005-11-29,smc_fields/ACS/10396_SFH-8/j96114fqq_flt.fits
ACS,WFC,12581,ANY,18.163150,-72.747753,CLEAR1L,F814W,Roman-Duval,1,2012-07-25,smc_fields/ACS/12581_ANY/jbp507ptq_flc.fits
ACS,WFC,12581,ANY,18.163150,-72.747753,CLEAR1L,F814W,Roman-Duval,1,2012-07-25,smc_fields/ACS/12581_ANY/jbp507ptq_flt.fits
ACS,WFC,12581,ANY,18.163150,-72.747753,CLEAR1L,F814W,Roman-Duval,950,2012-07-25,smc_fields/ACS/12581_ANY/jbp507qmq_flc.fits
ACS,WFC,12581,ANY,18.163150,-72.747753,CLEAR1L,F814W,Roman-Duval,950,2012-07-25,smc_fields/ACS/12581_ANY/jbp507qmq_flt.fits
ACS,WFC,12581,ANY,18.163150,-72.747753,CLEAR1L,F814W,Roman-Duval,500,2012-07-25,smc_fields/ACS/12581_ANY/jbp507qrq_flc.fits
ACS,WFC,12581,ANY,18.163150,-72.747753,CLEAR1L,F814W,Roman-Duval,500,2012-07-25,smc_fields/ACS/12581_ANY/jbp507qrq_flt.fits
ACS,WFC,12581,ANY,18.163150,-72.747753,CLEAR1L,F814W,Roman-Duval,980,2012-07-25,smc_fields/ACS/12581_ANY/jbp507qxq_flc.fits
ACS,WFC,12581,ANY,18.163150,-72.747753,CLEAR1L,F814W,Roman-Duval,980,2012-07-25,smc_fields/ACS/12581_ANY/jbp507qxq_flt.fits
ACS,WFC,12581,ANY,18.163150,-72.747753,CLEAR1L,F814W,Roman-Duval,1030,2012-07-25,smc_fields/ACS/12581_ANY/jbp507r2q_flc.fits
ACS,WFC,12581,ANY,18.163150,-72.747753,CLEAR1L,F814W,Roman-Duval,1030,2012-07-25,smc_fields/ACS/12581_ANY/jbp507r2q_flt.fits
ACS,WFC,12581,ANY,18.163150,-72.747753,F475W,CLEAR2L,Roman-Duval,1100,2012-07-25,smc_fields/ACS/12581_ANY/jbp507r8q_flc.fits
ACS,WFC,12581,ANY,18.163150,-72.747753,F475W,CLEAR2L,Roman-Duval,1100,2012-07-25,smc_fields/ACS/12581_ANY/jbp507r8q_flt.fits
ACS,WFC,12581,ANY,18.163150,-72.747753,F475W,CLEAR2L,Roman-Duval,600,2012-07-25,smc_fields/ACS/12581_ANY/jbp507req_flc.fits
ACS,WFC,12581,ANY,18.163150,-72.747753,F475W,CLEAR2L,Roman-Duval,600,2012-07-25,smc_fields/ACS/12581_ANY/jbp507req_flt.fits
ACS,WFC,12581,ANY,18.163150,-72.747753,F475W,CLEAR2L,Roman-Duval,680,2012-07-25,smc_fields/ACS/12581_ANY/jbp507rkq_flc.fits
ACS,WFC,12581,ANY,18.163150,-72.747753,F475W,CLEAR2L,Roman-Duval,680,2012-07-25,smc_fields/ACS/12581_ANY/jbp507rkq_flt.fits
ACS,WFC,12581,ANY,18.163150,-72.747753,F475W,CLEAR2L,Roman-Duval,600,2012-07-25,smc_fields/ACS/12581_ANY/jbp507rpq_flc.fits
ACS,WFC,12581,ANY,18.163150,-72.747753,F475W,CLEAR2L,Roman-Duval,600,2012-07-25,smc_fields/ACS/12581_ANY/jbp507rpq_flt.fits
ACS,WFC,12581,ANY,18.163150,-72.747753,F475W,CLEAR2L,Roman-Duval,600,2012-07-25,smc_fields/ACS/12581_ANY/jbp507rvq_flc.fits
ACS,WFC,12581,ANY,18.163150,-72.747753,F475W,CLEAR2L,Roman-Duval,600,2012-07-25,smc_fields/ACS/12581_ANY/jbp507rvq_flt.fits
ACS,WFC,12581,ANY,18.087122,-72.765181,CLEAR1L,F814W,Roman-Duval,1,2012-07-25,smc_fields/ACS/12581_ANY/jbp507s4q_flt.fits
ACS,WFC,12581,ANY,18.605856,-73.412972,CLEAR1L,F814W,Roman-Duval,1,2012-09-15,smc_fields/ACS/12581_ANY/jbp509k6q_flc.fits
ACS,WFC,12581,ANY,18.605856,-73.412972,CLEAR1L,F814W,Roman-Duval,1,2012-09-15,smc_fields/ACS/12581_ANY/jbp509k6q_flt.fits
ACS,WFC,12581,ANY,18.605856,-73.412972,CLEAR1L,F814W,Roman-Duval,950,2012-09-15,smc_fields/ACS/12581_ANY/jbp509kcq_flc.fits
ACS,WFC,12581,ANY,18.605856,-73.412972,CLEAR1L,F814W,Roman-Duval,950,2012-09-15,smc_fields/ACS/12581_ANY/jbp509kcq_flt.fits
ACS,WFC,12581,ANY,18.605856,-73.412972,CLEAR1L,F814W,Roman-Duval,500,2012-09-15,smc_fields/ACS/12581_ANY/jbp509kgq_flc.fits
ACS,WFC,12581,ANY,18.605856,-73.412972,CLEAR1L,F814W,Roman-Duval,500,2012-09-15,smc_fields/ACS/12581_ANY/jbp509kgq_flt.fits
ACS,WFC,12581,ANY,18.605856,-73.412972,CLEAR1L,F814W,Roman-Duval,980,2012-09-15,smc_fields/ACS/12581_ANY/jbp509kmq_flc.fits
ACS,WFC,12581,ANY,18.605856,-73.412972,CLEAR1L,F814W,Roman-Duval,980,2012-09-15,smc_fields/ACS/12581_ANY/jbp509kmq_flt.fits
ACS,WFC,12581,ANY,18.605856,-73.412972,CLEAR1L,F814W,Roman-Duval,1030,2012-09-15,smc_fields/ACS/12581_ANY/jbp509krq_flc.fits
ACS,WFC,12581,ANY,18.605856,-73.412972,CLEAR1L,F814W,Roman-Duval,1030,2012-09-15,smc_fields/ACS/12581_ANY/jbp509krq_flt.fits
ACS,WFC,12581,ANY,18.605856,-73.412972,F475W,CLEAR2L,Roman-Duval,1100,2012-09-15,smc_fields/ACS/12581_ANY/jbp509kxq_flc.fits
ACS,WFC,12581,ANY,18.605856,-73.412972,F475W,CLEAR2L,Roman-Duval,1100,2012-09-15,smc_fields/ACS/12581_ANY/jbp509kxq_flt.fits
ACS,WFC,12581,ANY,18.605856,-73.412972,F475W,CLEAR2L,Roman-Duval,600,2012-09-15,smc_fields/ACS/12581_ANY/jbp509l3q_flc.fits
ACS,WFC,12581,ANY,18.605856,-73.412972,F475W,CLEAR2L,Roman-Duval,600,2012-09-15,smc_fields/ACS/12581_ANY/jbp509l3q_flt.fits
ACS,WFC,12581,ANY,18.605856,-73.412972,F475W,CLEAR2L,Roman-Duval,680,2012-09-15,smc_fields/ACS/12581_ANY/jbp509l9q_flc.fits
ACS,WFC,12581,ANY,18.605856,-73.412972,F475W,CLEAR2L,Roman-Duval,680,2012-09-15,smc_fields/ACS/12581_ANY/jbp509l9q_flt.fits
ACS,WFC,12581,ANY,18.605856,-73.412972,F475W,CLEAR2L,Roman-Duval,600,2012-09-15,smc_fields/ACS/12581_ANY/jbp509leq_flc.fits
ACS,WFC,12581,ANY,18.605856,-73.412972,F475W,CLEAR2L,Roman-Duval,600,2012-09-15,smc_fields/ACS/12581_ANY/jbp509leq_flt.fits
ACS,WFC,12581,ANY,18.605856,-73.412972,F475W,CLEAR2L,Roman-Duval,600,2012-09-15,smc_fields/ACS/12581_ANY/jbp509lkq_flc.fits
ACS,WFC,12581,ANY,18.605856,-73.412972,F475W,CLEAR2L,Roman-Duval,600,2012-09-15,smc_fields/ACS/12581_ANY/jbp509lkq_flt.fits
ACS,WFC,12581,ANY,18.509674,-73.405393,CLEAR1L,F814W,Roman-Duval,1,2012-09-15,smc_fields/ACS/12581_ANY/jbp509ltq_flt.fits
ACS,WFC,12908,ANY,8.499978,-73.155742,CLEAR1L,F814W,Goudfrooij,136,2013-05-21,smc_fields/ACS/12908_ANY/jbyl03mzq_flc.fits
ACS,WFC,12908,ANY,8.499978,-73.155742,CLEAR1L,F814W,Goudfrooij,136,2013-05-21,smc_fields/ACS/12908_ANY/jbyl03mzq_flt.fits
ACS,WFC,12908,ANY,8.499978,-73.155742,CLEAR1L,F435W,Goudfrooij,720,2013-05-22,smc_fields/ACS/12908_ANY/jbyl03n4q_flc.fits
ACS,WFC,12908,ANY,8.499978,-73.155742,CLEAR1L,F435W,Goudfrooij,720,2013-05-22,smc_fields/ACS/12908_ANY/jbyl03n4q_flt.fits
ACS,WFC,12908,ANY,8.497786,-73.155521,CLEAR1L,F435W,Goudfrooij,740,2013-05-22,smc_fields/ACS/12908_ANY/jbyl03n8q_flc.fits
ACS,WFC,12908,ANY,8.497786,-73.155521,CLEAR1L,F435W,Goudfrooij,740,2013-05-22,smc_fields/ACS/12908_ANY/jbyl03n8q_flt.fits
ACS,WFC,12908,ANY,8.497786,-73.155521,CLEAR1L,F814W,Goudfrooij,438,2013-05-22,smc_fields/ACS/12908_ANY/jbyl03ndq_flc.fits
ACS,WFC,12908,ANY,8.497786,-73.155521,CLEAR1L,F814W,Goudfrooij,438,2013-05-22,smc_fields/ACS/12908_ANY/jbyl03ndq_flt.fits
ACS,WFC,13009,ANY,13.695999,-72.167496,F606W,CLEAR2L,DeMarchi,100,2013-04-28,smc_fields/ACS/13009_ANY/jbyy81iyq_flc.fits
ACS,WFC,13009,ANY,13.695999,-72.167496,F606W,CLEAR2L,DeMarchi,100,2013-04-28,smc_fields/ACS/13009_ANY/jbyy81iyq_flt.fits
ACS,WFC,13009,ANY,13.695884,-72.167451,CLEAR1L,F814W,DeMarchi,0,2013-04-28,smc_fields/ACS/13009_ANY/jbyy81j9q_flc.fits
ACS,WFC,13009,ANY,13.695884,-72.167451,CLEAR1L,F814W,DeMarchi,0,2013-04-28,smc_fields/ACS/13009_ANY/jbyy81j9q_flt.fits
ACS,WFC,13009,ANY,13.496230,-72.298260,F606W,CLEAR2L,DeMarchi,100,2013-08-04,smc_fields/ACS/13009_ANY/jbyy82l4q_flc.fits
ACS,WFC,13009,ANY,13.496230,-72.298260,F606W,CLEAR2L,DeMarchi,100,2013-08-04,smc_fields/ACS/13009_ANY/jbyy82l4q_flt.fits
ACS,WFC,13009,ANY,13.496385,-72.298227,CLEAR1L,F814W,DeMarchi,340,2013-08-04,smc_fields/ACS/13009_ANY/jbyy82leq_flc.fits
ACS,WFC,13009,ANY,13.496385,-72.298227,CLEAR1L,F814W,DeMarchi,340,2013-08-04,smc_fields/ACS/13009_ANY/jbyy82leq_flt.fits
ACS,WFC,13009,ANY,16.151508,-72.922230,F606W,CLEAR2L,DeMarchi,100,2013-08-01,smc_fields/ACS/13009_ANY/jbyy91ahq_flc.fits
ACS,WFC,13009,ANY,16.151508,-72.922230,F606W,CLEAR2L,DeMarchi,100,2013-08-01,smc_fields/ACS/13009_ANY/jbyy91ahq_flt.fits
ACS,WFC,13009,ANY,16.151658,-72.922194,CLEAR1L,F814W,DeMarchi,347,2013-08-01,smc_fields/ACS/13009_ANY/jbyy91arq_flc.fits
ACS,WFC,13009,ANY,16.151658,-72.922194,CLEAR1L,F814W,DeMarchi,347,2013-08-01,smc_fields/ACS/13009_ANY/jbyy91arq_flt.fits
ACS,WFC,13476,ANY,9.750401,-73.191294,CLEAR1L,F814W,Kallivayalil,341,2013-10-01,smc_fields/ACS/13476_ANY/jcc204fwq_flc.fits
ACS,WFC,13476,ANY,9.750401,-73.191294,CLEAR1L,F814W,Kallivayalil,341,2013-10-01,smc_fields/ACS/13476_ANY/jcc204fwq_flt.fits
ACS,WFC,13476,ANY,9.754080,-73.190945,F606W,CLEAR2L,Kallivayalil,348,2013-10-01,smc_fields/ACS/13476_ANY/jcc204fyq_flc.fits
ACS,WFC,13476,ANY,9.754080,-73.190945,F606W,CLEAR2L,Kallivayalil,348,2013-10-01,smc_fields/ACS/13476_ANY/jcc204fyq_flt.fits
ACS,WFC,13476,ANY,9.756931,-73.191690,F606W,CLEAR2L,Kallivayalil,368,2013-10-01,smc_fields/ACS/13476_ANY/jcc204g1q_flc.fits
ACS,WFC,13476,ANY,9.756931,-73.191690,F606W,CLEAR2L,Kallivayalil,368,2013-10-01,smc_fields/ACS/13476_ANY/jcc204g1q_flt.fits
ACS,WFC,13476,ANY,9.756104,-73.192784,F606W,CLEAR2L,Kallivayalil,368,2013-10-01,smc_fields/ACS/13476_ANY/jcc204g4q_flc.fits
ACS,WFC,13476,ANY,9.756104,-73.192784,F606W,CLEAR2L,Kallivayalil,368,2013-10-01,smc_fields/ACS/13476_ANY/jcc204g4q_flt.fits
ACS,WFC,13476,ANY,9.752424,-73.193133,F606W,CLEAR2L,Kallivayalil,368,2013-10-01,smc_fields/ACS/13476_ANY/jcc204g7q_flc.fits
ACS,WFC,13476,ANY,9.752424,-73.193133,F606W,CLEAR2L,Kallivayalil,368,2013-10-01,smc_fields/ACS/13476_ANY/jcc204g7q_flt.fits
ACS,WFC,13476,ANY,9.749573,-73.192388,CLEAR1L,F814W,Kallivayalil,348,2013-10-01,smc_fields/ACS/13476_ANY/jcc204gaq_flc.fits
ACS,WFC,13476,ANY,9.749573,-73.192388,CLEAR1L,F814W,Kallivayalil,348,2013-10-01,smc_fields/ACS/13476_ANY/jcc204gaq_flt.fits
ACS,WFC,13476,ANY,11.053010,-72.780941,CLEAR1L,F814W,Kallivayalil,341,2013-10-01,smc_fields/ACS/13476_ANY/jcc207h5q_flc.fits
ACS,WFC,13476,ANY,11.053010,-72.780941,CLEAR1L,F814W,Kallivayalil,341,2013-10-01,smc_fields/ACS/13476_ANY/jcc207h5q_flt.fits
ACS,WFC,13476,ANY,11.056581,-72.780571,F606W,CLEAR2L,Kallivayalil,348,2013-10-01,smc_fields/ACS/13476_ANY/jcc207h7q_flc.fits
