i,instrument,detector,propid,target,ra,dec,filter1,filter2,pr_inv,exptime,date-obs,filename,group,galaxy,targname
747,WFC3,IR,12219,NGC1846-OUT,76.92,-67.449083,...,...,Milone,349,2011-04-17,clusters/WFC3/12219_NGC1846-OUT/ibjt01aiq_flt.fits,87.0,lmc,NGC1846
748,WFC3,IR,12219,NGC1846-OUT,76.92,-67.449083,...,...,Milone,349,2011-04-17,clusters/WFC3/12219_NGC1846-OUT/ibjt01akq_flt.fits,87.0,lmc,NGC1846
749,WFC3,IR,12219,NGC1846-OUT,76.92,-67.449083,...,...,Milone,349,2011-04-17,clusters/WFC3/12219_NGC1846-OUT/ibjt01amq_flt.fits,87.0,lmc,NGC1846
750,WFC3,IR,12219,NGC1846-OUT,76.92,-67.449083,...,...,Milone,349,2011-04-17,clusters/WFC3/12219_NGC1846-OUT/ibjt01aoq_flt.fits,87.0,lmc,NGC1846
751,WFC3,IR,12219,NGC1846-OUT,76.92,-67.449083,...,...,Milone,349,2011-04-17,clusters/WFC3/12219_NGC1846-OUT/ibjt01aqq_flt.fits,87.0,lmc,NGC1846
752,WFC3,IR,12219,NGC1846-OUT,76.92,-67.449083,...,...,Milone,349,2011-04-17,clusters/WFC3/12219_NGC1846-OUT/ibjt01asq_flt.fits,87.0,lmc,NGC1846
753,WFC3,IR,12219,NGC1846-OUT,76.92,-67.449083,...,...,Milone,349,2011-04-17,clusters/WFC3/12219_NGC1846-OUT/ibjt01auq_flt.fits,87.0,lmc,NGC1846
754,WFC3,IR,12219,NGC1846-OUT,76.92,-67.449083,...,...,Milone,399,2011-04-17,clusters/WFC3/12219_NGC1846-OUT/ibjt01avq_flt.fits,87.0,lmc,NGC1846
755,WFC3,UVIS,12219,NGC1846-OUT,76.92,-67.449083,...,...,Milone,900,2011-04-16,clusters/WFC3/12219_NGC1846-OUT/ibjt01yqq_flt.fits,87.0,lmc,NGC1846
756,WFC3,UVIS,12219,NGC1846-OUT,76.92,-67.449083,...,...,Milone,1032,2011-04-16,clusters/WFC3/12219_NGC1846-OUT/ibjt01yuq_flt.fits,87.0,lmc,NGC1846
757,WFC3,UVIS,12219,NGC1846-OUT,76.92,-67.449083,...,...,Milone,1032,2011-04-17,clusters/WFC3/12219_NGC1846-OUT/ibjt01z0q_flt.fits,87.0,lmc,NGC1846
758,WFC3,UVIS,12219,NGC1846-OUT,76.92,-67.449083,...,...,Milone,1032,2011-04-17,clusters/WFC3/12219_NGC1846-OUT/ibjt01ztq_flt.fits,87.0,lmc,NGC1846
759,WFC3,UVIS,12219,NGC1846-OUT,76.92,-67.449083,...,...,Milone,1032,2011-04-17,clusters/WFC3/12219_NGC1846-OUT/ibjt01zwq_flt.fits,87.0,lmc,NGC1846
983,WFC3,UVIS,12219,NGC1846-OUT,76.92,-67.449083,...,...,Milone,1032,2011-04-17,stage/ibjt01a1q_flt.fits,87.0,lmc,NGC1846
984,WFC3,UVIS,12219,NGC1846-OUT,76.92,-67.449083,...,...,Milone,1032,2011-04-17,stage/ibjt01a4q_flt.fits,87.0,lmc,NGC1846
985,WFC3,UVIS,12219,NGC1846-OUT,76.92,-67.449083,...,...,Milone,1032,2011-04-17,stage/ibjt01a8q_flt.fits,87.0,lmc,NGC1846
986,WFC3,UVIS,12219,NGC1846-OUT,76.92,-67.449083,...,...,Milone,1032,2011-04-17,stage/ibjt01acq_flt.fits,87.0,lmc,NGC1846
987,WFC3,IR,12219,NGC1846-OUT,76.92,-67.449083,...,...,Milone,349,2011-04-17,stage/ibjt01aiq_flt.fits,87.0,lmc,NGC1846
988,WFC3,IR,12219,NGC1846-OUT,76.92,-67.449083,...,...,Milone,349,2011-04-17,stage/ibjt01akq_flt.fits,87.0,lmc,NGC1846
989,WFC3,IR,12219,NGC1846-OUT,76.92,-67.449083,...,...,Milone,349,2011-04-17,stage/ibjt01amq_flt.fits,87.0,lmc,NGC1846
990,WFC3,IR,12219,NGC1846-OUT,76.92,-67.449083,...,...,Milone,349,2011-04-17,stage/ibjt01aoq_flt.fits,87.0,lmc,NGC1846
991,WFC3,IR,12219,NGC1846-OUT,76.92,-67.449083,...,...,Milone,349,2011-04-17,stage/ibjt01aqq_flt.fits,87.0,lmc,NGC1846
992,WFC3,IR,12219,NGC1846-OUT,76.92,-67.449083,...,...,Milone,349,2011-04-17,stage/ibjt01asq_flt.fits,87.0,lmc,NGC1846
993,WFC3,IR,12219,NGC1846-OUT,76.92,-67.449083,...,...,Milone,349,2011-04-17,stage/ibjt01auq_flt.fits,87.0,lmc,NGC1846
994,WFC3,IR,12219,NGC1846-OUT,76.92,-67.449083,...,...,Milone,399,2011-04-17,stage/ibjt01avq_flt.fits,87.0,lmc,NGC1846
995,WFC3,UVIS,12219,NGC1846-OUT,76.92,-67.449083,...,...,Milone,900,2011-04-16,stage/ibjt01yqq_flt.fits,87.0,lmc,NGC1846
996,WFC3,UVIS,12219,NGC1846-OUT,76.92,-67.449083,...,...,Milone,1032,2011-04-16,stage/ibjt01yuq_flt.fits,87.0,lmc,NGC1846
997,WFC3,UVIS,12219,NGC1846-OUT,76.92,-67.449083,...,...,Milone,1032,2011-04-17,stage/ibjt01z0q_flt.fits,87.0,lmc,NGC1846
998,WFC3,UVIS,12219,NGC1846-OUT,76.92,-67.449083,...,...,Milone,1032,2011-04-17,stage/ibjt01ztq_flt.fits,87.0,lmc,NGC1846
999,WFC3,UVIS,12219,NGC1846-OUT,76.92,-67.449083,...,...,Milone,1032,2011-04-17,stage/ibjt01zwq_flt.fits,87.0,lmc,NGC1846
678,ACS,WFC,9891,NGC1852,77.349333,-67.779047,F555W,CLEAR2L,Gilmore,330,2003-10-07,clusters/ACS/9891_NGC1852/j8ne57pxq_flt.fits,88.0,lmc,NGC1852
679,ACS,WFC,9891,NGC1852,77.349333,-67.779047,CLEAR1L,F814W,Gilmore,200,2003-10-07,clusters/ACS/9891_NGC1852/j8ne57q0q_flt.fits,88.0,lmc,NGC1852
793,WFC3,UVIS,12257,NGC-1852,77.368333,-67.781944,...,...,Girardi,60,2011-10-12,clusters/WFC3/12257_NGC-1852/ibhy41scq_flt.fits,88.0,lmc,NGC1852
794,WFC3,UVIS,12257,NGC-1852,77.368333,-67.781944,...,...,Girardi,300,2011-10-12,clusters/WFC3/12257_NGC-1852/ibhy41sdq_flt.fits,88.0,lmc,NGC1852
795,WFC3,UVIS,12257,NGC-1852,77.368333,-67.781944,...,...,Girardi,680,2011-10-12,clusters/WFC3/12257_NGC-1852/ibhy41seq_flt.fits,88.0,lmc,NGC1852
796,WFC3,UVIS,12257,NGC-1852,77.368333,-67.781944,...,...,Girardi,740,2011-10-12,clusters/WFC3/12257_NGC-1852/ibhy41shq_flt.fits,88.0,lmc,NGC1852
797,WFC3,UVIS,12257,NGC-1852,77.368333,-67.781944,...,...,Girardi,740,2011-10-12,clusters/WFC3/12257_NGC-1852/ibhy41slq_flt.fits,88.0,lmc,NGC1852
798,WFC3,UVIS,12257,NGC-1852,77.368333,-67.781944,...,...,Girardi,660,2011-10-12,clusters/WFC3/12257_NGC-1852/ibhy41spq_flt.fits,88.0,lmc,NGC1852
962,WFC3,UVIS,12257,NGC-1852,77.368333,-67.781944,...,...,Girardi,60,2011-10-12,stage/ibhy41scq_flt.fits,88.0,lmc,NGC1852
963,WFC3,UVIS,12257,NGC-1852,77.368333,-67.781944,...,...,Girardi,300,2011-10-12,stage/ibhy41sdq_flt.fits,88.0,lmc,NGC1852
964,WFC3,UVIS,12257,NGC-1852,77.368333,-67.781944,...,...,Girardi,680,2011-10-12,stage/ibhy41seq_flt.fits,88.0,lmc,NGC1852
965,WFC3,UVIS,12257,NGC-1852,77.368333,-67.781944,...,...,Girardi,740,2011-10-12,stage/ibhy41shq_flt.fits,88.0,lmc,NGC1852
966,WFC3,UVIS,12257,NGC-1852,77.368333,-67.781944,...,...,Girardi,740,2011-10-12,stage/ibhy41slq_flt.fits,88.0,lmc,NGC1852
967,WFC3,UVIS,12257,NGC-1852,77.368333,-67.781944,...,...,Girardi,660,2011-10-12,stage/ibhy41spq_flt.fits,88.0,lmc,NGC1852
680,ACS,WFC,9891,NGC1854,77.335167,-68.847856,F555W,CLEAR2L,Gilmore,50,2003-10-07,clusters/ACS/9891_NGC1854/j8ne56qwq_flt.fits,89.0,lmc,NGC1854
681,ACS,WFC,9891,NGC1854,77.335167,-68.847856,CLEAR1L,F814W,Gilmore,40,2003-10-07,clusters/ACS/9891_NGC1854/j8ne56qys_flt.fits,89.0,lmc,NGC1854
682,ACS,WFC,9891,NGC1858,77.492,-68.904978,F555W,CLEAR2L,Gilmore,20,2003-10-08,clusters/ACS/9891_NGC1858/j8ne58ymq_flt.fits,90.0,lmc,NGC1858
683,ACS,WFC,9891,NGC1858,77.492,-68.904978,CLEAR1L,F814W,Gilmore,20,2003-10-08,clusters/ACS/9891_NGC1858/j8ne58yoq_flt.fits,90.0,lmc,NGC1858
684,ACS,WFC,9891,NGC1872,78.298833,-69.312764,F555W,CLEAR2L,Gilmore,115,2003-09-21,clusters/ACS/9891_NGC1872/j8ne59vyq_flt.fits,91.0,lmc,NGC1872
685,ACS,WFC,9891,NGC1872,78.298833,-69.312764,CLEAR1L,F814W,Gilmore,90,2003-09-21,clusters/ACS/9891_NGC1872/j8ne59w3q_flt.fits,91.0,lmc,NGC1872
686,ACS,WFC,9891,NGC1903,79.343958,-69.337711,F555W,CLEAR2L,Gilmore,50,2004-06-02,clusters/ACS/9891_NGC1903/j8ne60kkq_flt.fits,92.0,lmc,NGC1903
687,ACS,WFC,9891,NGC1903,79.343958,-69.337711,CLEAR1L,F814W,Gilmore,40,2004-06-02,clusters/ACS/9891_NGC1903/j8ne60kmq_flt.fits,92.0,lmc,NGC1903
688,ACS,WFC,9891,NGC1917,79.759292,-69.000517,F555W,CLEAR2L,Gilmore,300,2003-10-08,clusters/ACS/9891_NGC1917/j8ne61ytq_flt.fits,93.0,lmc,NGC1917
689,ACS,WFC,9891,NGC1917,79.759292,-69.000517,CLEAR1L,F814W,Gilmore,200,2003-10-08,clusters/ACS/9891_NGC1917/j8ne61yxq_flt.fits,93.0,lmc,NGC1917
690,ACS,WFC,9891,NGC1928,80.239625,-69.478206,F555W,CLEAR2L,Gilmore,330,2003-08-23,clusters/ACS/9891_NGC1928/j8ne62ztq_flt.fits,94.0,lmc,NGC1928
691,ACS,WFC,9891,NGC1928,80.239625,-69.478206,CLEAR1L,F814W,Gilmore,200,2003-08-23,clusters/ACS/9891_NGC1928/j8ne62zvq_flt.fits,94.0,lmc,NGC1928
692,ACS,WFC,9891,NGC1939,80.360958,-69.949497,F555W,CLEAR2L,Gilmore,330,2003-07-27,clusters/ACS/9891_NGC1939/j8ne63tqq_flt.fits,95.0,lmc,NGC1939
693,ACS,WFC,9891,NGC1939,80.360958,-69.949497,CLEAR1L,F814W,Gilmore,200,2003-07-27,clusters/ACS/9891_NGC1939/j8ne63ttq_flt.fits,95.0,lmc,NGC1939
694,ACS,WFC,9891,NGC1943,80.622875,-70.154489,F555W,CLEAR2L,Gilmore,50,2003-10-07,clusters/ACS/9891_NGC1943/j8ne64r0q_flt.fits,96.0,lmc,NGC1943
695,ACS,WFC,9891,NGC1943,80.622875,-70.154489,CLEAR1L,F814W,Gilmore,40,2003-10-07,clusters/ACS/9891_NGC1943/j8ne64r2q_flt.fits,96.0,lmc,NGC1943
696,ACS,WFC,9891,NGC1953,81.367167,-68.837808,F555W,CLEAR2L,Gilmore,115,2003-10-07,clusters/ACS/9891_NGC1953/j8ne65qoq_flt.fits,97.0,lmc,NGC1953
697,ACS,WFC,9891,NGC1953,81.367167,-68.837808,CLEAR1L,F814W,Gilmore,90,2003-10-07,clusters/ACS/9891_NGC1953/j8ne65qqq_flt.fits,97.0,lmc,NGC1953
700,ACS,WFC,9891,NGC1983,81.937167,-68.985281,F555W,CLEAR2L,Gilmore,20,2003-10-07,clusters/ACS/9891_NGC1983/j8ne68req_flt.fits,98.0,lmc,NGC1983
701,ACS,WFC,9891,NGC1983,81.937167,-68.985281,CLEAR1L,F814W,Gilmore,20,2003-10-07,clusters/ACS/9891_NGC1983/j8ne68riq_flt.fits,98.0,lmc,NGC1983
564,ACS,WFC,10595,ESO056-SC131,81.820833,-70.735,CLEAR1L,F435W,Goudfrooij,90,2006-10-18,clusters/ACS/10595_ESO056-SC131/j9es04j0q_flt.fits,99.0,lmc,NGC1987
565,ACS,WFC,10595,ESO056-SC131,81.820833,-70.735,CLEAR1L,F435W,Goudfrooij,340,2006-10-18,clusters/ACS/10595_ESO056-SC131/j9es04j1q_flt.fits,99.0,lmc,NGC1987
566,ACS,WFC,10595,ESO056-SC131,81.820833,-70.735,CLEAR1L,F435W,Goudfrooij,340,2006-10-18,clusters/ACS/10595_ESO056-SC131/j9es04j3q_flt.fits,99.0,lmc,NGC1987
567,ACS,WFC,10595,ESO056-SC131,81.820833,-70.735,F555W,CLEAR2L,Goudfrooij,40,2006-10-18,clusters/ACS/10595_ESO056-SC131/j9es04j6q_flt.fits,99.0,lmc,NGC1987
568,ACS,WFC,10595,ESO056-SC131,81.820833,-70.735,F555W,CLEAR2L,Goudfrooij,340,2006-10-18,clusters/ACS/10595_ESO056-SC131/j9es04j7q_flt.fits,99.0,lmc,NGC1987
569,ACS,WFC,10595,ESO056-SC131,81.820833,-70.735,F555W,CLEAR2L,Goudfrooij,340,2006-10-18,clusters/ACS/10595_ESO056-SC131/j9es04j9q_flt.fits,99.0,lmc,NGC1987
570,ACS,WFC,10595,ESO056-SC131,81.820833,-70.735,CLEAR1L,F814W,Goudfrooij,8,2006-10-18,clusters/ACS/10595_ESO056-SC131/j9es04jcq_flt.fits,99.0,lmc,NGC1987
571,ACS,WFC,10595,ESO056-SC131,81.820833,-70.735,CLEAR1L,F814W,Goudfrooij,340,2006-10-18,clusters/ACS/10595_ESO056-SC131/j9es04jdq_flt.fits,99.0,lmc,NGC1987
572,ACS,WFC,10595,ESO056-SC131,81.820833,-70.735,CLEAR1L,F814W,Goudfrooij,340,2006-10-18,clusters/ACS/10595_ESO056-SC131/j9es04jfq_flt.fits,99.0,lmc,NGC1987
702,ACS,WFC,9891,NGC1987,81.823875,-70.736358,F555W,CLEAR2L,Gilmore,250,2003-10-07,clusters/ACS/9891_NGC1987/j8ne66psq_flt.fits,99.0,lmc,NGC1987
703,ACS,WFC,9891,NGC1987,81.823875,-70.736358,CLEAR1L,F814W,Gilmore,170,2003-10-07,clusters/ACS/9891_NGC1987/j8ne66puq_flt.fits,99.0,lmc,NGC1987
704,ACS,WFC,9891,NGC2002,82.586667,-66.883983,F555W,CLEAR2L,Gilmore,20,2003-08-23,clusters/ACS/9891_NGC2002/j8ne70b5q_flt.fits,100.0,lmc,NGC2002
705,ACS,WFC,9891,NGC2002,82.586667,-66.883983,CLEAR1L,F814W,Gilmore,20,2003-08-23,clusters/ACS/9891_NGC2002/j8ne70b7s_flt.fits,100.0,lmc,NGC2002
1261,ACS,WFC,9891,NGC2002,82.586667,-66.883983,F555W,CLEAR2L,Gilmore,20,2003-08-23,stage/j8ne70b5q_flt.fits,100.0,lmc,NGC2002
1262,ACS,WFC,9891,NGC2002,82.586667,-66.883983,CLEAR1L,F814W,Gilmore,20,2003-08-23,stage/j8ne70b7s_flt.fits,100.0,lmc,NGC2002
706,ACS,WFC,9891,NGC2010,82.645375,-70.818972,F555W,CLEAR2L,Gilmore,20,2003-10-07,clusters/ACS/9891_NGC2010/j8ne71r5q_flt.fits,101.0,lmc,NGC2010
707,ACS,WFC,9891,NGC2010,82.645375,-70.818972,CLEAR1L,F814W,Gilmore,20,2003-10-07,clusters/ACS/9891_NGC2010/j8ne71r9q_flt.fits,101.0,lmc,NGC2010
708,ACS,WFC,9891,NGC2056,84.143542,-70.671456,F555W,CLEAR2L,Gilmore,170,2003-08-08,clusters/ACS/9891_NGC2056/j8ne72e7q_flt.fits,102.0,lmc,NGC2056
709,ACS,WFC,9891,NGC2056,84.143542,-70.671456,CLEAR1L,F814W,Gilmore,120,2003-08-08,clusters/ACS/9891_NGC2056/j8ne72e9q_flt.fits,102.0,lmc,NGC2056
710,ACS,WFC,9891,NGC2107,85.80275,-70.640547,F555W,CLEAR2L,Gilmore,170,2003-10-07,clusters/ACS/9891_NGC2107/j8ne74qsq_flt.fits,103.0,lmc,NGC2107
711,ACS,WFC,9891,NGC2107,85.80275,-70.640547,CLEAR1L,F814W,Gilmore,120,2003-10-07,clusters/ACS/9891_NGC2107/j8ne74quq_flt.fits,103.0,lmc,NGC2107
714,ACS,WFC,9891,NGC2154,89.408875,-67.262019,F555W,CLEAR2L,Gilmore,300,2003-10-08,clusters/ACS/9891_NGC2154/j8ne78z1q_flt.fits,104.0,lmc,NGC2154
715,ACS,WFC,9891,NGC2154,89.408875,-67.262019,CLEAR1L,F814W,Gilmore,200,2003-10-08,clusters/ACS/9891_NGC2154/j8ne78z4q_flt.fits,104.0,lmc,NGC2154
811,WFC3,UVIS,12257,NGC-2154,89.428333,-67.263333,...,...,Girardi,60,2011-10-09,clusters/WFC3/12257_NGC-2154/ibhy42piq_flt.fits,104.0,lmc,NGC2154
812,WFC3,UVIS,12257,NGC-2154,89.428333,-67.263333,...,...,Girardi,300,2011-10-09,clusters/WFC3/12257_NGC-2154/ibhy42pjq_flt.fits,104.0,lmc,NGC2154
813,WFC3,UVIS,12257,NGC-2154,89.428333,-67.263333,...,...,Girardi,680,2011-10-09,clusters/WFC3/12257_NGC-2154/ibhy42pkq_flt.fits,104.0,lmc,NGC2154
814,WFC3,UVIS,12257,NGC-2154,89.428333,-67.263333,...,...,Girardi,740,2011-10-09,clusters/WFC3/12257_NGC-2154/ibhy42pnq_flt.fits,104.0,lmc,NGC2154
815,WFC3,UVIS,12257,NGC-2154,89.428333,-67.263333,...,...,Girardi,740,2011-10-09,clusters/WFC3/12257_NGC-2154/ibhy42prq_flt.fits,104.0,lmc,NGC2154
816,WFC3,UVIS,12257,NGC-2154,89.428333,-67.263333,...,...,Girardi,660,2011-10-09,clusters/WFC3/12257_NGC-2154/ibhy42pvq_flt.fits,104.0,lmc,NGC2154
968,WFC3,UVIS,12257,NGC-2154,89.428333,-67.263333,...,...,Girardi,60,2011-10-09,stage/ibhy42piq_flt.fits,104.0,lmc,NGC2154
969,WFC3,UVIS,12257,NGC-2154,89.428333,-67.263333,...,...,Girardi,300,2011-10-09,stage/ibhy42pjq_flt.fits,104.0,lmc,NGC2154
970,WFC3,UVIS,12257,NGC-2154,89.428333,-67.263333,...,...,Girardi,680,2011-10-09,stage/ibhy42pkq_flt.fits,104.0,lmc,NGC2154
971,WFC3,UVIS,12257,NGC-2154,89.428333,-67.263333,...,...,Girardi,740,2011-10-09,stage/ibhy42pnq_flt.fits,104.0,lmc,NGC2154
972,WFC3,UVIS,12257,NGC-2154,89.428333,-67.263333,...,...,Girardi,740,2011-10-09,stage/ibhy42prq_flt.fits,104.0,lmc,NGC2154
973,WFC3,UVIS,12257,NGC-2154,89.428333,-67.263333,...,...,Girardi,660,2011-10-09,stage/ibhy42pvq_flt.fits,104.0,lmc,NGC2154
724,ACS,WFC,9891,RETICULUM,69.038875,-58.861189,F555W,CLEAR2L,Gilmore,330,2003-09-21,clusters/ACS/9891_RETICULUM/j8ne43a3q_flt.fits,108.0,lmc,RETICULUM
725,ACS,WFC,9891,RETICULUM,69.038875,-58.861189,CLEAR1L,F814W,Gilmore,200,2003-09-21,clusters/ACS/9891_RETICULUM/j8ne43a7q_flt.fits,108.0,lmc,RETICULUM
726,WFC3,UVIS,11714,NGC1786,74.782333,-67.745306,...,...,Bond,300,2010-02-06,clusters/WFC3/11714_NGC1786/ib7781g1q_flt.fits,109.0,lmc,NGC1786
727,WFC3,UVIS,11714,NGC1786,74.782333,-67.745306,...,...,Bond,60,2010-02-06,clusters/WFC3/11714_NGC1786/ib7781g2q_flt.fits,109.0,lmc,NGC1786
728,WFC3,UVIS,11714,NGC1786,74.782333,-67.745306,...,...,Bond,300,2010-02-06,clusters/WFC3/11714_NGC1786/ib7781g3q_flt.fits,109.0,lmc,NGC1786
729,WFC3,UVIS,11714,NGC1786,74.782333,-67.745306,...,...,Bond,60,2010-02-06,clusters/WFC3/11714_NGC1786/ib7781g4q_flt.fits,109.0,lmc,NGC1786
730,WFC3,UVIS,11714,NGC1786,74.782333,-67.745306,...,...,Bond,0,2009-12-17,clusters/WFC3/11714_NGC1786/ib7789tsq_flt.fits,109.0,lmc,NGC1786
731,WFC3,UVIS,11714,NGC1786,74.782333,-67.745306,...,...,Bond,60,2009-12-17,clusters/WFC3/11714_NGC1786/ib7789ttq_flt.fits,109.0,lmc,NGC1786
732,WFC3,UVIS,11714,NGC1786,74.782333,-67.745306,...,...,Bond,0,2009-12-17,clusters/WFC3/11714_NGC1786/ib7789tuq_flt.fits,109.0,lmc,NGC1786
733,WFC3,UVIS,11714,NGC1786,74.782333,-67.745306,...,...,Bond,60,2009-12-17,clusters/WFC3/11714_NGC1786/ib7789tvq_flt.fits,109.0,lmc,NGC1786
898,WFC3,UVIS,11714,NGC1786,74.782333,-67.745306,...,...,Bond,60,2010-02-06,stage/ib7781g2q_flt.fits,109.0,lmc,NGC1786
899,WFC3,UVIS,11714,NGC1786,74.782333,-67.745306,...,...,Bond,60,2010-02-06,stage/ib7781g4q_flt.fits,109.0,lmc,NGC1786
900,WFC3,UVIS,11714,NGC1786,74.782333,-67.745306,...,...,Bond,60,2009-12-17,stage/ib7789ttq_flt.fits,109.0,lmc,NGC1786
901,WFC3,UVIS,11714,NGC1786,74.782333,-67.745306,...,...,Bond,60,2009-12-17,stage/ib7789tvq_flt.fits,109.0,lmc,NGC1786
1148,WFC3,UVIS,13435,NGC-1786,74.7825,-67.745278,...,...,Monelli,200,2014-06-13,stage/icb004k4q_flt.fits,109.0,lmc,NGC1786
1149,WFC3,UVIS,13435,NGC-1786,74.7825,-67.745278,...,...,Monelli,1015,2014-06-13,stage/icb004k6q_flt.fits,109.0,lmc,NGC1786
1150,WFC3,UVIS,13435,NGC-1786,74.7825,-67.745278,...,...,Monelli,100,2014-06-13,stage/icb004kcq_flt.fits,109.0,lmc,NGC1786
1151,WFC3,UVIS,13435,NGC-1786,74.7825,-67.745278,...,...,Monelli,1015,2014-06-13,stage/icb004l4q_flt.fits,109.0,lmc,NGC1786
1152,WFC3,UVIS,13435,NGC-1786,74.7825,-67.745278,...,...,Monelli,200,2014-06-13,stage/icb004l9q_flt.fits,109.0,lmc,NGC1786
1369,ACS,WFC,13435,NGC-1786,74.7825,-67.745278,CLEAR1L,F814W,Monelli,100,2014-06-13,stage/jcb004k5q_flt.fits,109.0,lmc,NGC1786
1370,ACS,WFC,13435,NGC-1786,74.7825,-67.745278,CLEAR1L,F814W,Monelli,90,2014-06-13,stage/jcb004laq_flt.fits,109.0,lmc,NGC1786
738,WFC3,UVIS,12116,NGC1818,76.0615,-66.434489,...,...,Dalcanton,460,2013-03-13,clusters/WFC3/12116_NGC1818/ibxg01o2q_flt.fits,110.0,lmc,NGC1818
739,WFC3,UVIS,12116,NGC1818,76.0615,-66.434489,...,...,Dalcanton,2,2013-03-13,clusters/WFC3/12116_NGC1818/ibxg01o5q_flt.fits,110.0,lmc,NGC1818
740,WFC3,UVIS,12116,NGC1818,76.0615,-66.434489,...,...,Dalcanton,750,2013-03-13,clusters/WFC3/12116_NGC1818/ibxg01o6q_flt.fits,110.0,lmc,NGC1818
741,WFC3,UVIS,12116,NGC1818,76.0615,-66.434489,...,...,Dalcanton,750,2013-03-13,clusters/WFC3/12116_NGC1818/ibxg01o9q_flt.fits,110.0,lmc,NGC1818
742,WFC3,UVIS,12116,NGC1818,76.0615,-66.434489,...,...,Dalcanton,100,2013-03-13,clusters/WFC3/12116_NGC1818/ibxg01oeq_flt.fits,110.0,lmc,NGC1818
894,WFC3,UVIS,11730,QSO-050436-662417,76.15,-66.404361,...,...,Kallivayalil,160,2010-02-11,stage/ib5y25t3q_flt.fits,110.0,lmc,NGC1818-FIELD
895,WFC3,UVIS,11730,QSO-050436-662417,76.15,-66.404361,...,...,Kallivayalil,160,2010-02-11,stage/ib5y25t4q_flt.fits,110.0,lmc,NGC1818-FIELD
896,WFC3,UVIS,11730,QSO-050436-662417,76.15,-66.404361,...,...,Kallivayalil,160,2010-02-11,stage/ib5y25t5q_flt.fits,110.0,lmc,NGC1818-FIELD
897,WFC3,UVIS,11730,QSO-050436-662417,76.15,-66.404361,...,...,Kallivayalil,160,2010-02-11,stage/ib5y25t6q_flt.fits,110.0,lmc,NGC1818-FIELD
1027,WFC3,UVIS,12116,NGC1818,76.0615,-66.434489,...,...,Dalcanton,460,2013-03-13,stage/ibxg01o2q_flt.fits,110.0,lmc,NGC1818
1028,WFC3,UVIS,12116,NGC1818,76.0615,-66.434489,...,...,Dalcanton,2,2013-03-13,stage/ibxg01o5q_flt.fits,110.0,lmc,NGC1818
1029,WFC3,UVIS,12116,NGC1818,76.0615,-66.434489,...,...,Dalcanton,750,2013-03-13,stage/ibxg01o6q_flt.fits,110.0,lmc,NGC1818
1030,WFC3,UVIS,12116,NGC1818,76.0615,-66.434489,...,...,Dalcanton,750,2013-03-13,stage/ibxg01o9q_flt.fits,110.0,lmc,NGC1818
760,WFC3,UVIS,12257,H-2,79.45,-69.645278,...,...,Girardi,120,2012-01-21,clusters/WFC3/12257_H-2/ibhy24e3q_flt.fits,111.0,lmc,HODGE2
761,WFC3,UVIS,12257,H-2,79.45,-69.645278,...,...,Girardi,30,2012-01-21,clusters/WFC3/12257_H-2/ibhy24e4q_flt.fits,111.0,lmc,HODGE2
762,WFC3,UVIS,12257,H-2,79.45,-69.645278,...,...,Girardi,700,2012-01-21,clusters/WFC3/12257_H-2/ibhy24e5q_flt.fits,111.0,lmc,HODGE2
763,WFC3,UVIS,12257,H-2,79.45,-69.645278,...,...,Girardi,700,2012-01-21,clusters/WFC3/12257_H-2/ibhy24e8q_flt.fits,111.0,lmc,HODGE2
764,WFC3,UVIS,12257,H-2,79.45,-69.645278,...,...,Girardi,720,2012-01-21,clusters/WFC3/12257_H-2/ibhy24ecq_flt.fits,111.0,lmc,HODGE2
765,WFC3,UVIS,12257,H-2,79.45,-69.645278,...,...,Girardi,600,2012-01-21,clusters/WFC3/12257_H-2/ibhy24egq_flt.fits,111.0,lmc,HODGE2
942,WFC3,UVIS,12257,H-2,79.45,-69.645278,...,...,Girardi,120,2012-01-21,stage/ibhy24e3q_flt.fits,111.0,lmc,HODGE2
943,WFC3,UVIS,12257,H-2,79.45,-69.645278,...,...,Girardi,30,2012-01-21,stage/ibhy24e4q_flt.fits,111.0,lmc,HODGE2
944,WFC3,UVIS,12257,H-2,79.45,-69.645278,...,...,Girardi,700,2012-01-21,stage/ibhy24e5q_flt.fits,111.0,lmc,HODGE2
945,WFC3,UVIS,12257,H-2,79.45,-69.645278,...,...,Girardi,700,2012-01-21,stage/ibhy24e8q_flt.fits,111.0,lmc,HODGE2
946,WFC3,UVIS,12257,H-2,79.45,-69.645278,...,...,Girardi,720,2012-01-21,stage/ibhy24ecq_flt.fits,111.0,lmc,HODGE2
947,WFC3,UVIS,12257,H-2,79.45,-69.645278,...,...,Girardi,600,2012-01-21,stage/ibhy24egq_flt.fits,111.0,lmc,HODGE2
766,WFC3,UVIS,12257,H-6,85.570833,-71.591667,...,...,Girardi,120,2011-08-16,clusters/WFC3/12257_H-6/ibhy21kyq_flt.fits,112.0,lmc,HODGE6
767,WFC3,UVIS,12257,H-6,85.570833,-71.591667,...,...,Girardi,30,2011-08-16,clusters/WFC3/12257_H-6/ibhy21kzq_flt.fits,112.0,lmc,HODGE6
