i,instrument,detector,propid,target,ra,dec,filter1,filter2,pr_inv,exptime,date-obs,filename,group,galaxy,targname
15,ACS,WFC,12257,ANY,89.638,-73.062954,F475W,CLEAR2L,Girardi,500,2011-10-09,lmc_fields/ACS/12257_ANY/jbhy11o2q_flt.fits,2.0,lmc,NGC2173-FIELD
16,ACS,WFC,12257,ANY,89.637839,-73.062961,F475W,CLEAR2L,Girardi,700,2011-10-09,lmc_fields/ACS/12257_ANY/jbhy11o6q_flt.fits,2.0,lmc,NGC2173-FIELD
17,ACS,WFC,12257,ANY,89.637842,-73.062929,F475W,CLEAR2L,Girardi,700,2011-10-09,lmc_fields/ACS/12257_ANY/jbhy11oaq_flt.fits,2.0,lmc,NGC2173-FIELD
18,ACS,WFC,12257,ANY,89.635291,-73.062467,F475W,CLEAR2L,Girardi,500,2011-10-09,lmc_fields/ACS/12257_ANY/jbhy11oeq_flt.fits,2.0,lmc,NGC2173-FIELD
19,ACS,WFC,12257,ANY,89.635294,-73.062434,CLEAR1L,F814W,Girardi,10,2011-10-09,lmc_fields/ACS/12257_ANY/jbhy11ojq_flt.fits,2.0,lmc,NGC2173-FIELD
20,ACS,WFC,12257,ANY,89.638111,-73.062955,CLEAR1L,F814W,Girardi,700,2011-10-09,lmc_fields/ACS/12257_ANY/jbhy11olq_flt.fits,2.0,lmc,NGC2173-FIELD
21,ACS,WFC,12257,ANY,89.635455,-73.062427,CLEAR1L,F814W,Girardi,690,2011-10-09,lmc_fields/ACS/12257_ANY/jbhy11opq_flt.fits,2.0,lmc,NGC2173-FIELD
22,ACS,WFC,12257,ANY,89.635452,-73.062459,CLEAR1L,F814W,Girardi,700,2011-10-09,lmc_fields/ACS/12257_ANY/jbhy11otq_flt.fits,2.0,lmc,NGC2173-FIELD
23,ACS,WFC,12257,ANY,89.637842,-73.062929,CLEAR1L,F814W,Girardi,600,2011-10-09,lmc_fields/ACS/12257_ANY/jbhy11oxq_flt.fits,2.0,lmc,NGC2173-FIELD
24,ACS,WFC,12257,ANY,82.620698,-69.841768,F475W,CLEAR2L,Girardi,500,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy20req_flt.fits,3.0,lmc,NGC2005-FIELD
25,ACS,WFC,12257,ANY,82.618726,-69.841149,F475W,CLEAR2L,Girardi,500,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy20rhq_flt.fits,3.0,lmc,NGC2005-FIELD
26,ACS,WFC,12257,ANY,82.618588,-69.841148,CLEAR1L,F814W,Girardi,500,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy20rlq_flt.fits,3.0,lmc,NGC2005-FIELD
27,ACS,WFC,12257,ANY,82.620487,-69.841729,CLEAR1L,F814W,Girardi,500,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy20rpq_flt.fits,3.0,lmc,NGC2005-FIELD
28,ACS,WFC,12257,ANY,85.86705,-71.58705,F475W,CLEAR2L,Girardi,500,2011-08-16,lmc_fields/ACS/12257_ANY/jbhy21l1q_flt.fits,4.0,lmc,HODGE6-FIELD
29,ACS,WFC,12257,ANY,85.864626,-71.587559,F475W,CLEAR2L,Girardi,500,2011-08-16,lmc_fields/ACS/12257_ANY/jbhy21l4q_flt.fits,4.0,lmc,HODGE6-FIELD
30,ACS,WFC,12257,ANY,85.864587,-71.587605,CLEAR1L,F814W,Girardi,500,2011-08-16,lmc_fields/ACS/12257_ANY/jbhy21l8q_flt.fits,4.0,lmc,HODGE6-FIELD
