#@string, string, string, string, string, string, string, string, string, ra, dec, string, string, int, float, float, float, string, float, string, string, string, string, float
dataproduct_type,obs_collection,instrument,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,proposal_id,proposal_pi,calib_level,t_min,t_max,t_exptime,obs_title,t_obs_release,objID,s_region,jpegURL,obsid,distance
image,HST,WFC3/UVIS,DADS,F555W,OPTICAL,DEML249,EXT-STAR;SUPERNOVA;SUPERNOVA TYPE IA,ICCO07020,84.03083333333,-70.64501666667,13282,CHU,3,56705.95591,56706.01164,1170,A Search for Surviving Companions of Type Ia Supernovae in the Large Magellanic Cloud,57071.18795,2012921594,POLYGON 83.99337042 -70.6165997 83.93846957 -70.65770188 84.06834644 -70.67345078 84.1222079 -70.63162076 83.99337042 -70.6165997 83.99337042 -70.6165997,http://archive.stsci.edu/hst/previews/ICCO/ICCO07020_256.jpg,2003856230,4890.37386166067
image,HST,WFC3/UVIS,DADS,F814W,OPTICAL,DEML249,EXT-STAR;SUPERNOVA;SUPERNOVA TYPE IA,ICCO07040,84.03083333333,-70.64501666667,13282,CHU,3,56706.0609,56706.09142,1111,A Search for Surviving Companions of Type Ia Supernovae in the Large Magellanic Cloud,57071.39207,2012921596,POLYGON 83.99337042 -70.6165997 83.93846957 -70.65770188 84.06834644 -70.67345078 84.1222079 -70.63162076 83.99337042 -70.6165997 83.99337042 -70.6165997,http://archive.stsci.edu/hst/previews/ICCO/ICCO07040_256.jpg,2003856232,4890.37386166067
image,HST,WFC3/UVIS,DADS,F555W,OPTICAL,DEML249,EXT-STAR;SUPERNOVA;SUPERNOVA TYPE IA,ICCO07JPQ,84.03083333333,-70.64501666667,13282,CHU,3,56706.01315,56706.01338,20,A Search for Surviving Companions of Type Ia Supernovae in the Large Magellanic Cloud,57071.18378,2012736258,POLYGON ICRS  84.08980780 -70.62820962  84.03536035 -70.66968247  83.97142428 -70.66191209  84.02638618 -70.62079114  84.08980780 -70.62820962,http://archive.stsci.edu/hst/previews/ICCO/ICCO07JPQ_256.jpg,2002977642,4930.82724776055
image,HST,WFC3/UVIS,DADS,F814W,OPTICAL,DEML249,EXT-STAR;SUPERNOVA;SUPERNOVA TYPE IA,ICCO07KRQ,84.03083333333,-70.64501666667,13282,CHU,3,56706.09297,56706.09321,20,A Search for Surviving Companions of Type Ia Supernovae in the Large Magellanic Cloud,57071.39161,2012736259,POLYGON ICRS  84.08980780 -70.62820962  84.03536035 -70.66968247  83.97142428 -70.66191209  84.02638618 -70.62079114  84.08980780 -70.62820962,http://archive.stsci.edu/hst/previews/ICCO/ICCO07KRQ_256.jpg,2002977649,4930.82724776055
image,HST,ACS/WFC,HLA,F814W,OPTICAL,ANY,,hst_12941_07_acs_wfc_f814w,83.6360501890389,-68.6765312040114,12941,Stephens,3,56231.76378,56231.90907,4190,,56597.0824,2014956429,POLYGON J2000 83.74458582 -68.68384183 83.74639600 -68.68320780 83.69019133 -68.66471946 83.68805880 -68.66401700 83.68562395 -68.66486892 83.68482167 -68.66460864 83.68667370 -68.66397780 83.63215902 -68.64626945 83.63107440 -68.64591666 83.62998960 -68.64556380 83.51735220 -68.68379020 83.51843717 -68.68414382 83.51656400 -68.68477780 83.57325410 -68.70322990 83.57326878 -68.70322493 83.57435500 -68.70357800 83.58694716 -68.69931058 83.57552920 -68.70328530 83.57658384 -68.70363338 83.57474300 -68.70427400 83.57582116 -68.70462983 83.63308810 -68.72350380 83.63311194 -68.72349549 83.63419210 -68.72385100 83.74672210 -68.68454360 83.74458582 -68.68384183,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_12941_07_acs_wfc_f814w&size=ALL&format=jpeg&output_size=256,2004576336,5103.4741507956
image,HST,ACS/WFC,DADS,F814W,OPTICAL,ANY,PARALLEL FIELD;UNIDENTIFIED,JC2O07010,83.60095727775,-68.67572631665,12941,STEPHENS,3,56231.76378,56231.90907,4190,Probing Isolated Massive Star Formation in the LMC,56597.0824,2012946441,POLYGON 83.62977207 -68.64779639 83.5174782 -68.68540526 83.57391843 -68.70435937 83.68645207 -68.6656593 83.62977207 -68.64779639 83.62977207 -68.64779639,http://archive.stsci.edu/hst/previews/JC2O/JC2O07010_256.jpg,2003881077,5103.93077948436
image,HST,ACS/WFC,HLA,F555W,OPTICAL,ANY,,hst_12941_07_acs_wfc_f555w,83.6316699270714,-68.6842566959858,12941,Stephens,3,56231.80571,56231.82932,1785,,56596.9603,2014956427,POLYGON J2000 83.68822000 -68.66468310 83.57568340 -68.70395400 83.63403110 -68.72318470 83.74656180 -68.68387510 83.68822000 -68.66468310 POLYGON J2000 83.63014510 -68.64622860 83.51750120 -68.68445820 83.57419280 -68.70291110 83.68683260 -68.66464370 83.63014510 -68.64622860,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_12941_07_acs_wfc_f555w&size=ALL&format=jpeg&output_size=256,2004576334,5105.15262526298
image,HST,ACS/WFC,DADS,F555W,OPTICAL,ANY,PARALLEL FIELD;UNIDENTIFIED,JC2O07020,83.60079845539,-68.67505835159,12941,STEPHENS,3,56231.80571,56231.82932,1785,Probing Isolated Massive Star Formation in the LMC,56596.9603,2012946442,POLYGON 83.62961271 -68.64712845 83.51732201 -68.68473725 83.57376045 -68.7036914 83.68629093 -68.6649914 83.62961271 -68.64712845 83.62961271 -68.64712845,http://archive.stsci.edu/hst/previews/JC2O/JC2O07020_256.jpg,2003881078,5105.61376858976
image,HST,ACS/WFC,DADS,F814W,OPTICAL,NGC-1856,GLOBULAR CLUSTER;STELLAR CLUSTER,JCB701010,77.10884883221,-69.09222829809,13379,MILONE,3,56697.33625,56697.39444,601,Multiple stellar populations in the young Large Magellanic Cloud cluster NGC1856,57062.53578,2012947677,POLYGON 77.1525215 -69.053753 77.00701921 -69.07843079 77.06755799 -69.13102607 77.20813664 -69.10560801 77.1525215 -69.053753 77.1525215 -69.053753,http://archive.stsci.edu/hst/previews/JCB7/JCB701010_256.jpg,2003882313,5219.07012461215
image,HST,WFC3/UVIS,HLA,F814W,OPTICAL,053431.5-683513.9,,hst_12941_07_wfc3_uvis_f814w,83.6308800857325,-68.58360854127,12941,Stephens,3,56231.77595,56231.85484,2666,,56597.0255,2014956436,POLYGON J2000 83.56805150 -68.55899792 83.56791950 -68.55899550 83.56872320 -68.58168170 83.56885545 -68.58168412 83.56887910 -68.58235090 83.56901299 -68.58235335 83.56903660 -68.58301890 83.56910871 -68.58302022 83.56979700 -68.60431340 83.56993127 -68.60431617 83.56995280 -68.60498160 83.57008887 -68.60498441 83.57011040 -68.60564960 83.69349950 -68.60815190 83.69347431 -68.60748670 83.69265140 -68.58573480 83.69251614 -68.58573210 83.69249738 -68.58523559 83.69302690 -68.58524490 83.69302003 -68.58507735 83.69299961 -68.58457934 83.69209760 -68.56255920 83.69196444 -68.56255686 83.69193720 -68.56189120 83.69180436 -68.56188886 83.69177710 -68.56122230 83.56805150 -68.55899792,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_12941_07_wfc3_uvis_f814w&size=ALL&format=jpeg&output_size=256,2004576343,5374.50410843358
