,i,instrument,detector,propid,target,ra,dec,filter1,filter2,pr_inv,exptime,date-obs,filename,group,galaxy,targname,s_region
490,938,WFC3,UVIS,12257,NGC-1718,73.112917,-67.050556,...,...,Girardi,600,2011-12-02,stage/ibhy22rnq_flt.fits,113.0,lmc,NGC1718,POLYGON 73.1177085 -67.01325513 73.04273875 -67.04784887 73.1247917 -67.07944324 73.20164023 -67.04480244 73.1177085 -67.01325513 73.1177085 -67.01325513
519,734,WFC3,UVIS,11714,NGC2005,82.542875,-69.75275,...,...,Bond,300,2009-12-05,clusters/WFC3/11714_NGC2005/ib7790zbq_flt.fits,116.0,lmc,NGC2005,POLYGON 82.48141303 -69.71452738 82.44510882 -69.73295173 82.54648587 -69.76108212 82.58377836 -69.74259216 82.48141303 -69.71452738 82.48141303 -69.71452738
520,735,WFC3,UVIS,11714,NGC2005,82.542875,-69.75275,...,...,Bond,60,2009-12-05,clusters/WFC3/11714_NGC2005/ib7790zcq_flt.fits,116.0,lmc,NGC2005,POLYGON 82.48141303 -69.71452738 82.44510882 -69.73295173 82.54648587 -69.76108212 82.58377836 -69.74259216 82.48141303 -69.71452738 82.48141303 -69.71452738
521,736,WFC3,UVIS,11714,NGC2005,82.542875,-69.75275,...,...,Bond,300,2009-12-05,clusters/WFC3/11714_NGC2005/ib7790zdq_flt.fits,116.0,lmc,NGC2005,POLYGON 82.48141303 -69.71452738 82.44510882 -69.73295173 82.54648587 -69.76108212 82.58377836 -69.74259216 82.48141303 -69.71452738 82.48141303 -69.71452738
522,737,WFC3,UVIS,11714,NGC2005,82.542875,-69.75275,...,...,Bond,60,2009-12-05,clusters/WFC3/11714_NGC2005/ib7790zeq_flt.fits,116.0,lmc,NGC2005,POLYGON 82.48141303 -69.71452738 82.44510882 -69.73295173 82.54648587 -69.76108212 82.58377836 -69.74259216 82.48141303 -69.71452738 82.48141303 -69.71452738
523,805,WFC3,UVIS,12257,NGC-2005,82.541667,-69.752167,...,...,Girardi,120,2011-10-12,clusters/WFC3/12257_NGC-2005/ibhy20rbq_flt.fits,116.0,lmc,NGC2005,POLYGON 82.57729751 -69.71933538 82.45113486 -69.73186321 82.4953251 -69.77451044 82.62066653 -69.76259616 82.57729751 -69.71933538 82.57729751 -69.71933538
524,806,WFC3,UVIS,12257,NGC-2005,82.541667,-69.752167,...,...,Girardi,30,2011-10-12,clusters/WFC3/12257_NGC-2005/ibhy20rcq_flt.fits,116.0,lmc,NGC2005,POLYGON 82.57729751 -69.71933538 82.45113486 -69.73186321 82.4953251 -69.77451044 82.62066653 -69.76259616 82.57729751 -69.71933538 82.57729751 -69.71933538
525,807,WFC3,UVIS,12257,NGC-2005,82.541667,-69.752167,...,...,Girardi,700,2011-10-12,clusters/WFC3/12257_NGC-2005/ibhy20rdq_flt.fits,116.0,lmc,NGC2005,POLYGON 82.57729751 -69.71933538 82.45113486 -69.73186321 82.4953251 -69.77451044 82.62066653 -69.76259616 82.57729751 -69.71933538 82.57729751 -69.71933538
526,808,WFC3,UVIS,12257,NGC-2005,82.541667,-69.752167,...,...,Girardi,700,2011-10-12,clusters/WFC3/12257_NGC-2005/ibhy20rgq_flt.fits,116.0,lmc,NGC2005,POLYGON 82.57729751 -69.71933538 82.45113486 -69.73186321 82.4953251 -69.77451044 82.62066653 -69.76259616 82.57729751 -69.71933538 82.57729751 -69.71933538
527,809,WFC3,UVIS,12257,NGC-2005,82.541667,-69.752167,...,...,Girardi,720,2011-10-12,clusters/WFC3/12257_NGC-2005/ibhy20rkq_flt.fits,116.0,lmc,NGC2005,POLYGON 82.57729751 -69.71933538 82.45113486 -69.73186321 82.4953251 -69.77451044 82.62066653 -69.76259616 82.57729751 -69.71933538 82.57729751 -69.71933538
528,810,WFC3,UVIS,12257,NGC-2005,82.541667,-69.752167,...,...,Girardi,600,2011-10-12,clusters/WFC3/12257_NGC-2005/ibhy20roq_flt.fits,116.0,lmc,NGC2005,POLYGON 82.57729751 -69.71933538 82.45113486 -69.73186321 82.4953251 -69.77451044 82.62066653 -69.76259616 82.57729751 -69.71933538 82.57729751 -69.71933538
529,902,WFC3,UVIS,11714,NGC2005,82.542875,-69.75275,...,...,Bond,60,2009-12-05,stage/ib7790zcq_flt.fits,116.0,lmc,NGC2005,POLYGON 82.48141303 -69.71452738 82.44510882 -69.73295173 82.54648587 -69.76108212 82.58377836 -69.74259216 82.48141303 -69.71452738 82.48141303 -69.71452738
530,903,WFC3,UVIS,11714,NGC2005,82.542875,-69.75275,...,...,Bond,60,2009-12-05,stage/ib7790zeq_flt.fits,116.0,lmc,NGC2005,POLYGON 82.48141303 -69.71452738 82.44510882 -69.73295173 82.54648587 -69.76108212 82.58377836 -69.74259216 82.48141303 -69.71452738 82.48141303 -69.71452738
531,924,WFC3,UVIS,12257,NGC-2005,82.541667,-69.752167,...,...,Girardi,120,2011-10-12,stage/ibhy20rbq_flt.fits,116.0,lmc,NGC2005,POLYGON 82.57729751 -69.71933538 82.45113486 -69.73186321 82.4953251 -69.77451044 82.62066653 -69.76259616 82.57729751 -69.71933538 82.57729751 -69.71933538
532,925,WFC3,UVIS,12257,NGC-2005,82.541667,-69.752167,...,...,Girardi,30,2011-10-12,stage/ibhy20rcq_flt.fits,116.0,lmc,NGC2005,POLYGON 82.57729751 -69.71933538 82.45113486 -69.73186321 82.4953251 -69.77451044 82.62066653 -69.76259616 82.57729751 -69.71933538 82.57729751 -69.71933538
533,926,WFC3,UVIS,12257,NGC-2005,82.541667,-69.752167,...,...,Girardi,700,2011-10-12,stage/ibhy20rdq_flt.fits,116.0,lmc,NGC2005,POLYGON 82.57729751 -69.71933538 82.45113486 -69.73186321 82.4953251 -69.77451044 82.62066653 -69.76259616 82.57729751 -69.71933538 82.57729751 -69.71933538
534,927,WFC3,UVIS,12257,NGC-2005,82.541667,-69.752167,...,...,Girardi,700,2011-10-12,stage/ibhy20rgq_flt.fits,116.0,lmc,NGC2005,POLYGON 82.57729751 -69.71933538 82.45113486 -69.73186321 82.4953251 -69.77451044 82.62066653 -69.76259616 82.57729751 -69.71933538 82.57729751 -69.71933538
535,928,WFC3,UVIS,12257,NGC-2005,82.541667,-69.752167,...,...,Girardi,720,2011-10-12,stage/ibhy20rkq_flt.fits,116.0,lmc,NGC2005,POLYGON 82.57729751 -69.71933538 82.45113486 -69.73186321 82.4953251 -69.77451044 82.62066653 -69.76259616 82.57729751 -69.71933538 82.57729751 -69.71933538
536,929,WFC3,UVIS,12257,NGC-2005,82.541667,-69.752167,...,...,Girardi,600,2011-10-12,stage/ibhy20roq_flt.fits,116.0,lmc,NGC2005,POLYGON 82.57729751 -69.71933538 82.45113486 -69.73186321 82.4953251 -69.77451044 82.62066653 -69.76259616 82.57729751 -69.71933538 82.57729751 -69.71933538
537,817,WFC3,UVIS,12257,NGC-2173,89.494167,-72.97925,...,...,Girardi,30,2011-10-09,clusters/WFC3/12257_NGC-2173/ibhy11nzq_flt.fits,117.0,lmc,NGC2173,POLYGON 89.51682875 -72.94481017 89.37699066 -72.96450637 89.45301497 -73.00397418 89.59223121 -72.98492318 89.51682875 -72.94481017 89.51682875 -72.94481017
538,818,WFC3,UVIS,12257,NGC-2173,89.494167,-72.97925,...,...,Girardi,800,2011-10-09,clusters/WFC3/12257_NGC-2173/ibhy11o1q_flt.fits,117.0,lmc,NGC2173,POLYGON 89.51682875 -72.94481017 89.37699066 -72.96450637 89.45301497 -73.00397418 89.59223121 -72.98492318 89.51682875 -72.94481017 89.51682875 -72.94481017
539,819,WFC3,UVIS,12257,NGC-2173,89.494167,-72.97925,...,...,Girardi,700,2011-10-09,clusters/WFC3/12257_NGC-2173/ibhy11o5q_flt.fits,117.0,lmc,NGC2173,POLYGON 89.51682875 -72.94481017 89.37699066 -72.96450637 89.45301497 -73.00397418 89.59223121 -72.98492318 89.51682875 -72.94481017 89.51682875 -72.94481017
540,820,WFC3,UVIS,12257,NGC-2173,89.494167,-72.97925,...,...,Girardi,700,2011-10-09,clusters/WFC3/12257_NGC-2173/ibhy11o9q_flt.fits,117.0,lmc,NGC2173,POLYGON 89.51682875 -72.94481017 89.37699066 -72.96450637 89.45301497 -73.00397418 89.59223121 -72.98492318 89.51682875 -72.94481017 89.51682875 -72.94481017
541,821,WFC3,UVIS,12257,NGC-2173,89.494167,-72.97925,...,...,Girardi,550,2011-10-09,clusters/WFC3/12257_NGC-2173/ibhy11odq_flt.fits,117.0,lmc,NGC2173,POLYGON 89.51682875 -72.94481017 89.37699066 -72.96450637 89.45301497 -73.00397418 89.59223121 -72.98492318 89.51682875 -72.94481017 89.51682875 -72.94481017
542,822,WFC3,UVIS,12257,NGC-2173,89.494167,-72.97925,...,...,Girardi,120,2011-10-09,clusters/WFC3/12257_NGC-2173/ibhy11oiq_flt.fits,117.0,lmc,NGC2173,POLYGON 89.51682875 -72.94481017 89.37699066 -72.96450637 89.45301497 -73.00397418 89.59223121 -72.98492318 89.51682875 -72.94481017 89.51682875 -72.94481017
543,823,WFC3,UVIS,12257,NGC-2173,89.494167,-72.97925,...,...,Girardi,700,2011-10-09,clusters/WFC3/12257_NGC-2173/ibhy11okq_flt.fits,117.0,lmc,NGC2173,POLYGON 89.51682875 -72.94481017 89.37699066 -72.96450637 89.45301497 -73.00397418 89.59223121 -72.98492318 89.51682875 -72.94481017 89.51682875 -72.94481017
544,824,WFC3,UVIS,12257,NGC-2173,89.494167,-72.97925,...,...,Girardi,700,2011-10-09,clusters/WFC3/12257_NGC-2173/ibhy11ooq_flt.fits,117.0,lmc,NGC2173,POLYGON 89.51682875 -72.94481017 89.37699066 -72.96450637 89.45301497 -73.00397418 89.59223121 -72.98492318 89.51682875 -72.94481017 89.51682875 -72.94481017
545,825,WFC3,UVIS,12257,NGC-2173,89.494167,-72.97925,...,...,Girardi,700,2011-10-09,clusters/WFC3/12257_NGC-2173/ibhy11osq_flt.fits,117.0,lmc,NGC2173,POLYGON 89.51682875 -72.94481017 89.37699066 -72.96450637 89.45301497 -73.00397418 89.59223121 -72.98492318 89.51682875 -72.94481017 89.51682875 -72.94481017
546,826,WFC3,UVIS,12257,NGC-2173,89.494167,-72.97925,...,...,Girardi,700,2011-10-09,clusters/WFC3/12257_NGC-2173/ibhy11owq_flt.fits,117.0,lmc,NGC2173,POLYGON 89.51682875 -72.94481017 89.37699066 -72.96450637 89.45301497 -73.00397418 89.59223121 -72.98492318 89.51682875 -72.94481017 89.51682875 -72.94481017
547,910,WFC3,UVIS,12257,NGC-2173,89.494167,-72.97925,...,...,Girardi,30,2011-10-09,stage/ibhy11nzq_flt.fits,117.0,lmc,NGC2173,POLYGON 89.51682875 -72.94481017 89.37699066 -72.96450637 89.45301497 -73.00397418 89.59223121 -72.98492318 89.51682875 -72.94481017 89.51682875 -72.94481017
548,911,WFC3,UVIS,12257,NGC-2173,89.494167,-72.97925,...,...,Girardi,700,2011-10-09,stage/ibhy11o5q_flt.fits,117.0,lmc,NGC2173,POLYGON 89.51682875 -72.94481017 89.37699066 -72.96450637 89.45301497 -73.00397418 89.59223121 -72.98492318 89.51682875 -72.94481017 89.51682875 -72.94481017
549,912,WFC3,UVIS,12257,NGC-2173,89.494167,-72.97925,...,...,Girardi,700,2011-10-09,stage/ibhy11o9q_flt.fits,117.0,lmc,NGC2173,POLYGON 89.51682875 -72.94481017 89.37699066 -72.96450637 89.45301497 -73.00397418 89.59223121 -72.98492318 89.51682875 -72.94481017 89.51682875 -72.94481017
550,913,WFC3,UVIS,12257,NGC-2173,89.494167,-72.97925,...,...,Girardi,550,2011-10-09,stage/ibhy11odq_flt.fits,117.0,lmc,NGC2173,POLYGON 89.51682875 -72.94481017 89.37699066 -72.96450637 89.45301497 -73.00397418 89.59223121 -72.98492318 89.51682875 -72.94481017 89.51682875 -72.94481017
551,827,WFC3,UVIS,12257,NGC-2203,91.172083,-75.436389,...,...,Girardi,30,2011-10-08,clusters/WFC3/12257_NGC-2203/ibhy10fuq_flt.fits,118.0,lmc,NGC2203,POLYGON 91.19465555 -75.40284366 91.0358974 -75.42451512 91.13196749 -75.46285115 91.29014154 -75.44182344 91.19465555 -75.40284366 91.19465555 -75.40284366
552,828,WFC3,UVIS,12257,NGC-2203,91.172083,-75.436389,...,...,Girardi,800,2011-10-08,clusters/WFC3/12257_NGC-2203/ibhy10fwq_flt.fits,118.0,lmc,NGC2203,POLYGON 91.19465555 -75.40284366 91.0358974 -75.42451512 91.13196749 -75.46285115 91.29014154 -75.44182344 91.19465555 -75.40284366 91.19465555 -75.40284366
553,829,WFC3,UVIS,12257,NGC-2203,91.172083,-75.436389,...,...,Girardi,700,2011-10-08,clusters/WFC3/12257_NGC-2203/ibhy10g8q_flt.fits,118.0,lmc,NGC2203,POLYGON 91.19465555 -75.40284366 91.0358974 -75.42451512 91.13196749 -75.46285115 91.29014154 -75.44182344 91.19465555 -75.40284366 91.19465555 -75.40284366
554,830,WFC3,UVIS,12257,NGC-2203,91.172083,-75.436389,...,...,Girardi,700,2011-10-08,clusters/WFC3/12257_NGC-2203/ibhy10gcq_flt.fits,118.0,lmc,NGC2203,POLYGON 91.19465555 -75.40284366 91.0358974 -75.42451512 91.13196749 -75.46285115 91.29014154 -75.44182344 91.19465555 -75.40284366 91.19465555 -75.40284366
555,831,WFC3,UVIS,12257,NGC-2203,91.172083,-75.436389,...,...,Girardi,550,2011-10-08,clusters/WFC3/12257_NGC-2203/ibhy10ggq_flt.fits,118.0,lmc,NGC2203,POLYGON 91.19465555 -75.40284366 91.0358974 -75.42451512 91.13196749 -75.46285115 91.29014154 -75.44182344 91.19465555 -75.40284366 91.19465555 -75.40284366
556,832,WFC3,UVIS,12257,NGC-2203,91.172083,-75.436389,...,...,Girardi,120,2011-10-08,clusters/WFC3/12257_NGC-2203/ibhy10grq_flt.fits,118.0,lmc,NGC2203,POLYGON 91.19465555 -75.40284366 91.0358974 -75.42451512 91.13196749 -75.46285115 91.29014154 -75.44182344 91.19465555 -75.40284366 91.19465555 -75.40284366
557,833,WFC3,UVIS,12257,NGC-2203,91.172083,-75.436389,...,...,Girardi,700,2011-10-08,clusters/WFC3/12257_NGC-2203/ibhy10guq_flt.fits,118.0,lmc,NGC2203,POLYGON 91.19465555 -75.40284366 91.0358974 -75.42451512 91.13196749 -75.46285115 91.29014154 -75.44182344 91.19465555 -75.40284366 91.19465555 -75.40284366
558,834,WFC3,UVIS,12257,NGC-2203,91.172083,-75.436389,...,...,Girardi,700,2011-10-08,clusters/WFC3/12257_NGC-2203/ibhy10gyq_flt.fits,118.0,lmc,NGC2203,POLYGON 91.19465555 -75.40284366 91.0358974 -75.42451512 91.13196749 -75.46285115 91.29014154 -75.44182344 91.19465555 -75.40284366 91.19465555 -75.40284366
559,835,WFC3,UVIS,12257,NGC-2203,91.172083,-75.436389,...,...,Girardi,700,2011-10-08,clusters/WFC3/12257_NGC-2203/ibhy10h2q_flt.fits,118.0,lmc,NGC2203,POLYGON 91.19465555 -75.40284366 91.0358974 -75.42451512 91.13196749 -75.46285115 91.29014154 -75.44182344 91.19465555 -75.40284366 91.19465555 -75.40284366
560,836,WFC3,UVIS,12257,NGC-2203,91.172083,-75.436389,...,...,Girardi,700,2011-10-08,clusters/WFC3/12257_NGC-2203/ibhy10h6q_flt.fits,118.0,lmc,NGC2203,POLYGON 91.19465555 -75.40284366 91.0358974 -75.42451512 91.13196749 -75.46285115 91.29014154 -75.44182344 91.19465555 -75.40284366 91.19465555 -75.40284366
561,906,WFC3,UVIS,12257,NGC-2203,91.172083,-75.436389,...,...,Girardi,30,2011-10-08,stage/ibhy10fuq_flt.fits,118.0,lmc,NGC2203,POLYGON 91.19465555 -75.40284366 91.0358974 -75.42451512 91.13196749 -75.46285115 91.29014154 -75.44182344 91.19465555 -75.40284366 91.19465555 -75.40284366
562,907,WFC3,UVIS,12257,NGC-2203,91.172083,-75.436389,...,...,Girardi,700,2011-10-08,stage/ibhy10g8q_flt.fits,118.0,lmc,NGC2203,POLYGON 91.19465555 -75.40284366 91.0358974 -75.42451512 91.13196749 -75.46285115 91.29014154 -75.44182344 91.19465555 -75.40284366 91.19465555 -75.40284366
563,908,WFC3,UVIS,12257,NGC-2203,91.172083,-75.436389,...,...,Girardi,700,2011-10-08,stage/ibhy10gcq_flt.fits,118.0,lmc,NGC2203,POLYGON 91.19465555 -75.40284366 91.0358974 -75.42451512 91.13196749 -75.46285115 91.29014154 -75.44182344 91.19465555 -75.40284366 91.19465555 -75.40284366
564,909,WFC3,UVIS,12257,NGC-2203,91.172083,-75.436389,...,...,Girardi,550,2011-10-08,stage/ibhy10ggq_flt.fits,118.0,lmc,NGC2203,POLYGON 91.19465555 -75.40284366 91.0358974 -75.42451512 91.13196749 -75.46285115 91.29014154 -75.44182344 91.19465555 -75.40284366 91.19465555 -75.40284366
565,837,WFC3,UVIS,12257,NGC-2213,92.674583,-71.528111,...,...,Girardi,120,2011-11-29,clusters/WFC3/12257_NGC-2213/ibhy25kaq_flt.fits,119.0,lmc,NGC2213,POLYGON 92.63710407 -71.49270565 92.59105149 -71.53559431 92.72156865 -71.55330209 92.76953436 -71.51010329 92.63710407 -71.49270565 92.63710407 -71.49270565
566,838,WFC3,UVIS,12257,NGC-2213,92.674583,-71.528111,...,...,Girardi,30,2011-11-29,clusters/WFC3/12257_NGC-2213/ibhy25kbq_flt.fits,119.0,lmc ,NGC2213,POLYGON 92.63710407 -71.49270565 92.59105149 -71.53559431 92.72156865 -71.55330209 92.76953436 -71.51010329 92.63710407 -71.49270565 92.63710407 -71.49270565
567,839,WFC3,UVIS,12257,NGC-2213,92.674583,-71.528111,...,...,Girardi,700,2011-11-29,clusters/WFC3/12257_NGC-2213/ibhy25kcq_flt.fits,119.0,lmc,NGC2213,POLYGON 92.63710407 -71.49270565 92.59105149 -71.53559431 92.72156865 -71.55330209 92.76953436 -71.51010329 92.63710407 -71.49270565 92.63710407 -71.49270565
568,840,WFC3,UVIS,12257,NGC-2213,92.674583,-71.528111,...,...,Girardi,700,2011-11-29,clusters/WFC3/12257_NGC-2213/ibhy25kfq_flt.fits,119.0,lmc,NGC2213,POLYGON 92.63710407 -71.49270565 92.59105149 -71.53559431 92.72156865 -71.55330209 92.76953436 -71.51010329 92.63710407 -71.49270565 92.63710407 -71.49270565
569,841,WFC3,UVIS,12257,NGC-2213,92.674583,-71.528111,...,...,Girardi,720,2011-11-29,clusters/WFC3/12257_NGC-2213/ibhy25kjq_flt.fits,119.0,lmc,NGC2213,POLYGON 92.63710457 -71.49270558 92.5910513 -71.53559416 92.72156818 -71.55330215 92.76953458 -71.51010343 92.63710457 -71.49270558 92.63710457 -71.49270558
570,842,WFC3,UVIS,12257,NGC-2213,92.674583,-71.528111,...,...,Girardi,600,2011-11-29,clusters/WFC3/12257_NGC-2213/ibhy25knq_flt.fits,119.0,lmc,NGC2213,POLYGON 92.63710457 -71.49270558 92.5910513 -71.53559416 92.72156818 -71.55330215 92.76953458 -71.51010343 92.63710457 -71.49270558 92.63710457 -71.49270558
571,948,WFC3,UVIS,12257,NGC-2213,92.674583,-71.528111,...,...,Girardi,120,2011-11-29,stage/ibhy25kaq_flt.fits,119.0,lmc,NGC2213,POLYGON 92.63710407 -71.49270565 92.59105149 -71.53559431 92.72156865 -71.55330209 92.76953436 -71.51010329 92.63710407 -71.49270565 92.63710407 -71.49270565
572,949,WFC3,UVIS,12257,NGC-2213,92.674583,-71.528111,...,...,Girardi,30,2011-11-29,stage/ibhy25kbq_flt.fits,119.0,lmc,NGC2213,POLYGON 92.63710407 -71.49270565 92.59105149 -71.53559431 92.72156865 -71.55330209 92.76953436 -71.51010329 92.63710407 -71.49270565 92.63710407 -71.49270565
573,950,WFC3,UVIS,12257,NGC-2213,92.674583,-71.528111,...,...,Girardi,700,2011-11-29,stage/ibhy25kcq_flt.fits,119.0,lmc,NGC2213,POLYGON 92.63710407 -71.49270565 92.59105149 -71.53559431 92.72156865 -71.55330209 92.76953436 -71.51010329 92.63710407 -71.49270565 92.63710407 -71.49270565
574,951,WFC3,UVIS,12257,NGC-2213,92.674583,-71.528111,...,...,Girardi,700,2011-11-29,stage/ibhy25kfq_flt.fits,119.0,lmc,NGC2213,POLYGON 92.63710407 -71.49270565 92.59105149 -71.53559431 92.72156865 -71.55330209 92.76953436 -71.51010329 92.63710407 -71.49270565 92.63710407 -71.49270565
575,952,WFC3,UVIS,12257,NGC-2213,92.674583,-71.528111,...,...,Girardi,720,2011-11-29,stage/ibhy25kjq_flt.fits,119.0,lmc,NGC2213,POLYGON 92.63710457 -71.49270558 92.5910513 -71.53559416 92.72156818 -71.55330215 92.76953458 -71.51010343 92.63710457 -71.49270558 92.63710457 -71.49270558
576,953,WFC3,UVIS,12257,NGC-2213,92.674583,-71.528111,...,...,Girardi,600,2011-11-29,stage/ibhy25knq_flt.fits,119.0,lmc,NGC2213,POLYGON 92.63710457 -71.49270558 92.5910513 -71.53559416 92.72156818 -71.55330215 92.76953458 -71.51010343 92.63710457 -71.49270558 92.63710457 -71.49270558
