# This is a cull of mast.csv to only inlcude *_fl*fits entries. NGC2070 and other entries were cleaned up.
#@string, string, string, string, ra, dec, string, string, string, string, string, string, string, int, string, string, string, ra, dec, float, float, float, string, string, string, string, float, string, string, string, string, string, string, string, string, float
instrument,detector,propid,target,ra,dec,filter1,filter2,pr_inv,exptime,date-obs,filename,dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,target_classification,obs_title,t_obs_release,instrument_,proposal_pi,proposal_id,objID,s_region,jpegURL,obsid,project,distance
ACS,WFC,10396,SFH-1,12.916667,-73.116944,CLEAR1L,F814W,Gallagher,1,2006-01-17,clusters/ACS/10396_SFH-1/j96110dlq_flt.fits,image,3,HST,J96110DTQ,SFH-1,12.91666666667,-73.11694444444,53752.1253,53752.12587,48,OPTICAL,F814W,GALAXY;MAGELLANIC IRREGULAR,"Star Clusters, Stellar Populations, and the Evolution of the Small Magellanic Cloud",54117.47125,ACS/WFC,GALLAGHER,10396,2012756777,POLYGON GSC1  12.78921373 -73.14034866  12.82459787 -73.08443074  13.02082865 -73.09171385  12.98196018 -73.14608210  12.78921373 -73.14034866,http://archive.stsci.edu/hst/previews/J961/J96110DTQ_256.jpg,2003083922,DADS,0
ACS,WFC,10595,ESO056-SC023,73.55,-69.806667,F555W,CLEAR2L,Goudfrooij,0,2006-03-04,clusters/ACS/10595_ESO056-SC023/j9es01s4q_flt.fits,image,3,HST,J9ES01S7Q,ESO056-SC023,73.55,-69.80666666667,53798.06223,53798.06234,8,OPTICAL,F814W,GLOBULAR CLUSTER;STELLAR CLUSTER,A Reference Database for Accurate Ages and Metallicities of Globular Clusters in the Magellanic Clouds,54163.64355,ACS/WFC,GOUDFROOIJ,10595,2012758202,POLYGON GSC1  73.50780019 -69.83576387  73.51007675 -69.77945820  73.59074332 -69.77791981  73.58666742 -69.83342946  73.50780019 -69.83576387,http://archive.stsci.edu/hst/previews/J9ES/J9ES01S7Q_256.jpg,2003098310,DADS,0
ACS,WFC,10595,ESO056-SC023,73.55,-69.806667,CLEAR1L,F814W,Goudfrooij,8,2006-03-04,clusters/ACS/10595_ESO056-SC023/j9es01s7q_flt.fits,image,3,HST,J9ES01S7Q,ESO056-SC023,73.55,-69.80666666667,53798.06223,53798.06234,8,OPTICAL,F814W,GLOBULAR CLUSTER;STELLAR CLUSTER,A Reference Database for Accurate Ages and Metallicities of Globular Clusters in the Magellanic Clouds,54163.64355,ACS/WFC,GOUDFROOIJ,10595,2012758202,POLYGON GSC1  73.50780019 -69.83576387  73.51007675 -69.77945820  73.59074332 -69.77791981  73.58666742 -69.83342946  73.50780019 -69.83576387,http://archive.stsci.edu/hst/previews/J9ES/J9ES01S7Q_256.jpg,2003098310,DADS,0
ACS,WFC,10595,ESO056-SC023,73.55,-69.806667,CLEAR1L,F814W,Goudfrooij,0,2006-03-04,clusters/ACS/10595_ESO056-SC023/j9es01s8q_flt.fits,image,3,HST,J9ES01S7Q,ESO056-SC023,73.55,-69.80666666667,53798.06223,53798.06234,8,OPTICAL,F814W,GLOBULAR CLUSTER;STELLAR CLUSTER,A Reference Database for Accurate Ages and Metallicities of Globular Clusters in the Magellanic Clouds,54163.64355,ACS/WFC,GOUDFROOIJ,10595,2012758202,POLYGON GSC1  73.50780019 -69.83576387  73.51007675 -69.77945820  73.59074332 -69.77791981  73.58666742 -69.83342946  73.50780019 -69.83576387,http://archive.stsci.edu/hst/previews/J9ES/J9ES01S7Q_256.jpg,2003098310,DADS,0
ACS,WFC,10595,ESO056-SC023,73.55,-69.806667,CLEAR1L,F814W,Goudfrooij,0,2006-03-04,clusters/ACS/10595_ESO056-SC023/j9es01saq_flt.fits,image,3,HST,J9ES01S7Q,ESO056-SC023,73.55,-69.80666666667,53798.06223,53798.06234,8,OPTICAL,F814W,GLOBULAR CLUSTER;STELLAR CLUSTER,A Reference Database for Accurate Ages and Metallicities of Globular Clusters in the Magellanic Clouds,54163.64355,ACS/WFC,GOUDFROOIJ,10595,2012758202,POLYGON GSC1  73.50780019 -69.83576387  73.51007675 -69.77945820  73.59074332 -69.77791981  73.58666742 -69.83342946  73.50780019 -69.83576387,http://archive.stsci.edu/hst/previews/J9ES/J9ES01S7Q_256.jpg,2003098310,DADS,0
ACS,WFC,10595,ESO056-SC023-COPY,73.55,-69.806667,CLEAR1L,F435W,Goudfrooij,90,2006-10-17,clusters/ACS/10595_ESO056-SC023-COPY/j9es51huq_flt.fits,image,3,HST,J9ES01S7Q,ESO056-SC023,73.55,-69.80666666667,53798.06223,53798.06234,8,OPTICAL,F814W,GLOBULAR CLUSTER;STELLAR CLUSTER,A Reference Database for Accurate Ages and Metallicities of Globular Clusters in the Magellanic Clouds,54163.64355,ACS/WFC,GOUDFROOIJ,10595,2012758202,POLYGON GSC1  73.50780019 -69.83576387  73.51007675 -69.77945820  73.59074332 -69.77791981  73.58666742 -69.83342946  73.50780019 -69.83576387,http://archive.stsci.edu/hst/previews/J9ES/J9ES01S7Q_256.jpg,2003098310,DADS,0
ACS,WFC,10595,ESO056-SC023-COPY,73.55,-69.806667,CLEAR1L,F435W,Goudfrooij,340,2006-10-17,clusters/ACS/10595_ESO056-SC023-COPY/j9es51hvq_flt.fits,image,3,HST,J9ES01S7Q,ESO056-SC023,73.55,-69.80666666667,53798.06223,53798.06234,8,OPTICAL,F814W,GLOBULAR CLUSTER;STELLAR CLUSTER,A Reference Database for Accurate Ages and Metallicities of Globular Clusters in the Magellanic Clouds,54163.64355,ACS/WFC,GOUDFROOIJ,10595,2012758202,POLYGON GSC1  73.50780019 -69.83576387  73.51007675 -69.77945820  73.59074332 -69.77791981  73.58666742 -69.83342946  73.50780019 -69.83576387,http://archive.stsci.edu/hst/previews/J9ES/J9ES01S7Q_256.jpg,2003098310,DADS,0
ACS,WFC,10595,ESO056-SC023-COPY,73.55,-69.806667,CLEAR1L,F814W,Goudfrooij,340,2006-10-18,clusters/ACS/10595_ESO056-SC023-COPY/j9es51i7q_flt.fits,image,3,HST,J9ES51I6Q,ESO056-SC023-COPY,73.55,-69.80666666667,54026.02674,54026.02684,8,OPTICAL,F814W,GLOBULAR CLUSTER;STELLAR CLUSTER,A Reference Database for Accurate Ages and Metallicities of Globular Clusters in the Magellanic Clouds,54391.14183,ACS/WFC,GOUDFROOIJ,10595,2012758225,POLYGON GSC1  73.63718774 -69.79432838  73.52814100 -69.83622355  73.46440832 -69.81899707  73.57348560 -69.77819851  73.63718774 -69.79432838,http://archive.stsci.edu/hst/previews/J9ES/J9ES51I6Q_256.jpg,2003098383,DADS,0
ACS,WFC,10595,ESO056-SC023,73.55,-69.806667,CLEAR1L,F435W,Goudfrooij,90,2006-03-04,clusters/ACS/10595_ESO056-SC023/j9es01rvq_flt.fits,image,3,HST,J9ES51I6Q,ESO056-SC023-COPY,73.55,-69.80666666667,54026.02674,54026.02684,8,OPTICAL,F814W,GLOBULAR CLUSTER;STELLAR CLUSTER,A Reference Database for Accurate Ages and Metallicities of Globular Clusters in the Magellanic Clouds,54391.14183,ACS/WFC,GOUDFROOIJ,10595,2012758225,POLYGON GSC1  73.63718774 -69.79432838  73.52814100 -69.83622355  73.46440832 -69.81899707  73.57348560 -69.77819851  73.63718774 -69.79432838,http://archive.stsci.edu/hst/previews/J9ES/J9ES51I6Q_256.jpg,2003098383,DADS,0
ACS,WFC,10595,ESO056-SC023,73.55,-69.806667,CLEAR1L,F435W,Goudfrooij,0,2006-03-04,clusters/ACS/10595_ESO056-SC023/j9es01rwq_flt.fits,image,3,HST,J9ES51I6Q,ESO056-SC023-COPY,73.55,-69.80666666667,54026.02674,54026.02684,8,OPTICAL,F814W,GLOBULAR CLUSTER;STELLAR CLUSTER,A Reference Database for Accurate Ages and Metallicities of Globular Clusters in the Magellanic Clouds,54391.14183,ACS/WFC,GOUDFROOIJ,10595,2012758225,POLYGON GSC1  73.63718774 -69.79432838  73.52814100 -69.83622355  73.46440832 -69.81899707  73.57348560 -69.77819851  73.63718774 -69.79432838,http://archive.stsci.edu/hst/previews/J9ES/J9ES51I6Q_256.jpg,2003098383,DADS,0
