#@string, string, string, string, string, string, string, string, string, ra, dec, string, string, int, float, float, float, string, float, string, string, string, string, float
dataproduct_type,obs_collection,instrument,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,proposal_id,proposal_pi,calib_level,t_min,t_max,t_exptime,obs_title,t_obs_release,objID,s_region,jpegURL,obsid,distance
image,HST,ACS/WFC,HLA,F814W,OPTICAL,ANY,,hst_13009_71_acs_wfc_f814w,14.8232187706068,-72.4230809013714,13009,De Marchi,3,56505.77691,56505.78094,347,,56871.00652,2014957472,POLYGON J2000 14.78796170 -72.44932100 14.87802710 -72.45832990 14.94913190 -72.40584480 14.85929130 -72.39686810 14.78796170 -72.44932100 POLYGON J2000 14.85771460 -72.39703540 14.77073510 -72.38851890 14.69772960 -72.44003690 14.78492200 -72.44858530 14.85771460 -72.39703540,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_13009_71_acs_wfc_f814w&size=ALL&format=jpeg&output_size=256,2004577379,2143.7482725398
image,HST,ACS/WFC,HLA,F435W,OPTICAL,SMCJ004802-732058,,hst_10126_02_acs_wfc_f435w,11.9838153345568,-73.3618033344913,10126,Olszewski,3,53322.85008,53322.8552,440,,53688.32229,2014881242,POLYGON J2000 11.96004940 -73.32086760 11.90795940 -73.34413890 12.06261670 -73.37849200 12.11460090 -73.35518220 11.96004940 -73.32086760 POLYGON J2000 12.00819560 -73.40297990 12.06276420 -73.37899830 11.90467030 -73.34484120 11.84998940 -73.36878150 12.00819560 -73.40297990,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_10126_02_acs_wfc_f435w&size=ALL&format=jpeg&output_size=256,2004501149,2189.68590850182
image,HST,ACS/WFC,HLA,F555W,OPTICAL,SMCJ004802-732058,,hst_10126_02_acs_wfc_f555w,11.9838148666988,-73.3618038586521,10126,Olszewski,3,53322.8573,53322.86944,560,,53687.8624,2014881243,POLYGON J2000 11.84999220 -73.36878170 12.00819310 -73.40297920 12.06276140 -73.37899810 11.90467290 -73.34484190 11.84999220 -73.36878170 POLYGON J2000 11.96005210 -73.32087000 11.90796250 -73.34414050 12.06261200 -73.37849170 12.11459580 -73.35518260 11.96005210 -73.32087000,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_10126_02_acs_wfc_f555w&size=ALL&format=jpeg&output_size=256,2004501150,2189.69118611309
image,HST,ACS/WFC,HLA,F814W,OPTICAL,SMCJ004802-732058,,hst_10126_02_acs_wfc_f814w,11.9838128242532,-73.3618043575017,10126,Olszewski,3,53322.87147,53322.88361,560,,53687.87656,2014881244,POLYGON J2000 12.06260380 -73.37849160 12.11458340 -73.35518360 11.96005220 -73.32087200 11.90796680 -73.34414150 12.06260380 -73.37849160 POLYGON J2000 12.00819000 -73.40297790 12.06275390 -73.37899810 11.90467590 -73.34484330 11.84999960 -73.36878170 12.00819000 -73.40297790,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_10126_02_acs_wfc_f814w&size=ALL&format=jpeg&output_size=256,2004501151,2189.6969081598
image,HST,ACS/WFC,DADS,F814W,OPTICAL,SMCJ004802-732058,GALAXY;UNDESIGNATED,J90602010,12.01125,-73.34969444444,10126,OLSZEWSKI,3,53322.87147,53322.88361,560,The 3-D Shape of the SMC: Is It Tidally Distorted?,53687.87656,2012931738,POLYGON 12.11059233 -73.35508106 11.95827179 -73.32079027 11.90440797 -73.34405197 12.0605131 -73.3783006 12.11059233 -73.35508106 12.11059233 -73.35508106,http://archive.stsci.edu/hst/previews/J906/J90602010_256.jpg,2003866374,2190.55762817819
image,HST,ACS/WFC,DADS,F555W,OPTICAL,SMCJ004802-732058,GALAXY;UNDESIGNATED,J90602020,12.01125,-73.34969444444,10126,OLSZEWSKI,3,53322.8573,53322.86944,560,The 3-D Shape of the SMC: Is It Tidally Distorted?,53687.8624,2012931739,POLYGON 12.11059233 -73.35508106 11.95827179 -73.32079027 11.90440797 -73.34405197 12.0605131 -73.3783006 12.11059233 -73.35508106 12.11059233 -73.35508106,http://archive.stsci.edu/hst/previews/J906/J90602020_256.jpg,2003866375,2190.55762817819
image,HST,ACS/WFC,HLA,F475W,OPTICAL,HIGH-GALACTIC-LATITUDE,,hst_9488_9u_acs_wfc_f475w,17.4560123297683,-72.8824347486247,9488,Ratnatunga,3,52539.95262,52539.98522,2544,,52540.12953,2014981046,POLYGON J2000 17.58308920 -72.90104890 17.54843320 -72.87432030 17.36402690 -72.89074310 17.39843520 -72.91750300 17.58308920 -72.90104890 POLYGON J2000 17.51289090 -72.84828850 17.33015850 -72.86377060 17.36398580 -72.88956950 17.54695540 -72.87405680 17.51289090 -72.84828850,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_9488_9u_acs_wfc_f475w&size=ALL&format=jpeg&output_size=256,2004600953,4403.07338323802
image,HST,ACS/WFC,HLA,F475W,OPTICAL,HIGH-GALACTIC-LATITUDE,,hst_9488_9t_acs_wfc_f475w,17.4628057793248,-72.8834044577792,9488,Ratnatunga,3,52539.24529,52539.27666,1626,,52539.34095,2014981042,POLYGON J2000 17.37116130 -72.89203960 17.40666990 -72.91867550 17.59064370 -72.90156650 17.55489210 -72.87496280 17.37116130 -72.89203960 POLYGON J2000 17.55340360 -72.87470340 17.51828580 -72.84905780 17.33618730 -72.86518810 17.37107230 -72.89086500 17.55340360 -72.87470340,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_9488_9t_acs_wfc_f475w&size=ALL&format=jpeg&output_size=256,2004600949,4409.44474118365
image,HST,ACS/WFC,HLA,F475W,OPTICAL,HIGH-GALACTIC-LATITUDE,,hst_9488_bn_acs_wfc_f475w,17.7700439494083,-72.9013821552913,9488,Ratnatunga,3,52875.95354,52875.97502,1583,,52876.39343,2014981191,POLYGON J2000 17.70411710 -72.92203360 17.77933210 -72.94022840 17.91184190 -72.89898470 17.83666610 -72.88083870 17.70411710 -72.92203360 POLYGON J2000 17.76196500 -72.86341910 17.62908820 -72.90356670 17.70209710 -72.92101980 17.83493890 -72.88082460 17.76196500 -72.86341910,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_9488_bn_acs_wfc_f475w&size=ALL&format=jpeg&output_size=256,2004601098,4721.03732211364
image,HST,ACS/WFC,HLA,F475W,OPTICAL,HIGH-GALACTIC-LATITUDE,,hst_9488_bj_acs_wfc_f475w,17.7847717103642,-72.9010700130954,9488,Ratnatunga,3,52874.00571,52874.03943,1800,,52874.27087,2014981176,POLYGON J2000 17.72052040 -72.92217260 17.79717700 -72.93984140 17.92633160 -72.89769110 17.84972890 -72.88007090 17.72052040 -72.92217260 POLYGON J2000 17.77365950 -72.86317330 17.64402890 -72.90423030 17.71841970 -72.92117280 17.84800130 -72.88006840 17.77365950 -72.86317330,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_9488_bj_acs_wfc_f475w&size=ALL&format=jpeg&output_size=256,2004601083,4736.90358420142
