k,i,instrument,detector,propid,target,ra,dec,filter1,filter2,pr_inv,exptime,date-obs,filename,group,galaxy,targname,s_region
12,12,ACS,WFC,12257,ANY,91.355715,-75.51864,CLEAR1L,F814W,Girardi,713,2011-10-08,lmc_fields/ACS/12257_ANY/jbhy10h3q_flt.fits,1.0,lmc,NGC2203-FIELD,POLYGON 91.2924756 -75.48772507 91.23106699 -75.54108568 91.45704581 -75.55250646 91.51339898 -75.49742419 91.2924756 -75.48772507 91.2924756 -75.48772507
13,13,ACS,WFC,12257,ANY,91.35859,-75.519075,CLEAR1L,F814W,Girardi,550,2011-10-08,lmc_fields/ACS/12257_ANY/jbhy10h7q_flt.fits,1.0,lmc,NGC2203-FIELD,POLYGON 91.2924756 -75.48772507 91.23106699 -75.54108568 91.45704581 -75.55250646 91.51339898 -75.49742419 91.2924756 -75.48772507 91.2924756 -75.48772507
14,14,ACS,WFC,12257,ANY,89.638,-73.062954,F475W,CLEAR2L,Girardi,90,2011-10-09,lmc_fields/ACS/12257_ANY/jbhy11o0q_flt.fits,2.0,lmc,NGC2173-FIELD,POLYGON 89.58648147 -73.03079773 89.52478783 -73.08333407 89.71650853 -73.09754513 89.77428305 -73.04323646 89.58648147 -73.03079773 89.58648147 -73.03079773
15,15,ACS,WFC,12257,ANY,89.638,-73.062954,F475W,CLEAR2L,Girardi,500,2011-10-09,lmc_fields/ACS/12257_ANY/jbhy11o2q_flt.fits,2.0,lmc,NGC2173-FIELD,POLYGON 89.58648147 -73.03079773 89.52478783 -73.08333407 89.71650853 -73.09754513 89.77428305 -73.04323646 89.58648147 -73.03079773 89.58648147 -73.03079773
16,16,ACS,WFC,12257,ANY,89.637839,-73.062961,F475W,CLEAR2L,Girardi,700,2011-10-09,lmc_fields/ACS/12257_ANY/jbhy11o6q_flt.fits,2.0,lmc,NGC2173-FIELD,POLYGON 89.58648147 -73.03079773 89.52478783 -73.08333407 89.71650853 -73.09754513 89.77428305 -73.04323646 89.58648147 -73.03079773 89.58648147 -73.03079773
17,17,ACS,WFC,12257,ANY,89.637842,-73.062929,F475W,CLEAR2L,Girardi,700,2011-10-09,lmc_fields/ACS/12257_ANY/jbhy11oaq_flt.fits,2.0,lmc,NGC2173-FIELD,POLYGON 89.58648147 -73.03079773 89.52478783 -73.08333407 89.71650853 -73.09754513 89.77428305 -73.04323646 89.58648147 -73.03079773 89.58648147 -73.03079773
18,18,ACS,WFC,12257,ANY,89.635291,-73.062467,F475W,CLEAR2L,Girardi,500,2011-10-09,lmc_fields/ACS/12257_ANY/jbhy11oeq_flt.fits,2.0,lmc,NGC2173-FIELD,POLYGON 89.58648147 -73.03079773 89.52478783 -73.08333407 89.71650853 -73.09754513 89.77428305 -73.04323646 89.58648147 -73.03079773 89.58648147 -73.03079773
19,19,ACS,WFC,12257,ANY,89.635294,-73.062434,CLEAR1L,F814W,Girardi,10,2011-10-09,lmc_fields/ACS/12257_ANY/jbhy11ojq_flt.fits,2.0,lmc,NGC2173-FIELD,POLYGON 89.58648147 -73.03079773 89.52478783 -73.08333407 89.71650853 -73.09754513 89.77428305 -73.04323646 89.58648147 -73.03079773 89.58648147 -73.03079773
20,20,ACS,WFC,12257,ANY,89.638111,-73.062955,CLEAR1L,F814W,Girardi,700,2011-10-09,lmc_fields/ACS/12257_ANY/jbhy11olq_flt.fits,2.0,lmc,NGC2173-FIELD,POLYGON 89.58648147 -73.03079773 89.52478783 -73.08333407 89.71650853 -73.09754513 89.77428305 -73.04323646 89.58648147 -73.03079773 89.58648147 -73.03079773
21,21,ACS,WFC,12257,ANY,89.635455,-73.062427,CLEAR1L,F814W,Girardi,690,2011-10-09,lmc_fields/ACS/12257_ANY/jbhy11opq_flt.fits,2.0,lmc,NGC2173-FIELD,POLYGON 89.58648147 -73.03079773 89.52478783 -73.08333407 89.71650853 -73.09754513 89.77428305 -73.04323646 89.58648147 -73.03079773 89.58648147 -73.03079773
22,22,ACS,WFC,12257,ANY,89.635452,-73.062459,CLEAR1L,F814W,Girardi,700,2011-10-09,lmc_fields/ACS/12257_ANY/jbhy11otq_flt.fits,2.0,lmc,NGC2173-FIELD,POLYGON 89.58648147 -73.03079773 89.52478783 -73.08333407 89.71650853 -73.09754513 89.77428305 -73.04323646 89.58648147 -73.03079773 89.58648147 -73.03079773
23,23,ACS,WFC,12257,ANY,89.637842,-73.062929,CLEAR1L,F814W,Girardi,600,2011-10-09,lmc_fields/ACS/12257_ANY/jbhy11oxq_flt.fits,2.0,lmc,NGC2173-FIELD,POLYGON 89.58648147 -73.03079773 89.52478783 -73.08333407 89.71650853 -73.09754513 89.77428305 -73.04323646 89.58648147 -73.03079773 89.58648147 -73.03079773
24,24,ACS,WFC,12257,ANY,82.620698,-69.841768,F475W,CLEAR2L,Girardi,500,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy20req_flt.fits,3.0,lmc,NGC2005-FIELD,POLYGON 82.5935488 -69.8075338 82.51637977 -69.8562721 82.6690481 -69.87973527 82.74396586 -69.82907249 82.5935488 -69.8075338 82.5935488 -69.8075338
25,25,ACS,WFC,12257,ANY,82.618726,-69.841149,F475W,CLEAR2L,Girardi,500,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy20rhq_flt.fits,3.0,lmc,NGC2005-FIELD,POLYGON 82.5935488 -69.8075338 82.51637977 -69.8562721 82.6690481 -69.87973527 82.74396586 -69.82907249 82.5935488 -69.8075338 82.5935488 -69.8075338
26,26,ACS,WFC,12257,ANY,82.618588,-69.841148,CLEAR1L,F814W,Girardi,500,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy20rlq_flt.fits,3.0,lmc,NGC2005-FIELD,POLYGON 82.5935488 -69.8075338 82.51637977 -69.8562721 82.6690481 -69.87973527 82.74396586 -69.82907249 82.5935488 -69.8075338 82.5935488 -69.8075338
27,27,ACS,WFC,12257,ANY,82.620487,-69.841729,CLEAR1L,F814W,Girardi,500,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy20rpq_flt.fits,3.0,lmc,NGC2005-FIELD,POLYGON 82.5935488 -69.8075338 82.51637977 -69.8562721 82.6690481 -69.87973527 82.74396586 -69.82907249 82.5935488 -69.8075338 82.5935488 -69.8075338
28,28,ACS,WFC,12257,ANY,85.86705,-71.58705,F475W,CLEAR2L,Girardi,500,2011-08-16,lmc_fields/ACS/12257_ANY/jbhy21l1q_flt.fits,4.0,lmc,HODGE6-FIELD,POLYGON 85.86078147 -71.54274549 85.75470883 -71.58782045 85.88419087 -71.62542409 85.99639586 -71.58006362 85.86078147 -71.54274549 85.86078147 -71.54274549
29,29,ACS,WFC,12257,ANY,85.864626,-71.587559,F475W,CLEAR2L,Girardi,500,2011-08-16,lmc_fields/ACS/12257_ANY/jbhy21l4q_flt.fits,4.0,lmc,HODGE6-FIELD,POLYGON 85.86078147 -71.54274549 85.75470883 -71.58782045 85.88419087 -71.62542409 85.99639586 -71.58006362 85.86078147 -71.54274549 85.86078147 -71.54274549
30,30,ACS,WFC,12257,ANY,85.864587,-71.587605,CLEAR1L,F814W,Girardi,500,2011-08-16,lmc_fields/ACS/12257_ANY/jbhy21l8q_flt.fits,4.0,lmc,HODGE6-FIELD,POLYGON 85.86078147 -71.54274549 85.75470883 -71.58782045 85.88419087 -71.62542409 85.99639586 -71.58006362 85.86078147 -71.54274549 85.86078147 -71.54274549
31,31,ACS,WFC,12257,ANY,85.866874,-71.587111,CLEAR1L,F814W,Girardi,500,2011-08-16,lmc_fields/ACS/12257_ANY/jbhy21lcq_flt.fits,4.0,lmc,HODGE6-FIELD,POLYGON 85.86078147 -71.54274549 85.75470883 -71.58782045 85.88419087 -71.62542409 85.99639586 -71.58006362 85.86078147 -71.54274549 85.86078147 -71.54274549
32,32,ACS,WFC,12257,ANY,72.948375,-67.118884,F475W,CLEAR2L,Girardi,500,2011-12-02,lmc_fields/ACS/12257_ANY/jbhy22rdq_flt.fits,5.0,lmc,NGC1718-FIELD,POLYGON 73.01274218 -67.09373092 72.87010902 -67.09490806 72.88478124 -67.15217121 73.03103258 -67.1494651 73.01274218 -67.09373092 73.01274218 -67.09373092
33,33,ACS,WFC,12257,ANY,72.948889,-67.117986,F475W,CLEAR2L,Girardi,500,2011-12-02,lmc_fields/ACS/12257_ANY/jbhy22rgq_flt.fits,5.0,lmc,NGC1718-FIELD,POLYGON 73.01274218 -67.09373092 72.87010902 -67.09490806 72.88478124 -67.15217121 73.03103258 -67.1494651 73.01274218 -67.09373092 73.01274218 -67.09373092
34,34,ACS,WFC,12257,ANY,72.948831,-67.117945,CLEAR1L,F814W,Girardi,500,2011-12-02,lmc_fields/ACS/12257_ANY/jbhy22rkq_flt.fits,5.0,lmc,NGC1718-FIELD,POLYGON 73.01274218 -67.09373092 72.87010902 -67.09490806 72.88478124 -67.15217121 73.03103258 -67.1494651 73.01274218 -67.09373092 73.01274218 -67.09373092
35,35,ACS,WFC,12257,ANY,72.948369,-67.118801,CLEAR1L,F814W,Girardi,500,2011-12-02,lmc_fields/ACS/12257_ANY/jbhy22roq_flt.fits,5.0,lmc,NGC1718-FIELD,POLYGON 73.01274218 -67.09373092 72.87010902 -67.09490806 72.88478124 -67.15217121 73.03103258 -67.1494651 73.01274218 -67.09373092 73.01274218 -67.09373092
36,36,ACS,WFC,12257,ANY,69.392196,-70.682547,F475W,CLEAR2L,Girardi,500,2011-10-16,lmc_fields/ACS/12257_ANY/jbhy23o1q_flt.fits,6.0,lmc,NGC1651,POLYGON 69.39384658 -70.64705869 69.2756296 -70.68644886 69.4084999 -70.723651 69.52625479 -70.68220017 69.39384658 -70.64705869 69.39384658 -70.64705869
37,37,ACS,WFC,12257,ANY,69.390745,-70.681762,F475W,CLEAR2L,Girardi,500,2011-10-16,lmc_fields/ACS/12257_ANY/jbhy23o4q_flt.fits,6.0,lmc,NGC1651,POLYGON 69.39384658 -70.64705869 69.2756296 -70.68644886 69.4084999 -70.723651 69.52625479 -70.68220017 69.39384658 -70.64705869 69.39384658 -70.64705869
38,38,ACS,WFC,12257,ANY,69.390608,-70.681748,CLEAR1L,F814W,Girardi,500,2011-10-16,lmc_fields/ACS/12257_ANY/jbhy23o8q_flt.fits,6.0,lmc,NGC1651,POLYGON 69.39384658 -70.64705869 69.2756296 -70.68644886 69.4084999 -70.723651 69.52625479 -70.68220017 69.39384658 -70.64705869 69.39384658 -70.64705869
39,39,ACS,WFC,12257,ANY,69.392017,-70.682489,CLEAR1L,F814W,Girardi,500,2011-10-16,lmc_fields/ACS/12257_ANY/jbhy23ocq_flt.fits,6.0,lmc,NGC1651,POLYGON 69.39384658 -70.64705869 69.2756296 -70.68644886 69.4084999 -70.723651 69.52625479 -70.68220017 69.39384658 -70.64705869 69.39384658 -70.64705869
49,44,ACS,WFC,12257,ANY,92.565097,-71.615149,F475W,CLEAR2L,Girardi,500,2011-11-29,lmc_fields/ACS/12257_ANY/jbhy25kdq_flt.fits,7.0,lmc,NGC2213-FIELD,POLYGON 92.60972279 -71.58257171 92.4474698 -71.60398376 92.53086779 -71.65517725 92.69545723 -71.63181667 92.60972279 -71.58257171 92.60972279 -71.58257171
50,45,ACS,WFC,12257,ANY,92.564645,-71.61424,F475W,CLEAR2L,Girardi,500,2011-11-29,lmc_fields/ACS/12257_ANY/jbhy25kgq_flt.fits,7.0,lmc,NGC2213-FIELD,POLYGON 92.60972279 -71.58257171 92.4474698 -71.60398376 92.53086779 -71.65517725 92.69545723 -71.63181667 92.60972279 -71.58257171 92.60972279 -71.58257171
51,46,ACS,WFC,12257,ANY,92.564529,-71.61421,CLEAR1L,F814W,Girardi,500,2011-11-29,lmc_fields/ACS/12257_ANY/jbhy25kkq_flt.fits,7.0,lmc,NGC2213-FIELD,POLYGON 92.60972279 -71.58257171 92.4474698 -71.60398376 92.53086779 -71.65517725 92.69545723 -71.63181667 92.60972279 -71.58257171 92.60972279 -71.58257171
52,47,ACS,WFC,12257,ANY,92.564995,-71.615073,CLEAR1L,F814W,Girardi,500,2011-11-29,lmc_fields/ACS/12257_ANY/jbhy25koq_flt.fits,7.0,lmc,NGC2213-FIELD,POLYGON 92.60972279 -71.58257171 92.4474698 -71.60398376 92.53086779 -71.65517725 92.69545723 -71.63181667 92.60972279 -71.58257171 92.60972279 -71.58257171
86,81,ACS,WFC,12581,ANY,85.728742,-69.671222,F475W,CLEAR2L,Roman-Duval,850,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502s1q_flt.fits,14.0,lmc,LMC-FIELD-NW,POLYGON 85.71978914 -69.63586704 85.61949017 -69.67908264 85.75640794 -69.71155106 85.85559801 -69.66630719 85.71978914 -69.63586704 85.71978914 -69.63586704
87,82,ACS,WFC,12581,ANY,85.728742,-69.671222,F475W,CLEAR2L,Roman-Duval,400,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502s6q_flt.fits,14.0,lmc,LMC-FIELD-NW,POLYGON 85.71978914 -69.63586704 85.61949017 -69.67908264 85.75640794 -69.71155106 85.85559801 -69.66630719 85.71978914 -69.63586704 85.71978914 -69.63586704
88,83,ACS,WFC,12581,ANY,85.728742,-69.671222,CLEAR1L,F814W,Roman-Duval,550,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502scq_flt.fits,14.0,lmc,LMC-FIELD-NW,POLYGON 85.71978914 -69.63586704 85.61949017 -69.67908264 85.75640794 -69.71155106 85.85559801 -69.66630719 85.71978914 -69.63586704 85.71978914 -69.63586704
89,84,ACS,WFC,12581,ANY,85.728742,-69.671222,CLEAR1L,F814W,Roman-Duval,500,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502shq_flt.fits,14.0,lmc,LMC-FIELD-NW,POLYGON 85.71978914 -69.63586704 85.61949017 -69.67908264 85.75640794 -69.71155106 85.85559801 -69.66630719 85.71978914 -69.63586704 85.71978914 -69.63586704
90,85,ACS,WFC,12581,ANY,85.728742,-69.671222,CLEAR1L,F814W,Roman-Duval,700,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502soq_flt.fits,14.0,lmc,LMC-FIELD-NW,POLYGON 85.71978914 -69.63586704 85.61949017 -69.67908264 85.75640794 -69.71155106 85.85559801 -69.66630719 85.71978914 -69.63586704 85.71978914 -69.63586704
91,86,ACS,WFC,12581,ANY,85.728742,-69.671222,F475W,CLEAR2L,Roman-Duval,850,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502ssq_flt.fits,14.0,lmc,LMC-FIELD-NW,POLYGON 85.71978914 -69.63586704 85.61949017 -69.67908264 85.75640794 -69.71155106 85.85559801 -69.66630719 85.71978914 -69.63586704 85.71978914 -69.63586704
92,87,ACS,WFC,12581,ANY,85.728742,-69.671222,F475W,CLEAR2L,Roman-Duval,500,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502syq_flt.fits,14.0,lmc,LMC-FIELD-NW,POLYGON 85.71978914 -69.63586704 85.61949017 -69.67908264 85.75640794 -69.71155106 85.85559801 -69.66630719 85.71978914 -69.63586704 85.71978914 -69.63586704
93,88,ACS,WFC,12581,ANY,85.728742,-69.671222,CLEAR1L,F814W,Roman-Duval,500,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502t4q_flt.fits,14.0,lmc,LMC-FIELD-NW,POLYGON 85.71978914 -69.63586704 85.61949017 -69.67908264 85.75640794 -69.71155106 85.85559801 -69.66630719 85.71978914 -69.63586704 85.71978914 -69.63586704
94,89,ACS,WFC,12581,ANY,85.728742,-69.671222,CLEAR1L,F814W,Roman-Duval,500,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502taq_flt.fits,14.0,lmc,LMC-FIELD-NW,POLYGON 85.71978914 -69.63586704 85.61949017 -69.67908264 85.75640794 -69.71155106 85.85559801 -69.66630719 85.71978914 -69.63586704 85.71978914 -69.63586704
95,90,ACS,WFC,12581,ANY,85.728742,-69.671222,F475W,CLEAR2L,Roman-Duval,1,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502tkq_flt.fits,14.0,lmc,LMC-FIELD-NW,POLYGON 85.71978914 -69.63586704 85.61949017 -69.67908264 85.75640794 -69.71155106 85.85559801 -69.66630719 85.71978914 -69.63586704 85.71978914 -69.63586704
96,91,ACS,WFC,12581,ANY,85.728742,-69.671222,CLEAR1L,F814W,Roman-Duval,1,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502tvq_flt.fits,14.0,lmc,LMC-FIELD-NW,POLYGON 85.71978914 -69.63586704 85.61949017 -69.67908264 85.75640794 -69.71155106 85.85559801 -69.66630719 85.71978914 -69.63586704 85.71978914 -69.63586704
97,92,ACS,WFC,12581,ANY,85.481345,-69.047,CLEAR1L,F814W,Roman-Duval,1,2012-01-25,lmc_fields/ACS/12581_ANY/jbp503szq_flt.fits,15.0,lmc,BSDL2856,POLYGON 85.46405784 -69.00874369 85.36743853 -69.05474535 85.48946273 -69.09125388 85.58049573 -69.04543696 85.46405784 -69.00874369 85.46405784 -69.00874369
98,93,ACS,WFC,12581,ANY,85.481345,-69.047,CLEAR1L,F814W,Roman-Duval,980,2012-01-25,lmc_fields/ACS/12581_ANY/jbp503t6q_flt.fits,15.0,lmc,BSDL2856,POLYGON 85.46405784 -69.00874369 85.36743853 -69.05474535 85.48946273 -69.09125388 85.58049573 -69.04543696 85.46405784 -69.00874369 85.46405784 -69.00874369
99,94,ACS,WFC,12581,ANY,85.481345,-69.047,CLEAR1L,F814W,Roman-Duval,1165,2012-01-25,lmc_fields/ACS/12581_ANY/jbp503taq_flt.fits,15.0,lmc,BSDL2856,POLYGON 85.46405784 -69.00874369 85.36743853 -69.05474535 85.48946273 -69.09125388 85.58049573 -69.04543696 85.46405784 -69.00874369 85.46405784 -69.00874369
100,95,ACS,WFC,12581,ANY,85.481345,-69.047,CLEAR1L,F814W,Roman-Duval,980,2012-01-25,lmc_fields/ACS/12581_ANY/jbp503tgq_flt.fits,15.0,lmc,BSDL2856,POLYGON 85.46405784 -69.00874369 85.36743853 -69.05474535 85.48946273 -69.09125388 85.58049573 -69.04543696 85.46405784 -69.00874369 85.46405784 -69.00874369
101,96,ACS,WFC,12581,ANY,85.481345,-69.047,CLEAR1L,F814W,Roman-Duval,980,2012-01-25,lmc_fields/ACS/12581_ANY/jbp503toq_flt.fits,15.0,lmc,BSDL2856,POLYGON 85.46405784 -69.00874369 85.36743853 -69.05474535 85.48946273 -69.09125388 85.58049573 -69.04543696 85.46405784 -69.00874369 85.46405784 -69.00874369
102,97,ACS,WFC,12581,ANY,85.481345,-69.047,F475W,CLEAR2L,Roman-Duval,1100,2012-01-25,lmc_fields/ACS/12581_ANY/jbp503ttq_flt.fits,15.0,lmc,BSDL2856,POLYGON 85.46405784 -69.00874369 85.36743853 -69.05474535 85.48946273 -69.09125388 85.58049573 -69.04543696 85.46405784 -69.00874369 85.46405784 -69.00874369
103,98,ACS,WFC,12581,ANY,85.481345,-69.047,F475W,CLEAR2L,Roman-Duval,680,2012-01-25,lmc_fields/ACS/12581_ANY/jbp503tzq_flt.fits,15.0,lmc,BSDL2856,POLYGON 85.46405784 -69.00874369 85.36743853 -69.05474535 85.48946273 -69.09125388 85.58049573 -69.04543696 85.46405784 -69.00874369 85.46405784 -69.00874369
104,99,ACS,WFC,12581,ANY,85.481345,-69.047,F475W,CLEAR2L,Roman-Duval,1,2012-01-25,lmc_fields/ACS/12581_ANY/jbp503u3q_flt.fits,15.0,lmc,BSDL2856,POLYGON 85.46405784 -69.00874369 85.36743853 -69.05474535 85.48946273 -69.09125388 85.58049573 -69.04543696 85.46405784 -69.00874369 85.46405784 -69.00874369
105,100,ACS,WFC,12581,ANY,85.481345,-69.047,F475W,CLEAR2L,Roman-Duval,680,2012-01-25,lmc_fields/ACS/12581_ANY/jbp503u7q_flt.fits,15.0,lmc,BSDL2856,POLYGON 85.46405784 -69.00874369 85.36743853 -69.05474535 85.48946273 -69.09125388 85.58049573 -69.04543696 85.46405784 -69.00874369 85.46405784 -69.00874369
