i,j,instrument,detector,propid,target,ra,dec,filter1,filter2,pr_inv,exptime,date-obs,filename,group,galaxy,targname,s_region
200,547,ACS,WFC,10595,ESO056-SC023,73.55,-69.806667,CLEAR1L,F435W,Goudfrooij,0,2006-03-04,clusters/ACS/10595_ESO056-SC023/j9es01rwq_flt.fits,64.0,lmc,NGC1751,POLYGON GSC1  73.63718774 -69.79432838  73.52814100 -69.83622355  73.46440832 -69.81899707  73.57348560 -69.77819851  73.63718774 -69.79432838
201,548,ACS,WFC,10595,ESO056-SC023,73.55,-69.806667,CLEAR1L,F435W,Goudfrooij,0,2006-03-04,clusters/ACS/10595_ESO056-SC023/j9es01ryq_flt.fits,64.0,lmc,NGC1751,POLYGON GSC1  73.63718774 -69.79432838  73.52814100 -69.83622355  73.46440832 -69.81899707  73.57348560 -69.77819851  73.63718774 -69.79432838
202,549,ACS,WFC,10595,ESO056-SC023,73.55,-69.806667,F555W,CLEAR2L,Goudfrooij,40,2006-03-04,clusters/ACS/10595_ESO056-SC023/j9es01s1q_flt.fits,64.0,lmc,NGC1751,POLYGON GSC1  73.63718774 -69.79432838  73.52814100 -69.83622355  73.46440832 -69.81899707  73.57348560 -69.77819851  73.63718774 -69.79432838
203,550,ACS,WFC,10595,ESO056-SC023,73.55,-69.806667,F555W,CLEAR2L,Goudfrooij,0,2006-03-04,clusters/ACS/10595_ESO056-SC023/j9es01s2q_flt.fits,64.0,lmc,NGC1751,POLYGON GSC1  73.63718774 -69.79432838  73.52814100 -69.83622355  73.46440832 -69.81899707  73.57348560 -69.77819851  73.63718774 -69.79432838
204,551,ACS,WFC,10595,ESO056-SC023,73.55,-69.806667,F555W,CLEAR2L,Goudfrooij,0,2006-03-04,clusters/ACS/10595_ESO056-SC023/j9es01s4q_flt.fits,64.0,lmc,NGC1751,POLYGON GSC1  73.50780019 -69.83576387  73.51007675 -69.77945820  73.59074332 -69.77791981  73.58666742 -69.83342946  73.50780019 -69.83576387
205,552,ACS,WFC,10595,ESO056-SC023,73.55,-69.806667,CLEAR1L,F814W,Goudfrooij,8,2006-03-04,clusters/ACS/10595_ESO056-SC023/j9es01s7q_flt.fits,64.0,lmc,NGC1751,POLYGON GSC1  73.50780019 -69.83576387  73.51007675 -69.77945820  73.59074332 -69.77791981  73.58666742 -69.83342946  73.50780019 -69.83576387
206,553,ACS,WFC,10595,ESO056-SC023,73.55,-69.806667,CLEAR1L,F814W,Goudfrooij,0,2006-03-04,clusters/ACS/10595_ESO056-SC023/j9es01s8q_flt.fits,64.0,lmc,NGC1751,POLYGON GSC1  73.50780019 -69.83576387  73.51007675 -69.77945820  73.59074332 -69.77791981  73.58666742 -69.83342946  73.50780019 -69.83576387
207,554,ACS,WFC,10595,ESO056-SC023,73.55,-69.806667,CLEAR1L,F814W,Goudfrooij,0,2006-03-04,clusters/ACS/10595_ESO056-SC023/j9es01saq_flt.fits,64.0,lmc,NGC1751,POLYGON GSC1  73.50780019 -69.83576387  73.51007675 -69.77945820  73.59074332 -69.77791981  73.58666742 -69.83342946  73.50780019 -69.83576387
208,662,ACS,WFC,9891,NGC1751,73.552292,-69.807422,F555W,CLEAR2L,Gilmore,300,2003-10-07,clusters/ACS/9891_NGC1751/j8ne47qcq_flt.fits,64.0,lmc,NGC1751,POLYGON J2000 73.56553010 -69.77772880 73.46985480 -69.82301920 73.53865140 -69.83725930 73.63424340 -69.79193170 73.56553010 -69.77772880 POLYGON J2000 73.61168560 -69.85306090 73.70653090 -69.80671640 73.63567490 -69.79186540 73.54074060 -69.83817190 73.61168560 -69.85306090
209,663,ACS,WFC,9891,NGC1751,73.552292,-69.807422,CLEAR1L,F814W,Gilmore,200,2003-10-07,clusters/ACS/9891_NGC1751/j8ne47qfq_flt.fits,64.0,lmc,NGC1751,POLYGON J2000 73.56553010 -69.77772880 73.46985480 -69.82301920 73.53865140 -69.83725930 73.63424340 -69.79193170 73.56553010 -69.77772880 POLYGON J2000 73.61168560 -69.85306090 73.70653090 -69.80671640 73.63567490 -69.79186540 73.54074060 -69.83817190 73.61168560 -69.85306090
