#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Product Type, Mission, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Proposal ID, Principal Investigator, Calibration Level, Start Time, End Time, Exposure Time, Release Date, Object ID, s_region, Distance (")
#@string, string, string, string, string, string, string, string, string, ra, dec, string, string, int, float, float, float, float, string, string, float
dataproduct_type,obs_collection,instrument,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,proposal_id,proposal_pi,calib_level,t_min,t_max,t_exptime,t_obs_release,objID,s_region,distance
image,HST,ACS/WFC,DADS,F555W,OPTICAL,NGC-265,EXT-CLUSTER;UNDESIGNATED,J90601020,11.79625,-73.47780555556,10126,OLSZEWSKI,3,53317.05911,53317.07125,560,53682.0642,2012931737,POLYGON 11.8980807 -73.47842164 11.72685481 -73.45180176 11.68678881 -73.47729198 11.86182328 -73.50368988 11.8980807 -73.47842164 11.8980807 -73.47842164,2698.43787950188
image,HST,ACS/WFC,DADS,F814W,OPTICAL,NGC346,OPEN CLUSTER;STAR FORMING REGION;STELLAR CLUSTER,J92F02010,14.76951281193,-72.18935382287,10248,NOTA,3,53204.03571,53204.08034,1804,53569.03573,2012933192,POLYGON 14.82795013 -72.16274374 14.73597639 -72.16138531 14.71117006 -72.21717587 14.80553862 -72.21918385 14.82795013 -72.16274374 14.82795013 -72.16274374,2750.24263692904
image,HST,ACS/WFC,DADS,F555W,OPTICAL,NGC346,OPEN CLUSTER;STAR FORMING REGION;STELLAR CLUSTER,J92F02020,14.76951281193,-72.18935382287,10248,NOTA,3,53204.09978,53204.1352,1938,53569.09981,2012933193,POLYGON 14.82795013 -72.16274374 14.73597639 -72.16138531 14.71117006 -72.21717587 14.80553862 -72.21918385 14.82795013 -72.16274374 14.82795013 -72.16274374,2750.24263692904
image,HST,ACS/WFC,DADS,F814W,OPTICAL,NGC-346,OB ASSOCIATION;STAR FORMING REGION;STELLAR CLUSTER;YOUNG ASSOCIATION,JCKK02010,14.76950905268,-72.18935366624,13680,SABBI,3,57223.49699,57223.53106,1804,57589.64788,2014222030,POLYGON 14.82801925 -72.16180344 14.73604952 -72.16044922 14.71127179 -72.21624093 14.80563652 -72.21824458 14.82801925 -72.16180344 14.82801925 -72.16180344,2753.02794377905
image,HST,ACS/WFC,DADS,F555W,OPTICAL,NGC-346,OB ASSOCIATION;STAR FORMING REGION;STELLAR CLUSTER;YOUNG ASSOCIATION,JCKK02020,14.76950905268,-72.18935366624,13680,SABBI,3,57223.53729,57223.59027,1806,57589.80611,2014222031,POLYGON 14.82801925 -72.16180344 14.73604952 -72.16044922 14.71127179 -72.21624093 14.80563652 -72.21824458 14.82801925 -72.16180344 14.82801925 -72.16180344,2753.02794377905
image,HST,ACS/WFC,DADS,F555W,OPTICAL,NGC-346-COPY-1,OB ASSOCIATION;STAR FORMING REGION;STELLAR CLUSTER;YOUNG ASSOCIATION,JCKK05010,14.77575,-72.17866666667,13680,SABBI,3,57218.14265,57218.20762,1350,57584.67171,2014220006,POLYGON 14.88810208 -72.15069047 14.70479662 -72.15060569 14.68531276 -72.20581204 14.87355916 -72.2073708 14.88810208 -72.15069047 14.88810208 -72.15069047,2766.90500047828
image,HST,ACS/WFC,DADS,F814W,OPTICAL,NGC-346-COPY-1,OB ASSOCIATION;STAR FORMING REGION;STELLAR CLUSTER;YOUNG ASSOCIATION,JCKK05020,14.78066797019,-72.17860455235,13680,SABBI,3,57218.20965,57218.23527,900,57584.67956,2014220007,POLYGON 14.89301222 -72.15062554 14.70970736 -72.15054535 14.69023832 -72.20575218 14.8784845 -72.20730623 14.89301222 -72.15062554 14.89301222 -72.15062554,2770.20728370519
image,HST,WFC3/UVIS,DADS,F225W,UV,SMC-ASS-45,EXT-CLUSTER;OB ASSOCIATION,IBY721010,14.77800729497,-72.17890857934,12940,MASSEY,3,56202.15191,56202.15354,2,56202.24808,2012916569,POLYGON 14.87898238 -72.17613204 14.76800286 -72.14592752 14.67705951 -72.18165867 14.78568485 -72.21195185 14.87898238 -72.17613204 14.87898238 -72.17613204,2814.26797754726
image,HST,ACS/WFC,DADS,F814W,OPTICAL,NGC346,OPEN CLUSTER;STAR FORMING REGION;STELLAR CLUSTER,J92F01010,14.77800533184,-72.16120041295,10248,NOTA,3,53199.86568,53199.97899,1940,53564.86571,2012933190,POLYGON 14.82930319 -72.13345441 14.74043822 -72.13462354 14.72782121 -72.19001634 14.81911193 -72.18967896 14.82930319 -72.13345441 14.82930319 -72.13345441,2840.35324813564
image,HST,ACS/WFC,DADS,F555W,OPTICAL,NGC346,OPEN CLUSTER;STAR FORMING REGION;STELLAR CLUSTER,J92F01020,14.77800533184,-72.16120041295,10248,NOTA,3,53199.73066,53199.81326,1830,53564.73069,2012933191,POLYGON 14.82930319 -72.13345441 14.74043822 -72.13462354 14.72782121 -72.19001634 14.81911193 -72.18967896 14.82930319 -72.13345441 14.82930319 -72.13345441,2840.35324813564
image,HST,ACS/WFC,DADS,F555W,OPTICAL,NGC-346,OB ASSOCIATION;STAR FORMING REGION;STELLAR CLUSTER;YOUNG ASSOCIATION,JCKK01010,14.77828541915,-72.16120486518,13680,SABBI,3,57225.84289,57225.90604,1806,57592.05569,2014222028,POLYGON 14.829987 -72.13261954 14.74110635 -72.13363492 14.72746909 -72.18900502 14.81875996 -72.18882556 14.829987 -72.13261954 14.829987 -72.13261954,2843.10378983974
image,HST,ACS/WFC,DADS,F814W,OPTICAL,NGC-346,OB ASSOCIATION;STAR FORMING REGION;STELLAR CLUSTER;YOUNG ASSOCIATION,JCKK01020,14.77828541915,-72.16120486518,13680,SABBI,3,57225.91226,57225.97779,1804,57592.12878,2014222029,POLYGON 14.829987 -72.13261954 14.74110635 -72.13363492 14.72746909 -72.18900502 14.81875996 -72.18882556 14.829987 -72.13261954 14.829987 -72.13261954,2843.10378983974
image,HST,ACS/WFC,DADS,F555W,OPTICAL,NGC376,OPEN CLUSTER;STELLAR CLUSTER,J92F08020,16.00198676205,-72.81967639485,10248,NOTA,3,53260.5783,53260.61186,1806,53625.57833,2012933211,POLYGON 16.10991425 -72.82062833 16.06328179 -72.7970768 15.89143712 -72.81951487 15.93646065 -72.84407418 16.10991425 -72.82062833 16.10991425 -72.82062833,2877.1669155151
image,HST,ACS/WFC,DADS,F814W,OPTICAL,NGC376,OPEN CLUSTER;STELLAR CLUSTER,J92F08010,16.00211846853,-72.81970357884,10248,NOTA,3,53260.61796,53260.67183,1966,53625.618,2012933210,POLYGON 16.11004604 -72.82065544 16.06341336 -72.79710393 15.89156857 -72.8195421 15.93659232 -72.84410139 16.11004604 -72.82065544 16.11004604 -72.82065544,2877.30337560117
image,HST,ACS/WFC,DADS,F814W,OPTICAL,NGC419,EXT-CLUSTER;GLOBULAR CLUSTER,J96103010,17.0550533955,-72.8882009206,10396,GALLAGHER,3,53750.82659,53750.83249,20,54116.00906,2012933902,POLYGON 17.14915928 -72.86018136 16.95399341 -72.85840617 16.93747929 -72.91505292 17.12872373 -72.9153823 17.14915928 -72.86018136 17.14915928 -72.86018136,3990.6670810062
image,HST,ACS/WFC,DADS,F814W,OPTICAL,NGC419,EXT-CLUSTER;GLOBULAR CLUSTER,J96103020,17.0550533955,-72.8882009206,10396,GALLAGHER,3,53750.83435,53750.86186,1896,54116.04493,2012933903,POLYGON 17.14915928 -72.86018136 16.95399341 -72.85840617 16.93747929 -72.91505292 17.12872373 -72.9153823 17.14915928 -72.86018136 17.14915928 -72.86018136,3990.6670810062
image,HST,ACS/WFC,DADS,F555W,OPTICAL,NGC419,EXT-CLUSTER;GLOBULAR CLUSTER,J96103030,17.0550533955,-72.8882009206,10396,GALLAGHER,3,53750.86795,53750.89058,40,54116.0597,2012933904,POLYGON 17.14915928 -72.86018136 16.95399341 -72.85840617 16.93747929 -72.91505292 17.12872373 -72.9153823 17.14915928 -72.86018136 17.14915928 -72.86018136,3990.6670810062
image,HST,ACS/WFC,DADS,F555W,OPTICAL,NGC419,EXT-CLUSTER;GLOBULAR CLUSTER,J96103040,17.0550533955,-72.8882009206,10396,GALLAGHER,3,53750.89244,53750.89819,0,54116.05991,2012933905,POLYGON 17.14915928 -72.86018136 16.95399341 -72.85840617 16.93747929 -72.91505292 17.12872373 -72.9153823 17.14915928 -72.86018136 17.14915928 -72.86018136,3990.6670810062
