# instrument detector propid target ra dec filter1 filter2 pr_inv exptime date-obs file
ACS WFC 12257 ANY 89.637842 -73.062929 CLEAR1L F814W Girardi_Leo 600 2011-10-09 lmc_fields/ACS/12257_ANY/jbhy11oxq_flc.fits 
ACS WFC 12257 ANY 89.637842 -73.062929 CLEAR1L F814W Girardi_Leo 600 2011-10-09 lmc_fields/ACS/12257_ANY/jbhy11oxq_flt.fits 
ACS WFC 12257 ANY 82.620698 -69.841768 F475W CLEAR2L Girardi_Leo 500 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy20req_flc.fits 
ACS WFC 12257 ANY 82.620698 -69.841768 F475W CLEAR2L Girardi_Leo 500 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy20req_flt.fits 
ACS WFC 12257 ANY 82.618726 -69.841149 F475W CLEAR2L Girardi_Leo 500 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy20rhq_flc.fits 
ACS WFC 12257 ANY 82.618726 -69.841149 F475W CLEAR2L Girardi_Leo 500 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy20rhq_flt.fits 
ACS WFC 12257 ANY 82.618588 -69.841148 CLEAR1L F814W Girardi_Leo 500 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy20rlq_flc.fits 
ACS WFC 12257 ANY 82.618588 -69.841148 CLEAR1L F814W Girardi_Leo 500 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy20rlq_flt.fits 
ACS WFC 12257 ANY 82.620487 -69.841729 CLEAR1L F814W Girardi_Leo 500 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy20rpq_flc.fits 
ACS WFC 12257 ANY 82.620487 -69.841729 CLEAR1L F814W Girardi_Leo 500 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy20rpq_flt.fits 
ACS WFC 12257 ANY 85.867050 -71.587050 F475W CLEAR2L Girardi_Leo 500 2011-08-16 lmc_fields/ACS/12257_ANY/jbhy21l1q_flc.fits 
ACS WFC 12257 ANY 85.867050 -71.587050 F475W CLEAR2L Girardi_Leo 500 2011-08-16 lmc_fields/ACS/12257_ANY/jbhy21l1q_flt.fits 
ACS WFC 12257 ANY 85.864626 -71.587559 F475W CLEAR2L Girardi_Leo 500 2011-08-16 lmc_fields/ACS/12257_ANY/jbhy21l4q_flc.fits 
ACS WFC 12257 ANY 85.864626 -71.587559 F475W CLEAR2L Girardi_Leo 500 2011-08-16 lmc_fields/ACS/12257_ANY/jbhy21l4q_flt.fits 
ACS WFC 12257 ANY 85.864587 -71.587605 CLEAR1L F814W Girardi_Leo 500 2011-08-16 lmc_fields/ACS/12257_ANY/jbhy21l8q_flc.fits 
ACS WFC 12257 ANY 85.864587 -71.587605 CLEAR1L F814W Girardi_Leo 500 2011-08-16 lmc_fields/ACS/12257_ANY/jbhy21l8q_flt.fits 
ACS WFC 12257 ANY 85.866874 -71.587111 CLEAR1L F814W Girardi_Leo 500 2011-08-16 lmc_fields/ACS/12257_ANY/jbhy21lcq_flc.fits 
ACS WFC 12257 ANY 85.866874 -71.587111 CLEAR1L F814W Girardi_Leo 500 2011-08-16 lmc_fields/ACS/12257_ANY/jbhy21lcq_flt.fits 
ACS WFC 12257 ANY 72.948375 -67.118884 F475W CLEAR2L Girardi_Leo 500 2011-12-02 lmc_fields/ACS/12257_ANY/jbhy22rdq_flt.fits 
ACS WFC 12257 ANY 72.948889 -67.117986 F475W CLEAR2L Girardi_Leo 500 2011-12-02 lmc_fields/ACS/12257_ANY/jbhy22rgq_flt.fits 
ACS WFC 12257 ANY 72.948831 -67.117945 CLEAR1L F814W Girardi_Leo 500 2011-12-02 lmc_fields/ACS/12257_ANY/jbhy22rkq_flt.fits 
ACS WFC 12257 ANY 72.948369 -67.118801 CLEAR1L F814W Girardi_Leo 500 2011-12-02 lmc_fields/ACS/12257_ANY/jbhy22roq_flt.fits 
ACS WFC 12257 ANY 69.392196 -70.682547 F475W CLEAR2L Girardi_Leo 500 2011-10-16 lmc_fields/ACS/12257_ANY/jbhy23o1q_flt.fits 
ACS WFC 12257 ANY 69.390745 -70.681762 F475W CLEAR2L Girardi_Leo 500 2011-10-16 lmc_fields/ACS/12257_ANY/jbhy23o4q_flt.fits 
ACS WFC 12257 ANY 69.390608 -70.681748 CLEAR1L F814W Girardi_Leo 500 2011-10-16 lmc_fields/ACS/12257_ANY/jbhy23o8q_flt.fits 
ACS WFC 12257 ANY 69.392017 -70.682489 CLEAR1L F814W Girardi_Leo 500 2011-10-16 lmc_fields/ACS/12257_ANY/jbhy23ocq_flt.fits 
