#@ string, ra, dec, float, float, float, float, int, string
# Name RA Dec M_V logAge elogAge logMass Source AltName
NGC1805      5h02m21.0s -66d06m42.1s -8.42 7.60 0.20 4.37 1 NA
NGC1815      5h02m27.0s -70d37m14.9s -6.57 7.80 0.20 3.75 1 NA
HS94         5h02m30.6s -70d17m33.5s -4.39 9.05 0.19 3.71 2 KMHK468
SL188        5h02m33.7s -68d49m24.0s -6.16 8.10 0.10 3.76 3 NA
SL191        5h03m06.1s -69d02m12.0s -7.00 8.10 0.05 4.10 3 NA
SL197        5h03m34.3s -67d37m32.2s -4.95 9.10 0.08 3.93 3 KMHK482
HS102        5h03m38.5s -69d23m10.0s -4.78 9.10 0.05 3.87 3 NA
NGC1818      5h04m13.8s -66d26m02.0s -9.61 7.40 0.20 4.13 4 NA
NGC1825      5h04m19.4s -68d55m40.0s -7.24 7.80 0.10 4.02 3 NA
NGC1828      5h04m21.0s -69d23m17.0s -6.69 8.40 0.10 4.18 3 NA
KMK88-8      5h04m30.0s -69d09m21.0s -5.25 8.60 0.10 3.75 3 H88-106
KMK88-7      5h04m31.0s -69d21m19.0s -5.16 9.00 0.10 3.99 3 H88-108
NGC1830      5h04m39.0s -69d20m27.1s -6.25 8.60 0.10 4.14 3 NA
NGC1837      5h04m53.0s -70d42m55.1s -7.77 7.30 0.20 3.89 1 NA
KMK88-11     5h05m04.1s -68d54m35.8s -5.75 9.05 0.15 4.25 3 H88-117
NGC1835      5h05m06.7s -69d24m15.0s -8.74 10.22 0.07 5.83 4 NA
NGC1834      5h05m12.0s -69d12m27.0s -7.12 8.10 0.15 4.15 3 NA
SL212        5h05m12.4s -68d33m10.7s -6.49 8.70 0.10 4.31 3 NA
HS112        5h05m33.3s -69d06m59.2s -5.39 8.95 0.04 4.04 2 NA
NGC1836      5h05m35.7s -68d37m42.0s -6.84 8.70 0.05 4.45 3 NA
SL224        5h05m43.3s -70d19m30.1s -5.49 8.50 0.42 3.77 2 KMHK534
HS111        5h05m44.9s -68d30m23.9s -4.39 9.10 0.10 3.71 3 NA
HS115        5h05m54.8s -70d22m21.4s -4.98 8.97 0.25 3.89 2 KMHK537
NGC1839      5h06m01.0s -68d37m36.1s -7.17 7.90 0.20 4.05 1 NA
NGC1831      5h06m17.4s -64d55m11.0s -8.41 8.50 0.30 4.81 4 NA
HS117        5h06m25.9s -68d42m12.0s -5.10 9.20 0.10 4.15 3 NA
SL228w       5h06m28.0s -66d54m24.1s -6.49 8.20 0.20 3.96 1 NA
SL230        5h06m33.0s -68d21m47.9s -7.55 7.40 0.20 3.88 1 NA
SL234        5h06m53.0s -68d43m07.0s -6.31 7.95 0.20 3.73 1 NA
OGLE-LMC0114 5h06m56.0s -69d25m48.0s -3.88 9.25 0.10 3.71 3 NA
SL237        5h06m58.3s -69d09m00.1s -7.11 7.78 0.05 3.95 3 NA
NGC1847      5h07m07.7s -68d58m17.0s -10.41 7.42 0.30 4.97 4 NA
NGC1844      5h07m29.0s -67d19m23.9s -6.31 7.90 0.40 3.70 1 NA
NGC1846      5h07m35.0s -67d27m39.0s -7.82 9.17 0.05 5.10 4 NA
SL249        5h07m35.5s -70d44m56.1s -6.14 8.38 0.14 3.95 2 KMHK562
SL244        5h07m38.9s -68d32m30.9s -6.12 9.43 0.01 4.77 2 NA
SL250        5h07m51.0s -69d26m10.6s -5.83 9.00 0.10 4.25 3 NA
NGC1850      5h08m45.8s -68d45m38.0s -10.95 7.50 0.20 5.42 4 NA
BRHT5        5h08m54.6s -68d45m16.8s -7.28 8.20 0.10 4.28 3 H88-159
BSDL734      5h09m13.3s -69d16m57.6s -4.10 9.25 0.05 3.80 3 NA
SL268        5h09m14.8s -69d35m16.0s -7.02 9.20 0.30 4.92 3 NA
NGC1854      5h09m20.3s -68d50m55.0s -8.70 8.05 0.05 4.75 3 NA
NGC1852      5h09m23.0s -67d46m42.0s -6.49 9.12 0.05 4.51 4 NA
NGC1856      5h09m31.5s -69d07m46.0s -10.39 8.12 0.30 5.25 4 NA
NGC1849      5h09m34.0s -66d18m59.0s -5.85 8.30 0.20 3.78 1 NA
BSDL767      5h09m43.3s -70d18m34.9s -5.47 8.51 0.26 3.77 2 NA
