Name,n_Name,E_B-V_,R,l_Age,Age,q_Age,Age2,RAJ2000,DEJ2000,Vmag,e_Vmag,SimbadName,Cross-ID
LMC0020,,0.019999999552965164,0.75,,8.800000190734863,1,nan,69.46249999999999,-69.02916666666665,13.890000343322754,0.14000000059604645,[SL63] 8,"SL8,LW13,KMHK21"
LMC0021,,0.07999999821186066,0.28999999165534973,,8.0,1,nan,69.52916666666665,-68.77749999999999,14.289999961853027,0.14000000059604645,KMHK22,"NGC1649,ESO55SC31,KMHK22"
LMC0022,,0.07999999821186066,0.75,,8.5,1,nan,69.59166666666665,-68.67249999999999,13.109999656677246,0.14000000059604645,NGC1652,"NGC1652,SL10,LW14, ESO55SC32,KMHK23"
LMC0030,,0.019999999552965164,0.550000011920929,,8.300000190734863,2,nan,70.11666666666666,-69.64916666666666,13.729999542236328,0.11999999731779099,[SL63] 14,"SL14,LW21,KMHK28"
LMC0031,,0.019999999552965164,0.6499999761581421,,8.699999809265137,1,nan,70.17916666666666,-68.35583333333332,14.210000038146973,0.11999999731779099,[SL63] 15,"SL15,LW23,KMHK29"
LMC0035,,0.029999999329447746,0.5,,8.899999618530273,2,nan,70.38749999999999,-72.38916666666665,14.850000381469727,0.11999999731779099,LW27,"LW27,KMHK39"
LMC0039,,0.05000000074505806,0.49000000953674316,,7.699999809265137,1,nan,70.6625,-69.82,13.0,0.10999999940395355,NGC1673,"NGC1673,SL17,LW31, ESO55SC34,KMHK43"
LMC0040,,0.07000000029802322,0.6000000238418579,,8.449999809265137,1,nan,70.72083333333332,-70.12444444444444,13.460000038146973,0.11999999731779099,[SL63] 18,"SL18,LW32,HS23,KMHK45"
LMC0043,,0.07999999821186066,0.44999998807907104,,8.649999618530273,1,nan,70.76666666666665,-69.82333333333332,15.75,0.10999999940395355,[SL63] 19,"SL19,LW33,KMHK47"
LMC0049,,0.05000000074505806,0.550000011920929,,8.850000381469727,1,nan,70.90416666666665,-69.36416666666666,15.539999961853027,0.12999999523162842,[SL63] 22,"SL22,LW35,KMHK49"
LMC0050,*,0.05000000074505806,0.550000011920929,,8.699999809265137,1,nan,70.95833333333333,-69.87305555555555,16.59000015258789,0.10999999940395355,[SL63] 24,"SL24,LW38,KMHK55"
LMC0052,*,0.07999999821186066,0.44999998807907104,,8.5,1,nan,71.04583333333332,-68.74916666666665,16.3799991607666,0.14000000059604645,LW41,"LW41,KMHK59"
LMC0053,*,0.07999999821186066,0.38999998569488525,,8.699999809265137,1,nan,71.05416666666666,-71.36694444444444,16.200000762939453,0.11999999731779099,BRHT59a,"BRHT59a,KMHK61"
LMC0054,*,0.07999999821186066,0.4300000071525574,,8.899999618530273,1,nan,71.06666666666666,-71.37805555555555,15.5,0.12999999523162842,BRHT59b,"LW43,BRHT59b,KMHK62"
LMC0059,,0.05000000074505806,0.33000001311302185,,8.899999618530273,1,nan,71.19166666666666,-69.64166666666665,15.430000305175781,0.11999999731779099,LW46,"LW46,KMHK63"
LMC0060,,0.05000000074505806,0.36000001430511475,,8.350000381469727,1,nan,71.28333333333332,-69.8025,15.369999885559082,0.10999999940395355,LW49,"LW49,KMHK67"
LMC0062,,0.05000000074505806,0.699999988079071,,8.600000381469727,1,nan,71.32083333333333,-67.29499999999999,15.359999656677246,0.11999999731779099,[SL63] 26,"SL26,LW48,KMHK65"
LMC0064,,0.05000000074505806,0.3499999940395355,,8.699999809265137,1,nan,71.42083333333332,-70.98972222222221,15.460000038146973,0.11999999731779099,[SL63] 31,"SL31,LW53,KMHK75"
LMC0066,*,0.05000000074505806,0.30000001192092896,,8.699999809265137,2,nan,71.46666666666665,-72.3511111111111,14.989999771118164,0.11999999731779099,LW56,"LW56w,KMHK83w"
LMC0067,*,0.07999999821186066,0.25,,8.800000190734863,1,nan,71.475,-72.35222222222221,14.510000228881836,0.11999999731779099,LW56,"LW56e,KMHK83e"
LMC0068,,0.07999999821186066,0.550000011920929,,8.699999809265137,1,nan,71.50833333333333,-68.48305555555555,15.050000190734863,0.11999999731779099,[SL63] 30,"SL30,KMHK73"
LMC0069,,0.029999999329447746,0.33000001311302185,,8.600000381469727,1,nan,71.51666666666665,-66.91138888888888,15.8100004196167,0.12999999523162842,LW54,"LW54,KMHK72"
LMC0073,,0.10000000149011612,0.23000000417232513,>,8.800000190734863,0,nan,71.60416666666666,-68.30305555555555,15.789999961853027,0.10000000149011612,KMHK79,KMHK79
LMC0074,,0.18000000715255737,0.2199999988079071,,8.100000381469727,1,nan,71.65416666666665,-67.7611111111111,15.300000190734863,0.10999999940395355,KMHK82,KMHK82
LMC0075,,0.05000000074505806,0.4399999976158142,,8.800000190734863,1,nan,71.66666666666666,-67.68527777777777,15.40999984741211,0.11999999731779099,[SL63] 35,"SL35,LW58,KMHK84"
LMC0076,,0.05000000074505806,1.0,,8.699999809265137,1,nan,71.69166666666666,-72.39472222222221,13.510000228881836,0.11999999731779099,[SL63] 37,"SL37,LW61,KMHK98"
