@int,ra,dec,string
HZ,ra,dec,other_names
109,0:59:03.43,-73:50:24.56,HW36
110,0:59:07.25,-72:08:59.14,BS90
111,0:59:14.83,-71:46:08.87,HW37
112,0:59:15.32,-72:36:27.84,B96;SMC_OGLE117
113,0:59:25.42,-73:49:01.23,HW38
114,0:59:40.56,-71:44:34.25,BS273
115,0:59:48.73,-72:20:01.37,IC1611;K40;L61;ESO29SC27;
116,1:00:00.26,-72:22:18.22,IC1612;K41;L62;ESO29SC28;
117,1:00:07.45,-71:52:34.31,SMC-DEM104
118,1:00:13.47,-72:27:40.80,H86-188;SMC_OGLE121
119,1:00:25.11,-71:17:43.84,HW40
120,1:00:30.12,-73:52:44.07,B98ne
121,1:00:30.52,-73:05:14.41,B99;SMC_OGLE122
122,1:00:32.28,-72:15:30.74,H86-190;SMC_OGLE230
123,1:00:33.87,-72:21:50.82,K42;L63;SMC_OGLE124
124,1:00:34.37,-72:14:19.18,H86-189;SMC_OGLE123
125,1:00:34.50,-71:27:37.98,HW41
126,1:00:49.42,-73:20:57.02,K43;L64
127,1:01:00.12,-73:09:22.22,B103
128,1:01:00.39,-72:44:59.59,L65;H86-192;SMC_OGLE126
129,1:01:07.13,-71:45:14.04,HW43
130,1:01:32.91,-72:12:16.65,H86-193;SMC_OGLE127
131,1:01:37.53,-72:24:23.11,B105;SMC_OGLE128
132,1:01:44.80,-72:33:51.23,L66;SMC_OGLE129
133,1:01:52.62,-72:10:56.67,B108;SMC_OGLE130
134,1:02:02.77,-71:01:14.31,B111
135,1:02:06.34,-73:55:22.74,K44;L68
136,1:02:12.83,-71:36:16.21,NGC361;K46;L67;ESO51SC12
137,1:02:13.13,-72:57:58.47,SMC_OGLE132
138,1:02:31.86,-72:19:05.26,SMC_OGLE133
139,1:02:38.11,-73:22:54.04,nomatch
140,1:02:42.69,-71:28:52.91,BS107
141,1:02:49.39,-73:44:19.14,K45e;L69w
142,1:02:55.75,-73:20:18.64,B113
143,1:03:11.53,-72:16:23.51,K47;L70;SMC_OGLE134
144,1:03:21.86,-72:39:08.06,B115;SMC_OGLE137
145,1:03:50.21,-72:49:33.55,NGC376;K49;L72;ESO29SC29;
146,1:04:05.37,-74:37:06.09,HW47
147,1:04:12.92,-73:15:40.09,B117
148,1:04:24.34,-71:42:46.52,B122
149,1:04:30.49,-72:37:06.41,B121;SMC_OGLE141
150,1:04:36.21,-72:09:36.73,K50;L74;ESO51SC15;
151,1:04:59.50,-73:38:17.03,HW48
152,1:05:02.66,-73:02:32.72,B124
153,1:05:20.90,-72:02:34.47,IC1624;K52;L76;ESO51SC17;
154,1:05:51.42,-71:57:07.56,B128
155,1:06:02.40,-72:20:30.78,BS131;SMC_OGLE150
156,1:06:14.55,-73:17:51.05,IC1626;K53;L77;ESO29SC30
157,1:06:47.31,-72:16:23.69,K54;L79;ESO29SC31;
158,1:06:49.70,-74:49:40.77,BS250
159,1:06:54.58,-71:41:25.28,L78
160,1:06:56.28,-73:14:09.07,HW52
161,1:06:58.88,-71:48:53.23,B131
162,1:07:00.73,-73:34:36.65,HW53
163,1:07:04.47,-72:37:22.25,B129;SMC_OGLE154
164,1:07:14.93,-72:05:57.22,BS138
165,1:07:20.77,-73:22:37.48,HW55
166,1:07:27.87,-72:29:36.54,K56;SMC_OGLE155
167,1:07:29.50,-72:46:05.36,L80;SMC_OGLE156
168,1:07:32.56,-73:07:17.06,K55;L81;SMC_OGLE157
169,1:07:41.16,-70:56:03.65,HW56
170,1:07:45.10,-71:52:43.56,HW57
171,1:07:54.98,-72:20:50.59,NGC416;K59;L83;ESO29SC32;
172,1:07:55.95,-71:46:04.51,NGC411;K60;L82;ESO51SC19
173,1:08:13.77,-73:15:26.97,K57;L86
174,1:08:28.78,-72:53:11.79,NGC419;K58;L85;ESO29SC33;
175,1:08:39.57,-71:45:35.08,B136
176,1:09:03.68,-73:05:13.80,K61;SMC_OGLE161
177,1:09:07.73,-73:12:20.69,BS142
178,1:09:24.50,-71:45:58.95,NGC422;K62;L87;ESO51SC22
179,1:09:39.74,-71:46:02.80,IC1641;HW62;ESO51SC21
180,1:09:44.61,-72:17:47.68,HW61
181,1:10:05.20,-72:44:15.52,BS276
182,1:10:12.10,-73:12:26.58,HW63
183,1:10:26.80,-71:33:55.94,B139
184,1:10:45.97,-71:20:17.67,HW64
185,1:10:48.07,-72:47:35.90,K63;L88
186,1:11:53.97,-71:19:48.38,IC1655;L90;ESO51SC23
187,1:11:58.74,-72:16:22.35,HW65
188,1:12:18.74,-72:26:58.34,BS152
189,1:12:33.33,-73:27:22.63,IC1662;L92;ESO29SC37
190,1:12:37.37,-71:45:41.75,IC1660;K64;L89;ESO51SC24
191,1:12:43.44,-72:48:37.47,SMC-DEM146
192,1:12:44.67,-72:44:58.47,B143
193,1:12:49.05,-73:28:28.37,L93
194,1:12:51.74,-73:07:10.86,L91
195,1:13:01.82,-70:57:47.08,HW67
196,1:13:54.78,-71:45:25.57,B151
197,1:14:53.36,-71:32:58.65,NGC458;K69;L96;ESO51SC26
198,1:14:55.87,-72:12:22.36,HW70
199,1:15:31.56,-72:22:46.67,HW71se
200,1:15:33.25,-72:37:24.15,K68;L98
201,1:15:51.02,-73:20:48.92,Sk157
202,1:16:24.84,-71:19:38.50,HW73
203,1:17:30.46,-73:34:16.15,HW75
204,1:20:23.73,-74:00:08.18,B155
