instrument,detector,propid,target,ra,dec,filter1,filter2,pr_inv,exptime,date-obs,filename
#@string,string,string,string,ra,dec,string,string,string,string,string,string
ACS,WFC,10248,NGC346,14.775750,-72.175333,F555W,CLEAR2L,Nota,456,2004-07-13,clusters/ACS/10248_NGC346/j92f01ksq_flt.fits
ACS,WFC,10248,NGC346,14.775750,-72.175333,F555W,CLEAR2L,Nota,456,2004-07-13,clusters/ACS/10248_NGC346/j92f01kuq_flt.fits
ACS,WFC,10248,NGC346,14.775750,-72.175333,F555W,CLEAR2L,Nota,456,2004-07-13,clusters/ACS/10248_NGC346/j92f01kwq_flt.fits
ACS,WFC,10248,NGC346,14.775750,-72.175333,F555W,CLEAR2L,Nota,456,2004-07-13,clusters/ACS/10248_NGC346/j92f01kyq_flt.fits
ACS,WFC,10248,NGC346,14.775750,-72.175333,F555W,CLEAR2L,Nota,3,2004-07-13,clusters/ACS/10248_NGC346/j92f01l1q_flt.fits
ACS,WFC,10248,NGC346,14.775750,-72.175333,CLEAR1L,F814W,Nota,2,2004-07-13,clusters/ACS/10248_NGC346/j92f01l3q_flt.fits
ACS,WFC,10248,NGC346,14.775750,-72.175333,CLEAR1L,F814W,Nota,484,2004-07-13,clusters/ACS/10248_NGC346/j92f01l4q_flt.fits
ACS,WFC,10248,NGC346,14.775750,-72.175333,CLEAR1L,F814W,Nota,484,2004-07-13,clusters/ACS/10248_NGC346/j92f01l6q_flt.fits
ACS,WFC,10248,NGC346,14.775750,-72.175333,CLEAR1L,F814W,Nota,484,2004-07-13,clusters/ACS/10248_NGC346/j92f01l8q_flt.fits
ACS,WFC,10248,NGC346,14.775750,-72.175333,CLEAR1L,F814W,Nota,484,2004-07-13,clusters/ACS/10248_NGC346/j92f01laq_flt.fits
ACS,WFC,10248,NGC346,14.775750,-72.175333,CLEAR1L,F814W,Nota,2,2004-07-13,clusters/ACS/10248_NGC346/j92f01ldq_flt.fits
ACS,WFC,10248,NGC346,14.775750,-72.175333,CLEAR1L,F814W,Nota,2,2004-07-18,clusters/ACS/10248_NGC346/j92f02luq_flt.fits
ACS,WFC,10248,NGC346,14.775750,-72.175333,CLEAR1L,F814W,Nota,450,2004-07-18,clusters/ACS/10248_NGC346/j92f02lvq_flt.fits
ACS,WFC,10248,NGC346,14.775750,-72.175333,CLEAR1L,F814W,Nota,450,2004-07-18,clusters/ACS/10248_NGC346/j92f02lyq_flt.fits
ACS,WFC,10248,NGC346,14.775750,-72.175333,CLEAR1L,F814W,Nota,450,2004-07-18,clusters/ACS/10248_NGC346/j92f02m0q_flt.fits
ACS,WFC,10248,NGC346,14.775750,-72.175333,CLEAR1L,F814W,Nota,450,2004-07-18,clusters/ACS/10248_NGC346/j92f02m5q_flt.fits
ACS,WFC,10248,NGC346,14.775750,-72.175333,CLEAR1L,F814W,Nota,2,2004-07-18,clusters/ACS/10248_NGC346/j92f02m8q_flt.fits
ACS,WFC,10248,NGC346,14.775750,-72.175333,F555W,CLEAR2L,Nota,3,2004-07-18,clusters/ACS/10248_NGC346/j92f02mbq_flt.fits
ACS,WFC,10248,NGC346,14.775750,-72.175333,F555W,CLEAR2L,Nota,483,2004-07-18,clusters/ACS/10248_NGC346/j92f02mcq_flt.fits
ACS,WFC,10248,NGC346,14.775750,-72.175333,F555W,CLEAR2L,Nota,483,2004-07-18,clusters/ACS/10248_NGC346/j92f02meq_flt.fits
ACS,WFC,10248,NGC346,14.775750,-72.175333,F555W,CLEAR2L,Nota,483,2004-07-18,clusters/ACS/10248_NGC346/j92f02mgq_flt.fits
ACS,WFC,10248,NGC346,14.775750,-72.175333,F555W,CLEAR2L,Nota,483,2004-07-18,clusters/ACS/10248_NGC346/j92f02miq_flt.fits
ACS,WFC,10248,NGC346,14.775750,-72.175333,F555W,CLEAR2L,Nota,3,2004-07-18,clusters/ACS/10248_NGC346/j92f02mlq_flt.fits
ACS,WFC,10248,NGC346,14.775750,-72.175333,F555W,CLEAR2L,Nota,380,2004-07-15,clusters/ACS/10248_NGC346/j92fa3veq_flt.fits
