#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Product Type, Mission, Instrument, Filters, Waveband, Target Name, Observation ID, RA, Dec, Principal Investigator, Calibration Level, Start Time, End Time, Exposure Time, Classification, Observation Title, Release Date, Proposal ID, Object ID, s_region, jpegURL, Product Group ID, Project, Distance (")
#@string, string, string, string, string, string, string, ra, dec, string, int, float, float, float, string, string, float, string, string, string, string, string, string, float
dataproduct_type,obs_collection,instrument,filters,wavelength_region,target_name,obs_id,s_ra,s_dec,proposal_pi,calib_level,t_min,t_max,t_exptime,target_classification,obs_title,t_obs_release,proposal_id,objID,s_region,jpegURL,obsid,project,distance
image,HST,WFC3/UVIS,F606W,OPTICAL,AGNC-S1188,ICC220040,17.76615795207,-72.34354015028,KALLIVAYALIL,3,56664.08075,56664.10352,1416,GALAXY,,57029.22888,13476,2001908133,POLYGON 17.80794606 -72.34272984 17.74881611 -72.32902824 17.69969011 -72.34585568 17.75887541 -72.35975524 17.80794606 -72.34272984 17.80794606 -72.34272984,http://archive.stsci.edu/hst/previews/ICC2/ICC220040_256.jpg,2000958390,DADS,4081.3708486271
image,HST,WFC3/UVIS,F814W,OPTICAL,AGNC-S1188,ICC220030,17.76473046007,-72.34250749189,KALLIVAYALIL,3,56664.07407,56664.10998,708,GALAXY,,57029.22813,13476,2001908132,POLYGON 17.80651581 -72.34169619 17.74738856 -72.32799485 17.69826614 -72.3448225 17.75744874 -72.3587218 17.80651581 -72.34169619 17.80651581 -72.34169619,http://archive.stsci.edu/hst/previews/ICC2/ICC220030_256.jpg,2000958389,DADS,4081.91800113834
image,HST,WFC3/UVIS,F336W,OPTICAL,ANY,IBP509030,18.72921006789,-73.32026790697,ROMAN-DUVAL,3,56185.73669,56185.8836,3192,UNIDENTIFIED,,56551.11436,12581,2001904400,POLYGON 18.82716132 -73.30715907 18.68021278 -73.29028423 18.63119727 -73.33334854 18.77608447 -73.35054461 18.82716132 -73.30715907 18.82716132 -73.30715907,http://archive.stsci.edu/hst/previews/IBP5/IBP509030_256.jpg,2000954657,DADS,4722.05390887356
image,HST,WFC3/UVIS,F814W,OPTICAL,ANY,IBP509040,18.72921006789,-73.32026790697,ROMAN-DUVAL,3,56185.75297,56185.83226,1431.5,UNIDENTIFIED,,56551.00926,12581,2001904401,POLYGON 18.82716132 -73.30715907 18.68021278 -73.29028423 18.63119727 -73.33334854 18.77608447 -73.35054461 18.82716132 -73.30715907 18.82716132 -73.30715907,http://archive.stsci.edu/hst/previews/IBP5/IBP509040_256.jpg,2000954658,DADS,4722.05390887356
image,HST,WFC3/UVIS,F475W,OPTICAL,ANY,IBP509050,18.72921006789,-73.32026790697,ROMAN-DUVAL,3,56185.88677,56185.92741,1330,UNIDENTIFIED,,56551.12024,12581,2001904402,POLYGON 18.82716132 -73.30715907 18.68021278 -73.29028423 18.63119727 -73.33334854 18.77608447 -73.35054461 18.82716132 -73.30715907 18.82716132 -73.30715907,http://archive.stsci.edu/hst/previews/IBP5/IBP509050_256.jpg,2000954659,DADS,4722.05390887356
image,HST,WFC3/UVIS,F336W,OPTICAL,NGC-411,IBHY12040,16.97597277388,-71.76150424502,GIRARDI,3,55801.32375,55801.39534,2200,EXT-CLUSTER,,56167.48171,12257,2001895027,POLYGON 17.04532685 -71.73934239 16.90022639 -71.73838603 16.90655143 -71.78364896 17.05027989 -71.78510928 17.04532685 -71.73934239 17.04532685 -71.73934239,http://archive.stsci.edu/hst/previews/IBHY/IBHY12040_256.jpg,2000945284,DADS,4857.55850267188
image,HST,WFC3/UVIS,F814W,OPTICAL,NGC-411,IBHY12030,16.97597277388,-71.76150424502,GIRARDI,3,55801.3216,55801.36076,1980,EXT-CLUSTER,,56167.43772,12257,2001896129,POLYGON 17.04532711 -71.73934246 16.90022666 -71.73838594 16.90655119 -71.78364888 17.05027964 -71.78510936 17.04532711 -71.73934246 17.04532711 -71.73934246,http://archive.stsci.edu/hst/previews/IBHY/IBHY12030_256.jpg,2000946386,DADS,4857.5585938955
image,HST,WFC3/UVIS,F475W,OPTICAL,NGC-411,IBHY12050,16.97448457878,-71.76068292546,GIRARDI,3,55801.37436,55801.42543,1520,EXT-CLUSTER,,56167.48315,12257,2001897886,POLYGON 17.04383738 -71.73852161 16.8987433 -71.73756413 16.90506452 -71.78282711 17.04878661 -71.78428853 17.04383738 -71.73852161 17.04383738 -71.73852161,http://archive.stsci.edu/hst/previews/IBHY/IBHY12050_256.jpg,2000948143,DADS,4859.10415416082
image,HST,WFC3/UVIS,F438W,OPTICAL,NGC-152,IBYL03040,8.228841666667,-73.11725,GOUDFROOIJ,3,56434.00197,56434.02081,1500,STELLAR CLUSTER,,56799.09925,12908,2001906160,POLYGON 8.30034223 -73.10171874 8.22950424 -73.09253977 8.15762003 -73.13265763 8.22820114 -73.14152002 8.30034223 -73.10171874 8.30034223 -73.10171874,http://archive.stsci.edu/hst/previews/IBYL/IBYL03040_256.jpg,2000956417,DADS,6442.35362545398
image,HST,WFC3/UVIS,F814W,OPTICAL,NGC-152,IBYL03030,8.228841666667,-73.11725,GOUDFROOIJ,3,56433.99787,56434.02831,700,STELLAR CLUSTER,,56799.09932,12908,2001907954,POLYGON 8.30034096 -73.10171763 8.22950183 -73.09253941 8.15762264 -73.13265804 8.22820486 -73.14151968 8.30034096 -73.10171763 8.30034096 -73.10171763,http://archive.stsci.edu/hst/previews/IBYL/IBYL03030_256.jpg,2000958211,DADS,6442.35469038161
