# RA          DEC          ClstName     Target                     Detector  Spectral_Elt                        ExpTime   PropID   PI_Name          Title                                                                           
  92.135819   -73.843427   NGC2209      NGC2209                    WFPC2     F555W/F450W                         350.0     5475     SHARA            "05475_0w WFPC2 F555W/F450W (color) NGC2209"                                    
  92.134387   -73.814252   NGC2209      NGC2209-HALF               WFPC2     F555W                               2500.0    7307     GILMORE          "07307_69 WFPC2 F555W (combined) NGC2209-HALF"                                  
  92.486665   -73.761694   NGC2209      NGC2209-CEN                WFPC2     F814W/F555W                         2000.0    7307     GILMORE          "07307_62 WFPC2 F814W/F555W (color) NGC2209-CEN"                                
  92.103135   -73.835657   NGC2209      NGC2209-CEN                WFPC2     F814W/F555W                         1395.0    7307     GILMORE          "07307_63 WFPC2 F814W/F555W (color) NGC2209-CEN"                                
  91.884362   -73.769151   NGC2209      NGC2209-HALF               WFPC2     F555W                               2400.0    7307     GILMORE          "07307_64 WFPC2 F555W (combined) NGC2209-HALF"                                  
  91.841826   -73.735579   NGC2209      NGC2209-HALF               WFPC2     F555W                               2200.0    7307     GILMORE          "07307_71 WFPC2 F555W (combined) NGC2209-HALF"                                  
  92.632911   -69.038666   NGC2210      NGC2210-CEN                WFPC2     F814W/F555W                         2000.0    7307     GILMORE          "07307_95 WFPC2 F814W/F555W (color) NGC2210-CEN"                                
  92.885077   -69.135152   NGC2210      NGC2210                    WFPC2     F814W/F555W                         8040.0    5897     BOLTE            "05897_04 WFPC2 F814W/F555W (color) NGC2210"                                    
  92.676565   -71.542877   NGC2213      NGC2213                    WFPC2     F555W/F450W                         350.0     5475     SHARA            "05475_0v WFPC2 F555W/F450W (color) NGC2213"                                    
  92.680313   -71.522861   NGC2213      NGC-2213                   WFC3/UVIS F475W                               1440.0    12257    GIRARDI          "IBHY25030 WFC3/UVIS F475W (exposure) NGC-2213"                                 
  93.216495   -68.265344   NGC2214      NGC2214                    WFPC2     F555W/F450W                         90.0      5475     SHARA            "05475_18 WFPC2 F555W/F450W (color) NGC2214"                                    
  95.157773   -67.525291   NGC2231      NGC2231                    WFPC2     F555W/F450W                         350.0     5475     SHARA            "05475_0s WFPC2 F555W/F450W (color) NGC2231"                                    
  96.469804   -68.915381   NGC2249      NGC2249                    WFPC2     F555W/F450W                         350.0     5475     SHARA            "05475_0y WFPC2 F555W/F450W (color) NGC2249"                                    
  97.543942   -64.334714   NGC2257      NGC2257                    WFPC2     F555W/F450W                         900.0     5475     SHARA            "05475_0d WFPC2 F555W/F450W (color) NGC2257"                                    
  11.832536   -73.488305   NGC265       NGC265                     ACS/WFC   F814W/F555W                         58.0      9891     Gilmore          "9891_13 ACS/WFC F814W/F555W (color) NGC265"                                    
  13.301886   -73.39319    NGC294       NGC294                     ACS/WFC   F814W/F555W                         295.0     9891     Gilmore          "9891_18 ACS/WFC F814W/F555W (color) NGC294"                                    
  13.402098   -72.20593    NGC299       NGC299                     ACS/WFC   F814W/F555W                         3824.0    10248    Nota             "10248_11 ACS/WFC F814W/F555W (color) NGC299"                                   
  14.039424   -72.461904   NGC330       NGC330                     WFPC2     F555W/F450W                         120.0     5475     SHARA            "05475_0b WFPC2 F555W/F450W (color) NGC330"                                     
  14.10757    -72.460248   NGC330       NGC330                     WFPC2     F555W/F160BW                        1711.6    6425     BESSELL          "06425_01 WFPC2 F555W/F160BW (color) NGC330"                                    
  14.08762    -72.471401   NGC330       NGC330                     WFPC2     F814W/F555W                         2820.0    8134     NOTA             "08134_10 WFPC2 F814W/F555W (color) NGC330"                                     
  14.433891   -74.456429   NGC339       NGC339                     WFPC2     F555W/F450W                         600.0     5475     SHARA            "05475_02 WFPC2 F555W/F450W (color) NGC339"                                     
  14.435541   -74.475768   NGC339       NGC339                     ACS/WFC   F814W/F555W                         3940.0    10396    Gallagher        "10396_04 ACS/WFC F814W/F555W (color) NGC339"                                   
  14.789092   -72.176306   NGC346       NGC346                     ACS/WFC   F814W/F658N/F555W                   2302.0    10248    Nota             "10248_a3 ACS/WFC F814W/F658N/F555W (color) NGC346"                             
  15.537743   -71.592397   NGC361       NGC361                     WFPC2     F555W/F450W                         460.0     5475     SHARA            "05475_06 WFPC2 F555W/F450W (color) NGC361"                                     
  16.024698   -72.833581   NGC376       NGC376                     ACS/WFC   F814W/F555W                         3772.0    10248    Nota             "10248_08 ACS/WFC F814W/F555W (color) NGC376"                                   
  17.001144   -71.76361    NGC411       NGC411                     WFPC2     F555W/F450W                         600.0     5475     SHARA            "05475_04 WFPC2 F555W/F450W (color) NGC411"                                     
  16.974485   -71.760683   NGC411       NGC-411                    WFC3/UVIS F475W                               1520.0    12257    GIRARDI          "IBHY12050 WFC3/UVIS F475W (exposure) NGC-411"                                  
  16.979899   -71.753109   NGC411?      NGC419                     WFPC2     F555W/F450W                         600.0     5475     SHARA            "05475_03 WFPC2 F555W/F450W (color) NGC419"                                     
  16.965265   -72.354961   NGC416       NGC416                     WFPC2     F555W/F450W                         600.0     5475     SHARA            "05475_05 WFPC2 F555W/F450W (color) NGC416"                                     
  16.977802   -72.365987   NGC416       NGC416                     ACS/WFC   F814W/F555W                         1956.0    10396    Gallagher        "10396_01 ACS/WFC F814W/F555W (color) NGC416"                                   
  16.968869   -72.34696    NGC416       NGC416                     ACS/WFC   F814W/F555W                         3940.0    10396    Gallagher        "10396_21 ACS/WFC F814W/F555W (color) NGC416"                                   
  17.106686   -72.878818   NGC419       NGC419                     ACS/WFC   F814W/F555W                         3940.0    10396    Gallagher        "10396_23 ACS/WFC F814W/F555W (color) NGC419"                                   
  17.094167   -72.879167   NGC419       NGC-419                    WFC3/UVIS F336W                               3230.0    12257    GIRARDI          "IBHY30030 WFC3/UVIS F336W (exposure) NGC-419"                                  
  17.315956   -71.765063   NGC422       NGC422                     WFPC2     F555W/F450W                         150.0     5475     SHARA            "05475_09 WFPC2 F555W/F450W (color) NGC422"                                     
  17.359262   -71.781803   NGC422       NGC422                     ACS/WFC   F814W/F555W                         131.0     9891     Gilmore          "9891_28 ACS/WFC F814W/F555W (color) NGC422"                                    
  18.688389   -71.547203   NGC458       NGC458                     WFPC2     F555W/F450W                         120.0     5475     SHARA            "05475_0a WFPC2 F555W/F450W (color) NGC458"                                     
  18.866375   -73.322274   NGC465       NGC465                     WFPC2     F555W/F450W                         120.0     5475     SHARA            "05475_0c WFPC2 F555W/F450W (color) NGC465"                                     
  22.378951   -73.554823   NGC602       NGC602                     ACS/WFC   F814W/F658N/F555W                   1913.0    10248    Nota             "10248_a6 ACS/WFC F814W/F658N/F555W (color) NGC602"                             
  22.428818   -73.569336   NGC602       NGC602                     ACS/WFC   F814W/F555W                         58.0      9891     Gilmore          "9891_33 ACS/WFC F814W/F555W (color) NGC602"                                    
  83.096002   -64.74157    SL556        SL556                      WFPC2     F555W/F450W                         350.0     5475     SHARA            "05475_0o WFPC2 F555W/F450W (color) SL556"                                      
  85.614063   -65.369216   SL633        SL633                      WFPC2     F555W/F450W                         350.0     5475     SHARA            "05475_0l WFPC2 F555W/F450W (color) SL633"                                      
  92.057202   -62.994191   SL842        SL842                      WFPC2     F555W/F450W                         350.0     5475     SHARA            "05475_0h WFPC2 F555W/F450W (color) SL842"                                      
  92.720819   -65.051119   SL855        SL855                      WFPC2     F555W/F450W                         350.0     5475     SHARA            "05475_0q WFPC2 F555W/F450W (color) SL855"                                      
