Names,RAJ2000,DEJ2000,Type,amaj,amin,PA,Com,SimbadName
@string,ra,dec,string,float,float,int,string,string
"SL487e,KMHK925e",81.7875,-71.02333333,CA,0.600000024,0.449999988,50,"mP,in SGshell-LMC9",[SL63] 487
"HS302,KMHK913",81.7875,-66.885,CA,0.649999976,0.649999976,0,in Shapley-III,[HS66] 302
"BSDL1789,LOGLE489",81.79583333,-69.37527778,C,0.449999988,0.400000006,60,in SGshell-LMC3,BSDL1789
BSDL1735,81.80833333,-64.24666667,CA,0.649999976,0.550000012,130,,BSDL1735
KMHK912,81.80833333,-66.09944444,C,0.899999976,0.899999976,0,in Shapley-III,KMHK912
"HS304,KMHK927",81.8125,-71.17111111,C,1,1,0,in SGshell-LMC9,[HS66] 304
"NGC1987,SL486,ESO56SC131,KMHK926",81.82083333,-70.73555556,C,1.700000048,1.700000048,0,sup DEML208,NGC 1987
"SL490,LW217,KMHK939",81.825,-73.67916667,C,1.200000048,1.100000024,20,,[SL63] 490
"SL482,KMHK915",81.825,-66.36861111,C,0.699999988,0.649999976,80,in Shapley-III,[SL63] 482
"HS306,LOGLE490",81.8375,-70.01138889,C,0.600000024,0.550000012,90,,[HS66] 306
"BSDL1807,LOGLE491",81.84166667,-69.87027778,C,1,0.699999988,30,in LH59,BSDL1807
"HS303,KMHK916",81.84166667,-66.78722222,CA,0.800000012,0.699999988,120,in Shapley-III,[HS66] 303
BSDL1793,81.85,-68.9375,C,0.899999976,0.75,100,in Shapley-II,BSDL1793
BSDL1796,81.8625,-68.88861111,C,0.600000024,0.550000012,140,in Shapley-II,BSDL1796
LOGLE492,81.87083333,-69.83777778,C,0.460000008,0.460000008,0,,OGLE-CL LMC 492
"NGC2000,SL493,ESO56SC135,KMHK932",81.875,-71.88,C,1.600000024,1.5,150,in BSDL1881,NGC 2000
"BSDL1805,LOGLE493",81.875,-69.49,C,0.600000024,0.5,70,,BSDL1805
LOGLE494,81.89166667,-70.02944444,C,0.540000021,0.540000021,0,,OGLE-CL LMC 494
KMHK920,81.89583333,-66.54333333,CA,0.850000024,0.75,20,in Shapley-III,KMHK920
"BSDL1821,LOGLE495",81.9,-69.89722222,C,0.699999988,0.699999988,120,"mP,in LH59",BSDL1821
