#@string,string,string,string,ra,dec,string,string,string,string,string,string,string
idx,instrument,detector,propid,target,ra,dec,filter1,filter2,pr_inv,exptime,date-obs,rootname,filename,s_region
17,ACS,WFC,13901,H86-126,12.916667,-73.11694399999999,F555W,CLEAR2L,Gallagher,539,2006-01-17,j96110e2q,multiband/13901_H86-126/j96110e2q_flt.fits,'POLYGON 13.02082865 -73.09171385 12.82459787 -73.08443074 12.78921373 -73.14034866 12.98196018 -73.1460821 13.02082865 -73.09171385 13.02082865 -73.09171385'
18,ACS,WFC,13901,H86-126,12.916667,-73.11694399999999,F555W,CLEAR2L,Gallagher,50,2006-01-17,j96110e5q,multiband/13901_H86-126/j96110e5q_flt.fits,'POLYGON 13.02082865 -73.09171385 12.82459787 -73.08443074 12.78921373 -73.14034866 12.98196018 -73.1460821 13.02082865 -73.09171385 13.02082865 -73.09171385'
19,WFC3,UVIS,13901,HS357-FIELD,83.63108299999999,-68.587194,F555W,...,Stephens,400,2012-10-31,ic2o07quq,multiband/13901_HS357-FIELD/ic2o07quq_flt.fits,'POLYGON 83.69274231 -68.56235865 83.56844183 -68.56021772 83.57059732 -68.60555586 83.69366635 -68.6081919 83.69274231 -68.56235865 83.69274231 -68.56235865'
20,WFC3,UVIS,13901,HS357-FIELD,83.63108299999999,-68.587194,F814W,...,Stephens,1000,2012-10-31,ic2o07qxq,multiband/13901_HS357-FIELD/ic2o07qxq_flt.fits,'POLYGON 83.69274231 -68.56235865 83.56844183 -68.56021772 83.57059732 -68.60555586 83.69366635 -68.6081919 83.69274231 -68.56235865 83.69274231 -68.56235865'
21,WFC3,UVIS,13901,HS357-FIELD,83.63108299999999,-68.587194,F555W,...,Stephens,393,2012-10-31,ic2o07r3q,multiband/13901_HS357-FIELD/ic2o07r3q_flt.fits,'POLYGON 83.69274231 -68.56235865 83.56844183 -68.56021772 83.57059732 -68.60555586 83.69366635 -68.6081919 83.69274231 -68.56235865 83.69274231 -68.56235865'
22,WFC3,UVIS,13901,HS357-FIELD,83.63108299999999,-68.587194,F814W,...,Stephens,1000,2012-10-31,ic2o07r4q,multiband/13901_HS357-FIELD/ic2o07r4q_flt.fits,'POLYGON 83.69274231 -68.56235865 83.56844183 -68.56021772 83.57059732 -68.60555586 83.69366635 -68.6081919 83.69274231 -68.56235865 83.69274231 -68.56235865'
23,WFC3,UVIS,13901,HS357-FIELD,83.63108299999999,-68.587194,F555W,...,Stephens,400,2012-10-31,ic2o07r8q,multiband/13901_HS357-FIELD/ic2o07r8q_flt.fits,'POLYGON 83.69274231 -68.56235865 83.56844183 -68.56021772 83.57059732 -68.60555586 83.69366635 -68.6081919 83.69274231 -68.56235865 83.69274231 -68.56235865'
24,WFC3,UVIS,13901,HS357-FIELD,83.63108299999999,-68.587194,F814W,...,Stephens,666,2012-10-31,ic2o07rdq,multiband/13901_HS357-FIELD/ic2o07rdq_flt.fits,'POLYGON 83.69274231 -68.56235865 83.56844183 -68.56021772 83.57059732 -68.60555586 83.69366635 -68.6081919 83.69274231 -68.56235865 83.69274231 -68.56235865'
25,WFC3,IR,13901,HS357-FIELD,83.63108299999999,-68.587194,F110W,...,Stephens,299,2012-10-31,ic2o07rhq,multiband/13901_HS357-FIELD/ic2o07rhq_flt.fits,'POLYGON 83.68405483 -68.56793511 83.58094889 -68.56839871 83.58101825 -68.60246859 83.68686984 -68.60198913 83.68405483 -68.56793511 83.68405483 -68.56793511'
26,WFC3,IR,13901,HS357-FIELD,83.63108299999999,-68.587194,F160W,...,Stephens,499,2012-10-31,ic2o07rkq,multiband/13901_HS357-FIELD/ic2o07rkq_flt.fits,'POLYGON 83.69274231 -68.56235865 83.56844183 -68.56021772 83.57059732 -68.60555586 83.69366635 -68.6081919 83.69274231 -68.56235865 83.69274231 -68.56235865'
