#@string, string, string, string, string, string, string, ra, dec, string, int, float, float, float, string, string, float, string, string, string, string, string, string, float
dataproduct_type,obs_collection,instrument,filters,wavelength_region,target_name,obs_id,s_ra,s_dec,proposal_pi,calib_level,t_min,t_max,t_exptime,target_classification,obs_title,t_obs_release,proposal_id,objID,s_region,jpegURL,obsid,project,distance
image,HST,ACS/WFC,f555w,OPTICAL,NGC-290,HST_10126_04_ACS_WFC_F555W,12.7964822716523,-73.17596124551,Olszewski,3,53308.3606,53308.37273,560,,,53673.36568,10126,2002396204,POLYGON J2000 12.91696050 -73.16077410 12.74065890 -73.13773960 12.70924070 -73.16386450 12.88576670 -73.18692580 12.91696050 -73.16077410 POLYGON J2000 12.85325900 -73.21437310 12.88634060 -73.18739640 12.70666060 -73.16475490 12.67334250 -73.19170270 12.85325900 -73.21437310,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10126_04_ACS_WFC_F555W&size=ALL&format=jpeg&output_size=256,2001183652,HLA,1568.81815311445
image,HST,ACS/WFC,f814w,OPTICAL,NGC-290,HST_10126_04_ACS_WFC_F814W,12.7964809061451,-73.1759621440202,Olszewski,3,53308.37477,53308.3869,560,,,53673.37985,10126,2002396205,POLYGON J2000 12.67334950 -73.19170230 12.85325500 -73.21437200 12.88633350 -73.18739690 12.70666460 -73.16475600 12.67334950 -73.19170230 POLYGON J2000 12.91694980 -73.16077650 12.74066080 -73.13774210 12.70924590 -73.16386580 12.88575920 -73.18692700 12.91694980 -73.16077650,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10126_04_ACS_WFC_F814W&size=ALL&format=jpeg&output_size=256,2001183653,HLA,1568.83210199051
image,HST,ACS/WFC,F814W,OPTICAL,NGC-290,J90604010,12.81333333333,-73.16219444444,OLSZEWSKI,3,53308.37476,53308.3869,560,EXT-CLUSTER,,53673.37985,10126,2001919556,POLYGON 12.91320635 -73.16078866 12.73910816 -73.13763007 12.70599589 -73.16385344 12.88379133 -73.18671425 12.91320635 -73.16078866 12.91320635 -73.16078866,http://archive.stsci.edu/hst/previews/J906/J90604010_256.jpg,2000969816,DADS,1571.54976476527
image,HST,ACS/WFC,F555W,OPTICAL,NGC-290,J90604020,12.81333333333,-73.16219444444,OLSZEWSKI,3,53308.36059,53308.37273,560,EXT-CLUSTER,,53673.36568,10126,2001913699,POLYGON 12.91320635 -73.16078866 12.73910816 -73.13763007 12.70599589 -73.16385344 12.88379133 -73.18671425 12.91320635 -73.16078866 12.91320635 -73.16078866,http://archive.stsci.edu/hst/previews/J906/J90604020_256.jpg,2000963956,DADS,1571.54976476527
image,HST,ACS/WFC,f475w,OPTICAL,HIGH-GALACTIC-LATITUDE,HST_9488_a8_ACS_WFC_F475W,13.6707698960673,-72.3292397458879,Ratnatunga,3,52649.85738,52649.88138,1800,,,52651.00003,9488,2002579996,POLYGON J2000 13.76880320 -72.30033270 13.67785170 -72.30131640 13.66769190 -72.35729180 13.75892340 -72.35631280 13.76880320 -72.30033270 POLYGON J2000 13.57203180 -72.35836560 13.66644050 -72.35761520 13.67423460 -72.30094270 13.58011880 -72.30169700 13.57203180 -72.35836560,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9488_a8_ACS_WFC_F475W&size=ALL&format=jpeg&output_size=256,2001367444,HLA,1756.59606363559
image,HST,ACS/WFC,F606W,OPTICAL,ANY,JBYY82L4Q,13.49622992341,-72.29825987909,DE MARCHI,2,56508.22637,56508.22753,100,UNIDENTIFIED,,56873.46201,13009,2001524718,POLYGON ICRS  13.37897126 -72.31348098  13.55355509 -72.33588182  13.63505184 -72.28470343  13.46320744 -72.26422045  13.37897126 -72.31348098,http://archive.stsci.edu/hst/previews/JBYY/JBYY82L4Q_256.jpg,2000558257,DADS,1865.24499690481
image,HST,ACS/WFC,F814W,OPTICAL,ANY,JBYY82LEQ,13.49638471315,-72.29822725808,DE MARCHI,2,56508.27711,56508.28105,340,UNIDENTIFIED,,56873.53934,13009,2001527194,POLYGON ICRS  13.37912609 -72.31344844  13.55370974 -72.33584919  13.63520604 -72.28467076  13.46336184 -72.26418787  13.37912609 -72.31344844,http://archive.stsci.edu/hst/previews/JBYY/JBYY82LEQ_256.jpg,2000561282,DADS,1865.32336323188
image,HST,ACS/WFC,F606W,OPTICAL,ANY,JBYY91AHQ,16.15150770296,-72.92223008097,DE MARCHI,2,56505.83476,56505.83593,100,UNIDENTIFIED,,56871.00968,13009,2001524719,POLYGON ICRS  16.03499113 -72.94045695  16.22167236 -72.95821475  16.29072938 -72.90509568  16.10750428 -72.88917882  16.03499113 -72.94045695,http://archive.stsci.edu/hst/previews/JBYY/JBYY91AHQ_256.jpg,2000558258,DADS,2257.67459069221
image,HST,ACS/WFC,F814W,OPTICAL,ANY,JBYY91ARQ,16.15165783432,-72.92219353691,DE MARCHI,2,56505.90752,56505.91155,347,UNIDENTIFIED,,56871.01179,13009,2001527195,POLYGON ICRS  16.03514203 -72.94042049  16.22182307 -72.95817809  16.29087932 -72.90505896  16.10765441 -72.88914228  16.03514203 -72.94042049,http://archive.stsci.edu/hst/previews/JBYY/JBYY91ARQ_256.jpg,2000561283,DADS,2257.81405769835
image,HST,ACS/WFC,F606W,OPTICAL,ANY,JBYY81IYQ,13.69599939063,-72.16749591323,DE MARCHI,2,56410.10122,56410.10238,100,UNIDENTIFIED,,56775.24087,13009,2001524717,POLYGON ICRS  13.75291569 -72.20211676  13.81506517 -72.14780595  13.64368937 -72.12614831  13.58698932 -72.17957949  13.75291569 -72.20211676,http://archive.stsci.edu/hst/previews/JBYY/JBYY81IYQ_256.jpg,2000558256,DADS,2309.90852287667
image,HST,ACS/WFC,F814W,OPTICAL,ANY,JBYY81J9Q,13.69588370629,-72.16745092143,DE MARCHI,2,56410.16464,56410.16867,0,UNIDENTIFIED,,56775.26615,13009,2001523899,POLYGON ICRS  13.75279965 -72.20207180  13.81494933 -72.14776103  13.64357407 -72.12610328  13.58687383 -72.17953444  13.75279965 -72.20207180,http://archive.stsci.edu/hst/previews/JBYY/JBYY81J9Q_256.jpg,2000557176,DADS,2310.08029829954
image,HST,ACS/WFC,f555w,OPTICAL,ANY,HST_10248_13_ACS_WFC_F555W,12.8537304165095,-72.2487679029414,Nota,3,53259.79686,53259.83274,1665,,,53626.73896,10248,2002580006,POLYGON J2000 12.93811325 -72.23778500 12.93886180 -72.23769330 12.89771180 -72.21304260 12.89696422 -72.21313412 12.89660300 -72.21291740 12.72607130 -72.23369730 12.72682856 -72.23415432 12.72676770 -72.23416170 12.76773530 -72.25884810 12.76779627 -72.25884070 12.90554542 -72.24205977 12.76744120 -72.25953980 12.76818825 -72.25999788 12.76813970 -72.26000400 12.80999940 -72.28563070 12.81004796 -72.28562457 12.98199150 -72.26382920 12.98160102 -72.26359194 12.98164980 -72.26358572 12.98239990 -72.26349020 12.94035020 -72.23790020 12.93960103 -72.23799555 12.93923970 -72.23777530 12.93823702 -72.23790291 12.93805236 -72.23779246 12.93811325 -72.23778500,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10248_13_ACS_WFC_F555W&size=ALL&format=jpeg&output_size=256,2001367454,HLA,2318.51838102453
image,HST,ACS/WFC,f814w,OPTICAL,ANY,HST_10248_13_ACS_WFC_F814W,12.8527169117329,-72.2489109262574,Nota,3,53259.81759,53259.82404,556,,,53626.73198,10248,2002580005,POLYGON J2000 12.89619260 -72.21325950 12.72566390 -72.23403670 12.76662940 -72.25872210 12.93734090 -72.23790940 12.89619260 -72.21325950 POLYGON J2000 12.93882810 -72.23811570 12.76703250 -72.25987820 12.80888910 -72.28550370 12.98087500 -72.26370470 12.93882810 -72.23811570,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10248_13_ACS_WFC_F814W&size=ALL&format=jpeg&output_size=256,2001367453,HLA,2319.45503403486
image,HST,ACS/HRC,F606W,OPTICAL,QSO-005116-721651,J91Q13010,12.82083333333,-72.28091666667,ALCOCK,3,53202.43979,53202.45214,568,GALAXY,,53570.60795,10130,2001922055,POLYGON 12.83515398 -72.27731001 12.81207018 -72.27661766 12.80666769 -72.28450264 12.8297845 -72.28526335 12.83515398 -72.27731001 12.83515398 -72.27731001,http://archive.stsci.edu/hst/previews/J91Q/J91Q13010_256.jpg,2000972315,DADS,2328.68914171574
image,HST,ACS/HRC,f606w,OPTICAL,QSO-005116-721651,HST_10130_13_ACS_HRC_F606W,12.8204373482138,-72.2806538066221,Alcock,3,53202.4398,53202.45214,568,,,53570.60795,10130,2002580012,POLYGON J2000 12.81147740 -72.27632730 12.81145105 -72.27636607 12.81141710 -72.27636500 12.80603140 -72.28428650 12.80609917 -72.28428864 12.80608600 -72.28430800 12.80629488 -72.28431458 12.82918590 -72.28503450 12.82921222 -72.28499573 12.82924630 -72.28499680 12.82926071 -72.28497558 12.82940150 -72.28498000 12.82942782 -72.28494123 12.82946190 -72.28494230 12.83483760 -72.27702010 12.83476979 -72.27701797 12.83478300 -72.27699850 12.81169290 -72.27627280 12.81167974 -72.27629217 12.81166655 -72.27631157 12.81163260 -72.27631050 12.81161817 -72.27633173 12.81147740 -72.27632730,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10130_13_ACS_HRC_F606W&size=ALL&format=jpeg&output_size=256,2001367460,HLA,2329.7310865054
