Dataset,Target Name,RA (J2000),Dec (J2000),Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name,High-Level Science Products,Ang Sep (')
U3770507R,NGC121,6.7197327,-71.5299216,3,1999-05-18 19:45:13,1999-05-18 19:45:53,40.000,WFPC2 ,PC1-FIX,F555W,5439.000,6604,2000-05-19 00:21:09,U3770507R,,0.249
U3770508R,NGC121,6.7197327,-71.5299216,3,1999-05-18 19:47:13,1999-05-18 19:47:53,40.000,WFPC2 ,PC1-FIX,F555W,5439.000,6604,2000-05-19 00:20:10,U3770508R,,0.249
U3770509R,NGC121,6.7197327,-71.5299216,3,1999-05-18 19:49:13,1999-05-18 19:49:53,40.000,WFPC2 ,PC1-FIX,F555W,5439.000,6604,2000-05-19 00:21:05,U3770509R,,0.249
U377050AR,NGC121,6.7197327,-71.5299216,3,1999-05-18 19:54:13,1999-05-18 19:54:53,40.000,WFPC2 ,PC1-FIX,F555W,5439.000,6604,2000-05-19 00:17:12,U377050AR,,0.249
U377050BM,NGC121,6.7197327,-71.5299216,3,1999-05-18 20:30:13,1999-05-18 20:38:33,500.000,WFPC2 ,PC1-FIX,F814W,8012.000,6604,2000-05-19 01:17:09,U377050BM,,0.249
U377050CR,NGC121,6.7197327,-71.5299216,3,1999-05-18 20:41:13,1999-05-18 20:49:33,500.000,WFPC2 ,PC1-FIX,F814W,8012.000,6604,2000-05-19 01:06:37,U377050CR,,0.249
U377050DM,NGC121,6.7197327,-71.5299216,3,1999-05-18 21:17:13,1999-05-18 21:25:33,500.000,WFPC2 ,PC1-FIX,F814W,8012.000,6604,2000-05-19 12:18:28,U377050DM,,0.249
U377050ER,NGC121,6.7197327,-71.5299216,3,1999-05-18 21:28:13,1999-05-18 21:36:33,500.000,WFPC2 ,PC1-FIX,F814W,8012.000,6604,2000-05-19 12:15:31,U377050ER,,0.249
U377050FR,NGC121,6.7197327,-71.5299216,3,1999-05-18 22:12:13,1999-05-18 22:12:33,20.000,WFPC2 ,PC1-FIX,F814W,8012.000,6604,2000-05-19 12:16:48,U377050FR,,0.249
U377050GR,NGC121,6.7197327,-71.5299216,3,1999-05-18 22:14:13,1999-05-18 22:14:33,20.000,WFPC2 ,PC1-FIX,F814W,8012.000,6604,2000-05-19 12:20:07,U377050GR,,0.249
U377050HR,NGC121,6.7197327,-71.5299216,3,1999-05-18 22:16:13,1999-05-18 22:16:33,20.000,WFPC2 ,PC1-FIX,F814W,8012.000,6604,2000-05-19 12:14:08,U377050HR,,0.249
U377050IR,NGC121,6.7197327,-71.5299216,3,1999-05-18 22:18:13,1999-05-18 22:18:33,20.000,WFPC2 ,PC1-FIX,F814W,8012.000,6604,2000-05-19 12:17:23,U377050IR,,0.249
U26M0101T,NGC121,6.6787920,-71.5325401,21,1994-01-26 23:28:17,1994-01-26 23:38:17,600.000,WFPC2 ,PC1,F450W,4556.000,5475,1995-05-26 00:00:00,U26M0101T,,0.640
U26M0102T,NGC121,6.6787920,-71.5325401,21,1994-01-26 23:42:17,1994-01-26 23:47:17,300.000,WFPC2 ,PC1,F555W,5439.000,5475,1995-05-26 00:00:00,U26M0102T,,0.640
U3770501R,NGC121,6.7197327,-71.5299216,3,1999-05-18 17:25:13,1999-05-18 17:31:53,400.000,WFPC2 ,PC1-FIX,F555W,5439.000,6604,2000-05-19 00:13:07,U3770501R,,1.802e-9
U3770502R,NGC121,6.7197327,-71.5299216,3,1999-05-18 17:34:13,1999-05-18 17:40:53,400.000,WFPC2 ,PC1-FIX,F555W,5439.000,6604,2000-05-19 00:08:18,U3770502R,,1.802e-9
U3770503R,NGC121,6.7197327,-71.5299216,3,1999-05-18 18:48:13,1999-05-18 18:54:53,400.000,WFPC2 ,PC1-FIX,F555W,5439.000,6604,2000-05-19 00:10:31,U3770503R,,1.802e-9
U3770504R,NGC121,6.7197327,-71.5299216,3,1999-05-18 18:57:13,1999-05-18 19:03:53,400.000,WFPC2 ,PC1-FIX,F555W,5439.000,6604,2000-05-19 00:13:02,U3770504R,,1.802e-9
U3770505R,NGC121,6.7197327,-71.5299216,3,1999-05-18 19:41:13,1999-05-18 19:41:53,40.000,WFPC2 ,PC1-FIX,F555W,5439.000,6604,2000-05-19 00:13:48,U3770505R,,1.802e-9
U3770506R,NGC121,6.7197327,-71.5299216,3,1999-05-18 19:43:13,1999-05-18 19:43:53,40.000,WFPC2 ,PC1-FIX,F555W,5439.000,6604,2000-05-19 00:17:03,U3770506R,,1.802e-9
U3770507R,NGC121,6.7197327,-71.5299216,3,1999-05-18 19:45:13,1999-05-18 19:45:53,40.000,WFPC2 ,PC1-FIX,F555W,5439.000,6604,2000-05-19 00:21:09,U3770507R,,1.802e-9
U3770508R,NGC121,6.7197327,-71.5299216,3,1999-05-18 19:47:13,1999-05-18 19:47:53,40.000,WFPC2 ,PC1-FIX,F555W,5439.000,6604,2000-05-19 00:20:10,U3770508R,,1.802e-9
U3770509R,NGC121,6.7197327,-71.5299216,3,1999-05-18 19:49:13,1999-05-18 19:49:53,40.000,WFPC2 ,PC1-FIX,F555W,5439.000,6604,2000-05-19 00:21:05,U3770509R,,1.802e-9
U377050AR,NGC121,6.7197327,-71.5299216,3,1999-05-18 19:54:13,1999-05-18 19:54:53,40.000,WFPC2 ,PC1-FIX,F555W,5439.000,6604,2000-05-19 00:17:12,U377050AR,,1.802e-9
U377050BM,NGC121,6.7197327,-71.5299216,3,1999-05-18 20:30:13,1999-05-18 20:38:33,500.000,WFPC2 ,PC1-FIX,F814W,8012.000,6604,2000-05-19 01:17:09,U377050BM,,1.802e-9
U377050CR,NGC121,6.7197327,-71.5299216,3,1999-05-18 20:41:13,1999-05-18 20:49:33,500.000,WFPC2 ,PC1-FIX,F814W,8012.000,6604,2000-05-19 01:06:37,U377050CR,,1.802e-9
U377050DM,NGC121,6.7197327,-71.5299216,3,1999-05-18 21:17:13,1999-05-18 21:25:33,500.000,WFPC2 ,PC1-FIX,F814W,8012.000,6604,2000-05-19 12:18:28,U377050DM,,1.802e-9
U377050ER,NGC121,6.7197327,-71.5299216,3,1999-05-18 21:28:13,1999-05-18 21:36:33,500.000,WFPC2 ,PC1-FIX,F814W,8012.000,6604,2000-05-19 12:15:31,U377050ER,,1.802e-9
U377050FR,NGC121,6.7197327,-71.5299216,3,1999-05-18 22:12:13,1999-05-18 22:12:33,20.000,WFPC2 ,PC1-FIX,F814W,8012.000,6604,2000-05-19 12:16:48,U377050FR,,1.802e-9
U377050GR,NGC121,6.7197327,-71.5299216,3,1999-05-18 22:14:13,1999-05-18 22:14:33,20.000,WFPC2 ,PC1-FIX,F814W,8012.000,6604,2000-05-19 12:20:07,U377050GR,,1.802e-9
U377050HR,NGC121,6.7197327,-71.5299216,3,1999-05-18 22:16:13,1999-05-18 22:16:33,20.000,WFPC2 ,PC1-FIX,F814W,8012.000,6604,2000-05-19 12:14:08,U377050HR,,1.802e-9
U377050IR,NGC121,6.7197327,-71.5299216,3,1999-05-18 22:18:13,1999-05-18 22:18:33,20.000,WFPC2 ,PC1-FIX,F814W,8012.000,6604,2000-05-19 12:17:23,U377050IR,,1.802e-9
U9YV0J03M,NGC121,6.7123809,-71.5333619,2,2007-11-19 04:44:16,2007-11-19 04:44:46,30.000,WFPC2 ,WFALL-FIX,F555W,5439.000,11218,2008-11-19 20:43:14,U9YV0J03M,,0.249
U9YV0J01M,NGC121,6.7119494,-71.5335037,2,2007-11-19 04:32:16,2007-11-19 04:32:46,30.000,WFPC2 ,WFALL-FIX,F555W,5439.000,11218,2008-11-19 20:41:43,U9YV0J01M,,0.261
ICB002WBQ,NGC-121,6.7052789,-71.5356888,2,2014-05-16 20:14:04,2014-05-16 20:15:44,100.000,WFC3  ,UVIS1,F814W,8024.105,13435,2015-05-16 21:26:41,ICB002WBQ,,0.442
ICB001040,NGC-121,6.7047539,-71.5355935,2,2014-10-16 20:24:55,2014-10-16 21:25:32,2122.000,WFC3  ,UVIS2,F336W,3354.874,13435,2015-10-17 02:13:33,ICB001040,,0.444
ICB002040,NGC-121,6.7040560,-71.5357238,2,2014-05-16 19:35:27,2014-05-16 20:36:07,2122.000,WFC3  ,UVIS1,F336W,3354.874,13435,2015-05-17 02:01:20,ICB002040,,0.458
ICB001GEQ,NGC-121,6.7041667,-71.5361111,2,2014-10-16 21:03:29,2014-10-16 21:05:09,100.000,WFC3  ,UVIS2,F814W,8024.105,13435,2015-10-17 02:09:33,ICB001GEQ,,0.475
U26M0101T,NGC121,6.6787920,-71.5325401,21,1994-01-26 23:28:17,1994-01-26 23:38:17,600.000,WFPC2 ,PC1,F450W,4556.000,5475,1995-05-26 00:00:00,U26M0101T,,0.794
U26M0102T,NGC121,6.6787920,-71.5325401,21,1994-01-26 23:42:17,1994-01-26 23:47:17,300.000,WFPC2 ,PC1,F555W,5439.000,5475,1995-05-26 00:00:00,U26M0102T,,0.794
U3770501R,NGC121,6.7197327,-71.5299216,3,1999-05-18 17:25:13,1999-05-18 17:31:53,400.000,WFPC2 ,PC1-FIX,F555W,5439.000,6604,2000-05-19 00:13:07,U3770501R,,0.372
U3770502R,NGC121,6.7197327,-71.5299216,3,1999-05-18 17:34:13,1999-05-18 17:40:53,400.000,WFPC2 ,PC1-FIX,F555W,5439.000,6604,2000-05-19 00:08:18,U3770502R,,0.372
U3770503R,NGC121,6.7197327,-71.5299216,3,1999-05-18 18:48:13,1999-05-18 18:54:53,400.000,WFPC2 ,PC1-FIX,F555W,5439.000,6604,2000-05-19 00:10:31,U3770503R,,0.372
U3770504R,NGC121,6.7197327,-71.5299216,3,1999-05-18 18:57:13,1999-05-18 19:03:53,400.000,WFPC2 ,PC1-FIX,F555W,5439.000,6604,2000-05-19 00:13:02,U3770504R,,0.372
U3770505R,NGC121,6.7197327,-71.5299216,3,1999-05-18 19:41:13,1999-05-18 19:41:53,40.000,WFPC2 ,PC1-FIX,F555W,5439.000,6604,2000-05-19 00:13:48,U3770505R,,0.372
U3770506R,NGC121,6.7197327,-71.5299216,3,1999-05-18 19:43:13,1999-05-18 19:43:53,40.000,WFPC2 ,PC1-FIX,F555W,5439.000,6604,2000-05-19 00:17:03,U3770506R,,0.372
U3770507R,NGC121,6.7197327,-71.5299216,3,1999-05-18 19:45:13,1999-05-18 19:45:53,40.000,WFPC2 ,PC1-FIX,F555W,5439.000,6604,2000-05-19 00:21:09,U3770507R,,0.372
U3770508R,NGC121,6.7197327,-71.5299216,3,1999-05-18 19:47:13,1999-05-18 19:47:53,40.000,WFPC2 ,PC1-FIX,F555W,5439.000,6604,2000-05-19 00:20:10,U3770508R,,0.372
