#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Product Type, Mission, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Proposal ID, Principal Investigator, Calibration Level, Start Time, End Time, Exposure Length, Min. Wavelength, Max. Wavelength, Observation Title, Release Date, s_region, jpegURL, Product Group ID, Object ID, Distance (")
#@string, string, string, string, string, string, string, string, string, ra, dec, string, string, int, float, float, float, float, float, string, float, string, string, string, string, float
dataproduct_type,obs_collection,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,proposal_id,proposal_pi,calib_level,t_min,t_max,t_exptime,em_min,em_max,obs_title,t_obs_release,s_region,jpegURL,obsid,objID,distance
image,HST,WFPC2/WFC,HST,F555W,OPTICAL,LMC-BAR-1,BAR;EXT-STAR;G V-IV;GALAXY;MAGELLANIC IRREGULAR,U4B11107R,80.71792103035,-69.75067988212,7382,Smecker-Hane,3,50779.29807,50779.30385,500,472.260009765625,595.099975585938,The Star-Formation History of the Large Magellanic Cloud,51144.47684,POLYGON GSC1  80.71468366 -69.74758394  80.76966934 -69.75887602  80.73706303 -69.77788915  80.68203751 -69.76658758  80.71468366 -69.74758394,http://archive.stsci.edu/hst/previews/U4B1/U4B11107R_256.jpg,2003642861,2012806347,155.004822355589
image,HST,WFPC2/WFC,HST,F555W,OPTICAL,LMC-BAR-1,BAR;EXT-STAR;G V-IV;GALAXY;MAGELLANIC IRREGULAR,U4B11108R,80.71792103035,-69.75067988212,7382,Smecker-Hane,3,50779.3064,50779.31219,500,472.260009765625,595.099975585938,The Star-Formation History of the Large Magellanic Cloud,51144.47741,POLYGON GSC1  80.71468366 -69.74758394  80.76966934 -69.75887602  80.73706303 -69.77788915  80.68203751 -69.76658758  80.71468366 -69.74758394,http://archive.stsci.edu/hst/previews/U4B1/U4B11108R_256.jpg,2003642862,2012806348,155.004822355589
image,HST,WFPC2/WFC,HST,F814W,OPTICAL,LMC-BAR-1,BAR;EXT-STAR;G V-IV;GALAXY;MAGELLANIC IRREGULAR,U4B11101R,80.71779909781,-69.75111835901,7382,Smecker-Hane,3,50779.21821,50779.21822,0.5,713.510009765625,867.450012207031,The Star-Formation History of the Large Magellanic Cloud,51144.46822,POLYGON GSC1  80.71456168 -69.74802242  80.76954844 -69.75931453  80.73694135 -69.77832764  80.68191474 -69.76702603  80.71456168 -69.74802242,http://archive.stsci.edu/hst/previews/U4B1/U4B11101R_256.jpg,2003642855,2012806341,155.262079425532
image,HST,WFPC2/WFC,HST,F814W,OPTICAL,LMC-BAR-1,BAR;EXT-STAR;G V-IV;GALAXY;MAGELLANIC IRREGULAR,U4B11102R,80.71779909781,-69.75111835901,7382,Smecker-Hane,3,50779.22793,50779.22794,0.5,713.510009765625,867.450012207031,The Star-Formation History of the Large Magellanic Cloud,51144.47064,POLYGON GSC1  80.71456168 -69.74802242  80.76954844 -69.75931453  80.73694135 -69.77832764  80.68191474 -69.76702603  80.71456168 -69.74802242,http://archive.stsci.edu/hst/previews/U4B1/U4B11102R_256.jpg,2003642856,2012806342,155.262079425532
image,HST,WFPC2/PC,HLA,F814W,OPTICAL,LMC-BAR-3,,hst_07382_15_wfpc2_f814w_pc,80.7434085875317,-69.7408274557988,7382,Smecker-Hane,3,51183.54322,51183.57377,2000,713.510009765625,867.450012207031,,51548.96433,POLYGON J2000 80.75638500 -69.74277200 80.75622094 -69.74263006 80.74553100 -69.73337700 80.74511199 -69.73343513 80.74494900 -69.73329400 80.71782600 -69.73705300 80.72868300 -69.74644500 80.72910192 -69.74638701 80.72926500 -69.74652800 80.75638500 -69.74277200,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_07382_15_wfpc2_f814w_pc&size=ALL&format=jpeg&output_size=256,2004422981,2014803074,177.923108843047
image,HST,WFPC2/PC,HLA,F555W,OPTICAL,LMC-BAR-3,,hst_07382_15_wfpc2_f555w_pc,80.7376784023334,-69.7395465566584,7382,Smecker-Hane,3,51183.60711,51183.63789,2000,472.260009765625,595.099975585938,,51548.9647,POLYGON J2000 80.75666700 -69.74236500 80.74581300 -69.73297100 80.71869000 -69.73673000 80.72954700 -69.74612200 80.75666700 -69.74236500,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_07382_15_wfpc2_f555w_pc&size=ALL&format=jpeg&output_size=256,2004422979,2014803072,177.988760490722
image,HST,WFPC2/PC,HLA,F814W,OPTICAL,LMC-BAR-1,,hst_07382_12_wfpc2_f814w_pc,80.7263759479628,-69.774523305653,7382,Smecker-Hane,3,50779.35293,50779.38348,2000,713.510009765625,867.450012207031,,51144.49146,POLYGON J2000 80.72765100 -69.76702000 80.71262800 -69.77569900 80.71300696 -69.77577743 80.73774300 -69.78089400 80.73797527 -69.78075993 80.73835300 -69.78083800 80.75337800 -69.77216100 80.72826000 -69.76696400 80.72802809 -69.76709807 80.72765100 -69.76702000,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_07382_12_wfpc2_f814w_pc&size=ALL&format=jpeg&output_size=256,2004422963,2014803056,184.200617319448
image,HST,WFPC2/PC,HLA,F555W,OPTICAL,LMC-BAR-1,,hst_07382_12_wfpc2_f555w_pc,80.7328200433579,-69.7735196085752,7382,Smecker-Hane,3,50779.41612,50779.44691,2000,472.260009765625,595.099975585938,,51144.5366,POLYGON J2000 80.71275000 -69.77526100 80.73786500 -69.78045500 80.75288900 -69.77177900 80.72777300 -69.76658200 80.71275000 -69.77526100,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_07382_12_wfpc2_f555w_pc&size=ALL&format=jpeg&output_size=256,2004422961,2014803054,184.355582753594
image,HST,WFPC2/WFC,HLA,F555W,OPTICAL,LMC-BAR-2,,hst_07382_13_wfpc2_f555w_wf,81.0003855203285,-69.825515641749,7382,Smecker-Hane,3,50779.55015,50779.58094,2000,472.260009765625,595.099975585938,,51144.64341,POLYGON J2000 80.96567878 -69.81605106 80.93781800 -69.81021200 80.90453400 -69.82912100 80.95940500 -69.84061100 80.95953173 -69.84053910 81.00965300 -69.85080400 81.03856793 -69.83401238 81.03905100 -69.83411000 81.04246482 -69.83210445 81.07148600 -69.81503700 81.01614600 -69.80383900 80.99963112 -69.81355142 80.97783600 -69.80904600 80.96567878 -69.81605106,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_07382_13_wfpc2_f555w_wf&size=ALL&format=jpeg&output_size=256,2004422968,2014803061,202.229683352384
image,HST,WFPC2/WFC,HLA,F814W,OPTICAL,LMC-BAR-2,,hst_07382_13_wfpc2_f814w_wf,80.9859532320767,-69.8275548366589,7382,Smecker-Hane,3,50779.48696,50779.51751,2000,713.510009765625,867.450012207031,,51144.64356,POLYGON J2000 80.96578914 -69.81635486 80.93830600 -69.81059500 80.93806945 -69.81072953 80.93769500 -69.81065100 80.90441000 -69.82956000 80.90478410 -69.82963844 80.95928200 -69.84105000 80.95940875 -69.84097808 80.98027195 -69.84525376 81.00953100 -69.85124300 81.00976188 -69.85110904 81.01014300 -69.85118700 81.03882769 -69.83452833 81.03893000 -69.83454900 81.03915732 -69.83441546 81.03954100 -69.83449300 81.04295467 -69.83248744 81.07197600 -69.81541900 81.01663400 -69.80422200 81.01640823 -69.80435485 81.01602400 -69.80427700 80.99973893 -69.81385484 80.97832400 -69.80942900 80.97809117 -69.80956320 80.97771300 -69.80948500 80.96578914 -69.81635486,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_07382_13_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004422970,2014803063,203.710481461192
