dataproduct_type,obs_collection,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,proposal_id,proposal_pi,calib_level,t_min,t_max,t_exptime,em_min,em_max,obs_title,t_obs_release,s_region,jpegURL,obsid,objID,distance,group,litidx
image,HST,WFPC2/WFC,HLA,F555W,OPTICAL,HS-275,,hst_06229_01_wfpc2_f555w_wf,81.0869500877958,-69.78325503898171,6229,Trauger,3,50109.13144,50109.20528,3700.0,472.260009765625,595.0999755859381,,50475.59486000001,POLYGON J2000 81.07689558 -69.76938695 81.07692400 -69.75814300 81.01292000 -69.75812600 81.01286900 -69.78026600 81.01311652 -69.78026612 81.01363900 -69.80037100 81.07014399 -69.80019637 81.07015200 -69.80039000 81.13412500 -69.80007200 81.13412106 -69.79997686 81.13330579 -69.78028440 81.13326901 -69.77939521 81.13320900 -69.77794400 81.10063534 -69.77810729 81.10050800 -69.76934300 81.07689558 -69.76938695,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_06229_01_wfpc2_f555w_wf&size=ALL&format=jpeg&output_size=256,2004399684,2014779777,148.475235581063,0.0,147.0
image,HST,WFPC2/WFC,HLA,F814W,OPTICAL,HS-275,,hst_06229_01_wfpc2_f814w_wf,81.0869500877958,-69.78325503898171,6229,Trauger,3,50109.20782,50109.29023,3900.0,713.510009765625,867.4500122070309,,50475.61119,POLYGON J2000 81.07689558 -69.76938695 81.07692400 -69.75814300 81.01292000 -69.75812600 81.01286900 -69.78026600 81.01311652 -69.78026612 81.01363900 -69.80037100 81.07014399 -69.80019637 81.07015200 -69.80039000 81.13412500 -69.80007200 81.13412106 -69.79997686 81.13330579 -69.78028440 81.13326901 -69.77939521 81.13320900 -69.77794400 81.10063534 -69.77810729 81.10050800 -69.76934300 81.07689558 -69.76938695,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_06229_01_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004399686,2014779779,148.475235581063,0.0,147.0
image,HST,WFPC2/PC,HLA,F555W,OPTICAL,HS-275,,hst_06229_01_wfpc2_f555w_pc,81.0859565060599,-69.774428599725,6229,Trauger,3,50109.13144,50109.20528,3700.0,472.260009765625,595.0999755859381,,50475.59486000001,POLYGON J2000 81.07139800 -69.77951300 81.10065500 -69.77946000 81.10050800 -69.76934300 81.07124600 -69.76939700 81.07139800 -69.77951300,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_06229_01_wfpc2_f555w_pc&size=ALL&format=jpeg&output_size=256,2004399683,2014779776,225.997646243566,0.0,147.0
image,HST,WFPC2/PC,HLA,F814W,OPTICAL,HS-275,,hst_06229_01_wfpc2_f814w_pc,81.0859565060599,-69.774428599725,6229,Trauger,3,50109.20782,50109.29023,3900.0,713.510009765625,867.4500122070309,,50475.61119,POLYGON J2000 81.07124600 -69.76939700 81.07139800 -69.77951300 81.10065500 -69.77946000 81.10050800 -69.76934300 81.07124600 -69.76939700,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_06229_01_wfpc2_f814w_pc&size=ALL&format=jpeg&output_size=256,2004399685,2014779778,225.997646243566,0.0,147.0
image,HST,WFPC2/WFC,HLA,F555W,OPTICAL,2003-LMC-219,,hst_10903_09_wfpc2_f555w_wf,79.93974813074159,-69.703895361262,10903,Rest,3,54239.06269,54239.07611,1000.0,472.260009765625,595.0999755859381,,54239.89709,POLYGON J2000 79.94830200 -69.72047300 79.95248912 -69.70930763 79.97749800 -69.71051700 79.98073606 -69.70243711 80.01280600 -69.70405200 80.02197600 -69.68216100 79.95882600 -69.67897700 79.95879021 -69.67906247 79.90136600 -69.67636400 79.89381555 -69.69571819 79.89325900 -69.69569300 79.88505100 -69.71762100 79.88525050 -69.71763003 79.94154388 -69.72016939 79.94413072 -69.72028564 79.94830200 -69.72047300,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_10903_09_wfpc2_f555w_wf&size=ALL&format=jpeg&output_size=256,2004529709,2014909802,1114.71472441105,1.0,137.0
image,HST,WFPC2/WFC,HLA,F814W,OPTICAL,2003-LMC-219,,hst_10903_09_wfpc2_f814w_wf,79.93974813074159,-69.703895361262,10903,Rest,3,54239.1231,54239.13653,1000.0,713.510009765625,867.4500122070309,,54239.89885,POLYGON J2000 79.89381555 -69.69571819 79.89325900 -69.69569300 79.88505100 -69.71762100 79.88525050 -69.71763003 79.94154388 -69.72016939 79.94413072 -69.72028564 79.94830200 -69.72047300 79.95248912 -69.70930763 79.97749800 -69.71051700 79.98073606 -69.70243711 80.01280600 -69.70405200 80.02197600 -69.68216100 79.95882600 -69.67897700 79.95879021 -69.67906247 79.90136600 -69.67636400 79.89381555 -69.69571819,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_10903_09_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004529711,2014909804,1114.71472441105,1.0,137.0
image,HST,WFPC2/PC,HLA,F555W,OPTICAL,2003-LMC-219,,hst_10903_09_wfpc2_f555w_pc,79.9650631522928,-69.7048114387422,10903,Rest,3,54239.06269,54239.07611,1000.0,472.260009765625,595.0999755859381,,54239.89709,POLYGON J2000 79.95263500 -69.69910500 79.94861600 -69.70912000 79.97749800 -69.71051700 79.98151200 -69.70050000 79.95263500 -69.69910500,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_10903_09_wfpc2_f555w_pc&size=ALL&format=jpeg&output_size=256,2004529708,2014909801,1154.4341072759696,1.0,137.0
image,HST,WFPC2/PC,HLA,F814W,OPTICAL,2003-LMC-219,,hst_10903_09_wfpc2_f814w_pc,79.9650631522928,-69.7048114387422,10903,Rest,3,54239.1231,54239.13653,1000.0,713.510009765625,867.4500122070309,,54239.89885,POLYGON J2000 79.98151200 -69.70050000 79.95263500 -69.69910500 79.94861600 -69.70912000 79.97749800 -69.71051700 79.98151200 -69.70050000,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_10903_09_wfpc2_f814w_pc&size=ALL&format=jpeg&output_size=256,2004529710,2014909803,1154.4341072759696,1.0,137.0
image,HST,WFPC2/WFC,HLA,F555W,OPTICAL,2003-LMC-282,,hst_10903_10_wfpc2_f555w_wf,80.3657585860566,-69.4358923230853,10903,Rest,3,54230.12866,54230.14208,1000.0,472.260009765625,595.0999755859381,,54230.85206000001,POLYGON J2000 80.43719100 -69.43233300 80.43701600 -69.41021200 80.37400000 -69.41027400 80.37400066 -69.41036028 80.31678200 -69.41061100 80.31747899 -69.43013963 80.31692600 -69.43014300 80.31805600 -69.45225200 80.31826968 -69.45225069 80.37431834 -69.45189930 80.37688318 -69.45188279 80.38103200 -69.45185600 80.38046197 -69.44059961 80.40539800 -69.44052400 80.40518985 -69.43236581 80.43719100 -69.43233300,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_10903_10_wfpc2_f555w_wf&size=ALL&format=jpeg&output_size=256,2004529715,2014909808,1270.3616344452698,2.0,144.0
image,HST,WFPC2/WFC,HLA,F814W,OPTICAL,2003-LMC-282,,hst_10903_10_wfpc2_f814w_wf,80.3657585860566,-69.4358923230853,10903,Rest,3,54230.14602000001,54230.15944,1000.0,713.510009765625,867.4500122070309,,54230.85486,POLYGON J2000 80.31692600 -69.43014300 80.31805600 -69.45225200 80.31826968 -69.45225069 80.37431834 -69.45189930 80.37688318 -69.45188279 80.38103200 -69.45185600 80.38046197 -69.44059961 80.40539800 -69.44052400 80.40518985 -69.43236581 80.43719100 -69.43233300 80.43701600 -69.41021200 80.37400000 -69.41027400 80.37400066 -69.41036028 80.31678200 -69.41061100 80.31747899 -69.43013963 80.31692600 -69.43014300,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_10903_10_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004529717,2014909810,1270.3616344452698,2.0,144.0
image,HST,WFPC2/PC,HLA,F555W,OPTICAL,2003-LMC-282,,hst_10903_10_wfpc2_f555w_pc,80.39087061318071,-69.43551210541739,10903,Rest,3,54230.12866,54230.14208,1000.0,472.260009765625,595.0999755859381,,54230.85206000001,POLYGON J2000 80.40514000 -69.43041100 80.37635000 -69.43049900 80.37660200 -69.44061100 80.40539800 -69.44052400 80.40514000 -69.43041100,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_10903_10_wfpc2_f555w_pc&size=ALL&format=jpeg&output_size=256,2004529714,2014909807,1290.9892119652302,2.0,144.0
image,HST,WFPC2/PC,HLA,F814W,OPTICAL,2003-LMC-282,,hst_10903_10_wfpc2_f814w_pc,80.39087061318071,-69.43551210541739,10903,Rest,3,54230.14602000001,54230.15944,1000.0,713.510009765625,867.4500122070309,,54230.85486,POLYGON J2000 80.37635000 -69.43049900 80.37660200 -69.44061100 80.40539800 -69.44052400 80.40514000 -69.43041100 80.37635000 -69.43049900,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_10903_10_wfpc2_f814w_pc&size=ALL&format=jpeg&output_size=256,2004529716,2014909809,1290.9892119652302,2.0,144.0
image,HST,WFPC2/WFC,HLA,F606W,OPTICAL,LIST-1,,hst_08059_gt_wfpc2_f606w_wf,79.8781410483478,-69.9599128319789,8059,Casertano,3,52254.99392,52254.99763,240.0,510.890014648438,661.1300048828131,,52255.6556,POLYGON J2000 79.85049078 -69.94795072 79.82711700 -69.94006100 79.78184200 -69.95582600 79.82788500 -69.97135700 79.82805795 -69.97129685 79.87027100 -69.98525800 79.90984749 -69.97120678 79.91025500 -69.97134000 79.91494176 -69.96965919 79.95480800 -69.95534600 79.90810900 -69.94006300 79.88542483 -69.94820781 79.86709500 -69.94209600 79.85049078 -69.94795072,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_gt_wfpc2_f606w_wf&size=ALL&format=jpeg&output_size=256,2004437822,2014817915,1367.37048135429,3.0,136.0
image,HST,WFPC2/WFC,HLA,F814W,OPTICAL,LIST-1,,hst_08059_gt_wfpc2_f814w_wf,79.8781410483478,-69.9599128319789,8059,Casertano,3,52255.00781,52255.01337,400.0,713.510009765625,867.4500122070309,,52255.65688,POLYGON J2000 79.95480800 -69.95534600 79.90810900 -69.94006300 79.88542483 -69.94820781 79.86709500 -69.94209600 79.85049078 -69.94795072 79.82711700 -69.94006100 79.78184200 -69.95582600 79.82788500 -69.97135700 79.82805795 -69.97129685 79.87027100 -69.98525800 79.90984749 -69.97120678 79.91025500 -69.97134000 79.91494176 -69.96965919 79.95480800 -69.95534600,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_gt_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004437824,2014817917,1367.37048135429,3.0,136.0
image,HST,WFPC2/PC,HLA,F606W,OPTICAL,LIST-1,,hst_08059_gt_wfpc2_f606w_pc,79.8673905450231,-69.9492494032055,8059,Casertano,3,52254.99392,52254.99763,240.0,510.890014648438,661.1300048828131,,52255.6556,POLYGON J2000 79.84652600 -69.94934800 79.86768600 -69.95640000 79.88825500 -69.94915100 79.86709500 -69.94209600 79.84652600 -69.94934800,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_gt_wfpc2_f606w_pc&size=ALL&format=jpeg&output_size=256,2004437821,2014817914,1427.44161101787,3.0,136.0
image,HST,WFPC2/PC,HLA,F814W,OPTICAL,LIST-1,,hst_08059_gt_wfpc2_f814w_pc,79.8673905450231,-69.9492494032055,8059,Casertano,3,52255.00781,52255.01337,400.0,713.510009765625,867.4500122070309,,52255.65688,POLYGON J2000 79.86768600 -69.95640000 79.88825500 -69.94915100 79.86709500 -69.94209600 79.84652600 -69.94934800 79.86768600 -69.95640000,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_gt_wfpc2_f814w_pc&size=ALL&format=jpeg&output_size=256,2004437823,2014817916,1427.44161101787,3.0,136.0
image,HST,WFPC2/WFC,HLA,F606W,OPTICAL,ANY,,hst_08883_fk_wfpc2_f606w_wf,79.6079889267366,-69.762008932459,8883,Casertano,3,51899.46265,51899.46844,500.0,510.890014648438,661.1300048828131,,51899.93053,POLYGON J2000 79.58745600 -69.78648700 79.63318088 -69.77503419 79.63351100 -69.77519000 79.63892911 -69.77381863 79.68507400 -69.76212500 79.64728400 -69.74427000 79.62103111 -69.75092354 79.60625500 -69.74380400 79.58709383 -69.74856856 79.56830000 -69.73939500 79.51614900 -69.75219300 79.55317300 -69.77025200 79.55337167 -69.77020331 79.58745600 -69.78648700,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08883_fk_wfpc2_f606w_wf&size=ALL&format=jpeg&output_size=256,2004463850,2014843943,1505.65291461005,4.0,132.0
image,HST,WFPC2/WFC,HLA,F606W,OPTICAL,LIST-1,,hst_08059_ew_wfpc2_f606w_wf,79.61599142070679,-69.7567700345801,8059,Casertano,3,51900.40362,51900.40941,240.0,510.890014648438,661.1300048828131,,51900.7551,POLYGON J2000 79.64786528 -69.74453930 79.64544700 -69.74335300 79.61886481 -69.74984864 79.60444900 -69.74264200 79.58505339 -69.74729102 79.56672200 -69.73800700 79.51394200 -69.75049100 79.55005600 -69.76876800 79.55025699 -69.76872053 79.58352100 -69.78520600 79.62980768 -69.77402820 79.63013000 -69.77418600 79.68233600 -69.76143100 79.68217619 -69.76135276 79.64934231 -69.74526378 79.64786528 -69.74453930,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_ew_wfpc2_f606w_wf&size=ALL&format=jpeg&output_size=256,2004437190,2014817283,1509.05365212389,4.0,132.0
image,HST,WFPC2/WFC,HLA,F814W,OPTICAL,LIST-1,,hst_08059_ew_wfpc2_f814w_wf,79.61599142070679,-69.7567700345801,8059,Casertano,3,51900.41959,51900.42515,400.0,713.510009765625,867.4500122070309,,51900.74565,POLYGON J2000 79.56672200 -69.73800700 79.51394200 -69.75049100 79.55005600 -69.76876800 79.55025699 -69.76872053 79.58352100 -69.78520600 79.62980768 -69.77402820 79.63013000 -69.77418600 79.68233600 -69.76143100 79.68217619 -69.76135276 79.64934231 -69.74526378 79.64786528 -69.74453930 79.64544700 -69.74335300 79.61886481 -69.74984864 79.60444900 -69.74264200 79.58505339 -69.74729102 79.56672200 -69.73800700,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_ew_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004437192,2014817285,1509.05365212389,4.0,132.0
image,HST,WFPC2/WFC,HLA,F606W,OPTICAL,LIST-1,,hst_08059_ex_wfpc2_f606w_wf,79.6085466730918,-69.75328862704251,8059,Casertano,3,51903.41473,51903.42052,240.0,510.890014648438,661.1300048828131,,51904.01962,POLYGON J2000 79.61248924 -69.74643045 79.59921400 -69.73896600 79.57912982 -69.74324855 79.56226800 -69.73363700 79.50763700 -69.74512300 79.54085700 -69.76404500 79.54106528 -69.76400128 79.57171800 -69.78108100 79.61966414 -69.77077869 79.61996100 -69.77094200 79.67406100 -69.75917500 79.67391385 -69.75909406 79.64362768 -69.74241825 79.64226709 -69.74166836 79.64003500 -69.74043800 79.61248924 -69.74643045,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_ex_wfpc2_f606w_wf&size=ALL&format=jpeg&output_size=256,2004437200,2014817293,1519.3596801790802,4.0,132.0
image,HST,WFPC2/WFC,HLA,F814W,OPTICAL,LIST-1,,hst_08059_ex_wfpc2_f814w_wf,79.6085466730918,-69.75328862704251,8059,Casertano,3,51903.43071,51903.43626,400.0,713.510009765625,867.4500122070309,,51904.02626000001,POLYGON J2000 79.57171800 -69.78108100 79.61966414 -69.77077869 79.61996100 -69.77094200 79.67406100 -69.75917500 79.67391385 -69.75909406 79.64362768 -69.74241825 79.64226709 -69.74166836 79.64003500 -69.74043800 79.61248924 -69.74643045 79.59921400 -69.73896600 79.57912982 -69.74324855 79.56226800 -69.73363700 79.50763700 -69.74512300 79.54085700 -69.76404500 79.54106528 -69.76400128 79.57171800 -69.78108100,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_ex_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004437204,2014817297,1519.3596801790802,4.0,132.0
image,HST,WFPC2/WFC,HLA,F606W,OPTICAL,LIST-1,,hst_08059_ey_wfpc2_f606w_wf,79.6023159150392,-69.75003981361459,8059,Casertano,3,51906.15154,51906.16219,240.0,510.890014648438,661.1300048828131,,51906.67535,POLYGON J2000 79.63761223 -69.73899590 79.63555700 -69.73773100 79.60721157 -69.74325603 79.59499600 -69.73557900 79.57434061 -69.73952005 79.55884200 -69.72963800 79.50268100 -69.74019700 79.53321600 -69.75965200 79.53343025 -69.75961178 79.56165700 -69.77718400 79.61097682 -69.76769559 79.61125100 -69.76786400 79.66692100 -69.75701500 79.66678564 -69.75693186 79.63886890 -69.73976923 79.63761223 -69.73899590,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_ey_wfpc2_f606w_wf&size=ALL&format=jpeg&output_size=256,2004437212,2014817305,1528.29449997798,4.0,132.0
image,HST,WFPC2/WFC,HLA,F814W,OPTICAL,LIST-1,,hst_08059_ey_wfpc2_f814w_wf,79.6023159150392,-69.75003981361459,8059,Casertano,3,51906.17237,51906.17793,400.0,713.510009765625,867.4500122070309,,51906.69032,POLYGON J2000 79.56165700 -69.77718400 79.61097682 -69.76769559 79.61125100 -69.76786400 79.66692100 -69.75701500 79.66678564 -69.75693186 79.63886890 -69.73976923 79.63761223 -69.73899590 79.63555700 -69.73773100 79.60721157 -69.74325603 79.59499600 -69.73557900 79.57434061 -69.73952005 79.55884200 -69.72963800 79.50268100 -69.74019700 79.53321600 -69.75965200 79.53343025 -69.75961178 79.56165700 -69.77718400,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_ey_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004437214,2014817307,1528.29449997798,4.0,132.0
image,HST,WFPC2/WFC,HLA,F606W,OPTICAL,ANY,,hst_08805_sf_wfpc2_f606w_wf,79.5940602614222,-69.74512367333661,8805,Casertano,3,51910.09598,51910.12284,2000.0,510.890014648438,661.1300048828131,,51910.58613,POLYGON J2000 79.58970200 -69.73052000 79.56830263 -69.73394831 79.55485600 -69.72371300 79.49670000 -69.73287700 79.52319400 -69.75302800 79.52341646 -69.75299301 79.54799100 -69.77121000 79.59910550 -69.76294706 79.59934500 -69.76312200 79.65707000 -69.75365700 79.65695130 -69.75357031 79.63260273 -69.73577005 79.63150648 -69.73496784 79.62971400 -69.73365600 79.60032313 -69.73847618 79.58970200 -69.73052000,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08805_sf_wfpc2_f606w_wf&size=ALL&format=jpeg&output_size=256,2004462214,2014842307,1540.70942804425,4.0,132.0
image,HST,WFPC2/WFC,HLA,F606W,OPTICAL,ANY,,hst_08805_sj_wfpc2_f606w_wf,79.5939294434724,-69.7450389818762,8805,Casertano,3,51910.16334,51910.18325,1400.0,510.890014648438,661.1300048828131,,51910.5899,POLYGON J2000 79.54777100 -69.77110600 79.59891422 -69.76286405 79.59915300 -69.76303900 79.65690900 -69.75359800 79.65679074 -69.75351135 79.63250412 -69.73570105 79.63141136 -69.73489890 79.62962300 -69.73358600 79.60021489 -69.73839412 79.58962200 -69.73043400 79.56821075 -69.73385340 79.55479900 -69.72361200 79.49661200 -69.73275200 79.52303600 -69.75291400 79.52325814 -69.75287917 79.54777100 -69.77110600,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08805_sj_wfpc2_f606w_wf&size=ALL&format=jpeg&output_size=256,2004462222,2014842315,1540.9133701171802,4.0,132.0
