#@string, string, string, string, string, string, string, string, string, ra, dec, string, string, int, float, float, float, float, float, string, float, string, string, string, string, float,float,float,string,float,float,string
dataproduct_type,obs_collection,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,proposal_id,proposal_pi,calib_level,t_min,t_max,t_exptime,em_min,em_max,obs_title,t_obs_release,s_region,jpegURL,obsid,objID,distance,group,litidx,SimbadName,group1,litidx1,Dataset
image,HST,WFPC2/PC,HLA,F814W,OPTICAL,2003-LMC-282,,hst_10903_10_wfpc2_f814w_pc,80.39087061318071,-69.43551210541739,10903,Rest,3,54230.14602000001,54230.15944,1000.0,713.510009765625,867.4500122070309,,54230.85486,POLYGON J2000 80.37635000 -69.43049900 80.37660200 -69.44061100 80.40539800 -69.44052400 80.40514000 -69.43041100 80.37635000 -69.43049900,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_10903_10_wfpc2_f814w_pc&size=ALL&format=jpeg&output_size=256,2004529716,2014909809,1290.9892119652302,15.0,2092.0,BCD1,2.0,968.0,u9px1004m
image,HST,WFPC2/WFC,HLA,F606W,OPTICAL,LIST-1,,hst_08059_gt_wfpc2_f606w_wf,79.8781410483478,-69.9599128319789,8059,Casertano,3,52254.99392,52254.99763,240.0,510.890014648438,661.1300048828131,,52255.6556,POLYGON J2000 79.85049078 -69.94795072 79.82711700 -69.94006100 79.78184200 -69.95582600 79.82788500 -69.97135700 79.82805795 -69.97129685 79.87027100 -69.98525800 79.90984749 -69.97120678 79.91025500 -69.97134000 79.91494176 -69.96965919 79.95480800 -69.95534600 79.90810900 -69.94006300 79.88542483 -69.94820781 79.86709500 -69.94209600 79.85049078 -69.94795072,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_gt_wfpc2_f606w_wf&size=ALL&format=jpeg&output_size=256,2004437822,2014817915,1367.37048135429,16.0,1984.0,BSDL1258,3.0,660.0,u4wogt06m
image,HST,WFPC2/WFC,HLA,F814W,OPTICAL,LIST-1,,hst_08059_gt_wfpc2_f814w_wf,79.8781410483478,-69.9599128319789,8059,Casertano,3,52255.00781,52255.01337,400.0,713.510009765625,867.4500122070309,,52255.65688,POLYGON J2000 79.95480800 -69.95534600 79.90810900 -69.94006300 79.88542483 -69.94820781 79.86709500 -69.94209600 79.85049078 -69.94795072 79.82711700 -69.94006100 79.78184200 -69.95582600 79.82788500 -69.97135700 79.82805795 -69.97129685 79.87027100 -69.98525800 79.90984749 -69.97120678 79.91025500 -69.97134000 79.91494176 -69.96965919 79.95480800 -69.95534600,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_gt_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004437824,2014817917,1367.37048135429,16.0,1984.0,BSDL1258,3.0,660.0,u4wogt06m
image,HST,WFPC2/PC,HLA,F606W,OPTICAL,LIST-1,,hst_08059_gt_wfpc2_f606w_pc,79.8673905450231,-69.9492494032055,8059,Casertano,3,52254.99392,52254.99763,240.0,510.890014648438,661.1300048828131,,52255.6556,POLYGON J2000 79.84652600 -69.94934800 79.86768600 -69.95640000 79.88825500 -69.94915100 79.86709500 -69.94209600 79.84652600 -69.94934800,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_gt_wfpc2_f606w_pc&size=ALL&format=jpeg&output_size=256,2004437821,2014817914,1427.44161101787,16.0,1984.0,BSDL1258,3.0,660.0,u4wogt06m
image,HST,WFPC2/PC,HLA,F814W,OPTICAL,LIST-1,,hst_08059_gt_wfpc2_f814w_pc,79.8673905450231,-69.9492494032055,8059,Casertano,3,52255.00781,52255.01337,400.0,713.510009765625,867.4500122070309,,52255.65688,POLYGON J2000 79.86768600 -69.95640000 79.88825500 -69.94915100 79.86709500 -69.94209600 79.84652600 -69.94934800 79.86768600 -69.95640000,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_gt_wfpc2_f814w_pc&size=ALL&format=jpeg&output_size=256,2004437823,2014817916,1427.44161101787,16.0,1984.0,BSDL1258,3.0,660.0,u4wogt06m
image,HST,WFPC2/WFC,HLA,F606W,OPTICAL,ANY,,hst_08883_fk_wfpc2_f606w_wf,79.6079889267366,-69.762008932459,8883,Casertano,3,51899.46265,51899.46844,500.0,510.890014648438,661.1300048828131,,51899.93053,POLYGON J2000 79.58745600 -69.78648700 79.63318088 -69.77503419 79.63351100 -69.77519000 79.63892911 -69.77381863 79.68507400 -69.76212500 79.64728400 -69.74427000 79.62103111 -69.75092354 79.60625500 -69.74380400 79.58709383 -69.74856856 79.56830000 -69.73939500 79.51614900 -69.75219300 79.55317300 -69.77025200 79.55337167 -69.77020331 79.58745600 -69.78648700,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08883_fk_wfpc2_f606w_wf&size=ALL&format=jpeg&output_size=256,2004463850,2014843943,1505.65291461005,17.0,1928.0,BSDL1191,4.0,882.0,u6anfk01r
image,HST,WFPC2/WFC,HLA,F606W,OPTICAL,LIST-1,,hst_08059_ew_wfpc2_f606w_wf,79.61599142070679,-69.7567700345801,8059,Casertano,3,51900.40362,51900.40941,240.0,510.890014648438,661.1300048828131,,51900.7551,POLYGON J2000 79.64786528 -69.74453930 79.64544700 -69.74335300 79.61886481 -69.74984864 79.60444900 -69.74264200 79.58505339 -69.74729102 79.56672200 -69.73800700 79.51394200 -69.75049100 79.55005600 -69.76876800 79.55025699 -69.76872053 79.58352100 -69.78520600 79.62980768 -69.77402820 79.63013000 -69.77418600 79.68233600 -69.76143100 79.68217619 -69.76135276 79.64934231 -69.74526378 79.64786528 -69.74453930,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_ew_wfpc2_f606w_wf&size=ALL&format=jpeg&output_size=256,2004437190,2014817283,1509.05365212389,17.0,1928.0,BSDL1191,4.0,882.0,u6anfk01r
image,HST,WFPC2/WFC,HLA,F814W,OPTICAL,LIST-1,,hst_08059_ew_wfpc2_f814w_wf,79.61599142070679,-69.7567700345801,8059,Casertano,3,51900.41959,51900.42515,400.0,713.510009765625,867.4500122070309,,51900.74565,POLYGON J2000 79.56672200 -69.73800700 79.51394200 -69.75049100 79.55005600 -69.76876800 79.55025699 -69.76872053 79.58352100 -69.78520600 79.62980768 -69.77402820 79.63013000 -69.77418600 79.68233600 -69.76143100 79.68217619 -69.76135276 79.64934231 -69.74526378 79.64786528 -69.74453930 79.64544700 -69.74335300 79.61886481 -69.74984864 79.60444900 -69.74264200 79.58505339 -69.74729102 79.56672200 -69.73800700,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_ew_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004437192,2014817285,1509.05365212389,17.0,1928.0,BSDL1191,4.0,882.0,u6anfk01r
image,HST,WFPC2/WFC,HLA,F606W,OPTICAL,LIST-1,,hst_08059_ex_wfpc2_f606w_wf,79.6085466730918,-69.75328862704251,8059,Casertano,3,51903.41473,51903.42052,240.0,510.890014648438,661.1300048828131,,51904.01962,POLYGON J2000 79.61248924 -69.74643045 79.59921400 -69.73896600 79.57912982 -69.74324855 79.56226800 -69.73363700 79.50763700 -69.74512300 79.54085700 -69.76404500 79.54106528 -69.76400128 79.57171800 -69.78108100 79.61966414 -69.77077869 79.61996100 -69.77094200 79.67406100 -69.75917500 79.67391385 -69.75909406 79.64362768 -69.74241825 79.64226709 -69.74166836 79.64003500 -69.74043800 79.61248924 -69.74643045,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_ex_wfpc2_f606w_wf&size=ALL&format=jpeg&output_size=256,2004437200,2014817293,1519.3596801790802,17.0,1928.0,BSDL1191,4.0,882.0,u6anfk01r
image,HST,WFPC2/WFC,HLA,F814W,OPTICAL,LIST-1,,hst_08059_ex_wfpc2_f814w_wf,79.6085466730918,-69.75328862704251,8059,Casertano,3,51903.43071,51903.43626,400.0,713.510009765625,867.4500122070309,,51904.02626000001,POLYGON J2000 79.57171800 -69.78108100 79.61966414 -69.77077869 79.61996100 -69.77094200 79.67406100 -69.75917500 79.67391385 -69.75909406 79.64362768 -69.74241825 79.64226709 -69.74166836 79.64003500 -69.74043800 79.61248924 -69.74643045 79.59921400 -69.73896600 79.57912982 -69.74324855 79.56226800 -69.73363700 79.50763700 -69.74512300 79.54085700 -69.76404500 79.54106528 -69.76400128 79.57171800 -69.78108100,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_ex_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004437204,2014817297,1519.3596801790802,17.0,1928.0,BSDL1191,4.0,882.0,u6anfk01r
