#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#@int, ra, dec, string, Product Type, Calibration Level, Mission, Observation ID, Target Name, RA, Dec, Start Time, End Time, Exposure Time, Waveband, Filters, Target Classification, Observation Title, Release Date, Instrument, Principal Investigator, Proposal ID, Object ID, s_region, jpegURL, Product Group ID, Project, Distance (")
#@string, ra, dec, string, string, int, string, string, string, ra, dec, float, float, float, string, string, string, string, float, string, string, string, string, string, string, string, string, float
@int,ra,dec,string,dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,target_classification,obs_title,t_obs_release,instrument,proposal_pi,proposal_id,objID,s_region,jpegURL,obsid,project,distance
110,14.7802083333333,-72.1497611111111,BS90,image,3,HST,J92F01020,NGC346,14.77800533184,-72.16120041295,53199.73066,53199.81326,1830,OPTICAL,F555W,OPEN CLUSTER;STAR FORMING REGION;STELLAR CLUSTER,"Current star formation in young, compact clusters in the Small Magellanic Cloud",53564.73069,ACS/WFC,NOTA,10248,2012933191,POLYGON 14.82930319 -72.13345441 14.74043822 -72.13462354 14.72782121 -72.19001634 14.81911193 -72.18967896 14.82930319 -72.13345441 14.82930319 -72.13345441,http://archive.stsci.edu/hst/previews/J92F/J92F01020_256.jpg,2003867827,DADS,0
110,14.7802083333333,-72.1497611111111,BS90,image,3,HST,hst_05678_01_wfpc2_f336w_wf,NGC346,14.762474067611,-72.164614077226,49623.46616,49623.46903,16,OPTICAL,F336W,,,49988.71706,WFPC2/WFC,WALBORN,5678,2013479174,POLYGON J2000 14.72541191 -72.15441584 14.69530300 -72.14798400 14.65401800 -72.16613400 14.71332200 -72.17879100 14.71347851 -72.17872229 14.76769700 -72.19005300 14.80363663 -72.17392200 14.80416000 -72.17403000 14.80841462 -72.17209975 14.84452300 -72.15569800 14.78463200 -72.14332200 14.76408217 -72.15265731 14.74051200 -72.14768800 14.72541191 -72.15441584,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_05678_01_wfpc2_f336w_wf&size=ALL&format=jpeg&output_size=256,2004082676,HLA,0
110,14.7802083333333,-72.1497611111111,BS90,image,3,HST,hst_05678_01_wfpc2_f439w_wf,NGC346,14.762474067611,-72.164614077226,49623.47102,49623.47389,16,OPTICAL,F439W,,,49988.66104,WFPC2/WFC,WALBORN,5678,2013479176,POLYGON J2000 14.76769700 -72.19005300 14.80363663 -72.17392200 14.80416000 -72.17403000 14.80841462 -72.17209975 14.84452300 -72.15569800 14.78463200 -72.14332200 14.76408217 -72.15265731 14.74051200 -72.14768800 14.72541191 -72.15441584 14.69530300 -72.14798400 14.65401800 -72.16613400 14.71332200 -72.17879100 14.71347851 -72.17872229 14.76769700 -72.19005300,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_05678_01_wfpc2_f439w_wf&size=ALL&format=jpeg&output_size=256,2004082678,HLA,0
110,14.7802083333333,-72.1497611111111,BS90,image,3,HST,hst_05678_01_wfpc2_f569w_wf,NGC346,14.762474067611,-72.164614077226,49623.47588,49623.47869,6.2,OPTICAL,F569W,,,49988.67071,WFPC2/WFC,WALBORN,5678,2013479178,POLYGON J2000 14.78463200 -72.14332200 14.76408217 -72.15265731 14.74051200 -72.14768800 14.72541191 -72.15441584 14.69530300 -72.14798400 14.65401800 -72.16613400 14.71332200 -72.17879100 14.71347851 -72.17872229 14.76769700 -72.19005300 14.80363663 -72.17392200 14.80416000 -72.17403000 14.80841462 -72.17209975 14.84452300 -72.15569800 14.78463200 -72.14332200,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_05678_01_wfpc2_f569w_wf&size=ALL&format=jpeg&output_size=256,2004082680,HLA,0
110,14.7802083333333,-72.1497611111111,BS90,image,3,HST,HST_10248_01_ACS_WFC_F555W,NGC346,14.8263563473089,-72.1608994187078,53199.73067,53199.81328,1830,OPTICAL,F555W,,,53564.73069,ACS/WFC,Nota,10248,2013596340,POLYGON J2000 14.81997710 -72.18877920 14.81998687 -72.18873063 14.82118069 -72.18872029 14.82109720 -72.18925090 14.91465010 -72.18863630 14.91465792 -72.18858494 14.91589790 -72.18857650 14.91590145 -72.18855320 14.91711940 -72.18854490 14.91712722 -72.18849351 14.91834460 -72.18848520 14.92691469 -72.13194929 14.92693370 -72.13182350 14.83366940 -72.13244390 14.83366142 -72.13249502 14.83244730 -72.13250280 14.83244361 -72.13252643 14.83122990 -72.13253420 14.83122191 -72.13258528 14.82998500 -72.13259320 14.82995469 -72.13278700 14.74227980 -72.13353320 14.74226989 -72.13358155 14.74105700 -72.13359160 14.74105275 -72.13361236 14.73983990 -72.13362240 14.73983002 -72.13367058 14.73859410 -72.13368080 14.72708540 -72.18963030 14.81750730 -72.18886940 14.81751706 -72.18882091 14.81875610 -72.18881020 14.81876022 -72.18878973 14.81997710 -72.18877920,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10248_01_ACS_WFC_F555W&size=ALL&format=jpeg&output_size=256,2004199842,HLA,0
110,14.7802083333333,-72.1497611111111,BS90,image,3,HST,HST_10248_01_ACS_WFC_F814W,NGC346,14.8263590846099,-72.16089945603,53199.86569,53199.979,1940,OPTICAL,F814W,,,53564.86571,ACS/WFC,Nota,10248,2013596341,POLYGON J2000 14.81998886 -72.18872904 14.82118201 -72.18871870 14.82109840 -72.18924990 14.91464690 -72.18863510 14.91465475 -72.18858354 14.91589440 -72.18857510 14.91589798 -72.18855160 14.91711570 -72.18854330 14.91712350 -72.18849201 14.91834100 -72.18848370 14.92691312 -72.13195028 14.92693210 -72.13182470 14.83367290 -72.13244540 14.83366490 -72.13249661 14.83245090 -72.13250440 14.83244722 -72.13252792 14.83123330 -72.13253570 14.83122534 -72.13258658 14.82998820 -72.13259450 14.82995786 -72.13278844 14.74228950 -72.13353500 14.74227957 -72.13358345 14.74106700 -72.13359350 14.74106277 -72.13361415 14.73984930 -72.13362420 14.73983946 -72.13367216 14.73860270 -72.13368240 14.72709010 -72.18962930 14.81750870 -72.18886800 14.81751851 -72.18881932 14.81875780 -72.18880860 14.81876194 -72.18878804 14.81997910 -72.18877750 14.81998886 -72.18872904,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10248_01_ACS_WFC_F814W&size=ALL&format=jpeg&output_size=256,2004199843,HLA,0
110,14.7802083333333,-72.1497611111111,BS90,image,3,HST,HST_10248_a3_ACS_WFC_F555W,NGC346,14.7863805256308,-72.1755093291797,53201.65402,53201.65843,380,OPTICAL,F555W,,,53567.59045,ACS/WFC,Nota,10248,2013596388,POLYGON J2000 14.70296320 -72.14732660 14.68503260 -72.20311770 14.77555470 -72.20333040 14.79321180 -72.14753110 14.70296320 -72.14732660 POLYGON J2000 14.77910120 -72.20375020 14.87274320 -72.20414270 14.88784760 -72.14760840 14.79449210 -72.14722310 14.77910120 -72.20375020,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10248_a3_ACS_WFC_F555W&size=ALL&format=jpeg&output_size=256,2004199890,HLA,0
110,14.7802083333333,-72.1497611111111,BS90,image,3,HST,HST_10248_a3_ACS_WFC_F814W,NGC346,14.7863834205034,-72.175509403903,53201.66044,53201.66485,380,OPTICAL,F814W,,,53567.59052,ACS/WFC,Nota,10248,2013596390,POLYGON J2000 14.70297270 -72.14732860 14.68503860 -72.20311660 14.77555680 -72.20332870 14.79321740 -72.14753250 14.70297270 -72.14732860 POLYGON J2000 14.77910300 -72.20374900 14.87273980 -72.20414120 14.88784580 -72.14760960 14.79449550 -72.14722470 14.77910300 -72.20374900,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10248_a3_ACS_WFC_F814W&size=ALL&format=jpeg&output_size=256,2004199892,HLA,0
110,14.7802083333333,-72.1497611111111,BS90,image,3,HST,hst_12940_21_wfc3_uvis_f225w,SMC-ASS-45,14.7667493025121,-72.1706807528472,56202.15191,56202.15354,2,UV,F225W,,,56202.24808,WFC3/UVIS,Massey,12940,2014100904,POLYGON J2000 14.83194536 -72.19378098 14.83242140 -72.19391100 14.87821060 -72.17606820 14.87808891 -72.17603498 14.87943260 -72.17551070 14.76923429 -72.14534959 14.76911300 -72.14531630 14.72329470 -72.16313370 14.72341598 -72.16316700 14.72206880 -72.16369020 14.72225309 -72.16374080 14.67776010 -72.18095820 14.67788243 -72.18099225 14.67653320 -72.18151370 14.78566240 -72.21180960 14.83106270 -72.19420530 14.83093996 -72.19417133 14.83194536 -72.19378098,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_12940_21_wfc3_uvis_f225w&size=ALL&format=jpeg&output_size=256,2004296880,HLA,0
110,14.7802083333333,-72.1497611111111,BS90,image,3,HST,JCKK01010,NGC-346,14.77828541915,-72.16120486518,57225.84289,57225.90604,1806,OPTICAL,F555W,OB ASSOCIATION;STAR FORMING REGION;STELLAR CLUSTER;YOUNG ASSOCIATION,A 3D view of massive cluster formation in the SMC,57592.05569,ACS/WFC,SABBI,13680,2014222028,POLYGON 14.829987 -72.13261954 14.74110635 -72.13363492 14.72746909 -72.18900502 14.81875996 -72.18882556 14.829987 -72.13261954 14.829987 -72.13261954,http://archive.stsci.edu/hst/previews/JCKK/JCKK01010_256.jpg,2004339276,DADS,0
