#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#@int, ra, dec, string, Product Type, Calibration Level, Mission, Observation ID, Target Name, RA, Dec, Start Time, End Time, Exposure Time, Waveband, Filters, Target Classification, Observation Title, Release Date, Instrument, Principal Investigator, Proposal ID, Object ID, s_region, jpegURL, Product Group ID, Project, Distance (")
#@string, ra, dec, string, string, int, string, string, string, ra, dec, float, float, float, string, string, string, string, float, string, string, string, string, string, string, string, string, float
@int,ra,dec,string,dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,target_classification,obs_title,t_obs_release,instrument,proposal_pi,proposal_id,objID,s_region,jpegURL,obsid,project,distance
173,17.057375,-73.2574916666667,K57;L86,image,3,HST,hst_08059_c3_wfpc2_f606w_wf,LIST-1,17.0691939633877,-73.2396310555119,51479.78904,51479.79714,440,OPTICAL,F606W,,,51479.98978,WFPC2/WFC,CASERTANO,8059,2013524630,POLYGON J2000 17.12229100 -73.22335300 17.08863508 -73.22905713 17.07349000 -73.22145800 17.04895617 -73.22553006 17.02973600 -73.21574700 16.96302300 -73.22666000 17.00089300 -73.24591900 17.00114840 -73.24587730 17.03613000 -73.26326700 17.09470269 -73.25346857 17.09504200 -73.25363500 17.10199267 -73.25245902 17.16114600 -73.24243500 17.12229100 -73.22335300,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_c3_wfpc2_f606w_wf&size=ALL&format=jpeg&output_size=256,2004128132,HLA,0
177,17.2822083333333,-73.2057472222222,BS142,image,3,HST,hst_06535_02_wfpc2_f814w_wf,SMC-N81,17.3372817767101,-73.2083677884714,50695.08904,50695.296,21.6,OPTICAL,F814W,,,51060.62998,WFPC2/WFC,HEYDARI-MALAYERI,6535,2013497812,POLYGON J2000 17.40312300 -73.18160500 17.40288590 -73.18159593 17.40291800 -73.18152600 17.32701900 -73.17860900 17.32188482 -73.18977034 17.29187100 -73.18853500 17.28789959 -73.19661837 17.24942100 -73.19496400 17.23819000 -73.21684500 17.23842930 -73.21685531 17.23839400 -73.21692400 17.30798767 -73.21990905 17.30822449 -73.21991916 17.31416900 -73.22017300 17.31421192 -73.22008954 17.38288015 -73.22283453 17.38311800 -73.22284400 17.39238127 -73.20349854 17.39281027 -73.20351495 17.39304700 -73.20352400 17.40312300 -73.18160500,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_06535_02_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004101314,HLA,0
36,10.891,-73.4420416666667,NGC241;K22w;L29W;,image,3,HST,JCC206020,ANY,10.91494640001,-73.45311550907,56566.31618,56566.34875,1200,OPTICAL,F606W,PARALLEL FIELD;UNIDENTIFIED,Proper Motion and Internal Kinematics of the SMC: are the Magellanic Clouds bound to one another?,56931.5519,ACS/WFC,KALLIVAYALIL,13476,2012947761,POLYGON 10.974582 -73.46491679 10.9535953 -73.43791256 10.85533205 -73.44150354 10.87487271 -73.46886809 10.974582 -73.46491679 10.974582 -73.46491679,http://archive.stsci.edu/hst/previews/JCC2/JCC206020_256.jpg,2003882397,DADS,0
36,10.891,-73.4420416666667,NGC241;K22w;L29W;,image,3,HST,JCC206010,ANY,10.91139647257,-73.45359689006,56566.31053,56566.35436,440,OPTICAL,F814W,PARALLEL FIELD;UNIDENTIFIED,Proper Motion and Internal Kinematics of the SMC: are the Magellanic Clouds bound to one another?,56931.55102,ACS/WFC,KALLIVAYALIL,13476,2012947760,POLYGON 10.97103119 -73.46539915 10.95004957 -73.43839457 10.85178279 -73.44198388 10.87131825 -73.46934876 10.97103119 -73.46539915 10.97103119 -73.46539915,http://archive.stsci.edu/hst/previews/JCC2/JCC206010_256.jpg,2003882396,DADS,0
40,11.2943333333333,-73.2215472222222,H86-74;SMC_OGLE25,image,3,HST,HST_9488_c2_ACS_WFC_F475W,HIGH-GALACTIC-LATITUDE,11.2773176239016,-73.2172291676791,52929.11054,52929.14266,2367,OPTICAL,F475W,,,52929.58306,ACS/WFC,Ratnatunga,9488,2013667297,POLYGON J2000 11.37269500 -73.22264430 11.38466910 -73.19519360 11.19536470 -73.18314650 11.18309840 -73.21058620 11.37269500 -73.22264430 POLYGON J2000 11.36041700 -73.25143850 11.37359160 -73.22307040 11.18120300 -73.21161050 11.16772090 -73.23996630 11.36041700 -73.25143850,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9488_c2_ACS_WFC_F475W&size=ALL&format=jpeg&output_size=256,2004270799,HLA,0
40,11.2943333333333,-73.2215472222222,H86-74;SMC_OGLE25,image,3,HST,HST_9488_c1_ACS_WFC_F475W,HIGH-GALACTIC-LATITUDE,11.2776090719659,-73.2173442239376,52927.17826,52927.2033,1889,OPTICAL,F475W,,,52927.98782,ACS/WFC,Ratnatunga,9488,2013667294,POLYGON J2000 11.37389920 -73.22316410 11.18147870 -73.21174690 11.16807210 -73.24010570 11.36080020 -73.25153520 11.37389920 -73.22316410 POLYGON J2000 11.37300150 -73.22273820 11.38490260 -73.19528480 11.19556500 -73.18327980 11.18337150 -73.21072220 11.37300150 -73.22273820,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9488_c1_ACS_WFC_F475W&size=ALL&format=jpeg&output_size=256,2004270796,HLA,0
40,11.2943333333333,-73.2215472222222,H86-74;SMC_OGLE25,image,3,HST,HST_9488_c0_ACS_WFC_F475W,HIGH-GALACTIC-LATITUDE,11.2775519331046,-73.21656905837,52928.99873,52929.03347,1800,OPTICAL,F475W,,,52929.57472,ACS/WFC,Ratnatunga,9488,2013667290,POLYGON J2000 11.18333710 -73.20992610 11.37292540 -73.22198420 11.38489900 -73.19453360 11.19560290 -73.18248660 11.18333710 -73.20992610 POLYGON J2000 11.16795970 -73.23930600 11.36064740 -73.25077820 11.37382150 -73.22241020 11.18144130 -73.21095040 11.16795970 -73.23930600,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9488_c0_ACS_WFC_F475W&size=ALL&format=jpeg&output_size=256,2004270792,HLA,0
40,11.2943333333333,-73.2215472222222,H86-74;SMC_OGLE25,image,3,HST,HST_9488_bz_ACS_WFC_F475W,HIGH-GALACTIC-LATITUDE,11.2778371855268,-73.216370899792,52928.86747,52928.90095,1702,OPTICAL,F475W,,,52929.31236,ACS/WFC,Ratnatunga,9488,2013667286,POLYGON J2000 11.37320960 -73.22178600 11.38518300 -73.19433540 11.19588920 -73.18228850 11.18362360 -73.20972800 11.37320960 -73.22178600 POLYGON J2000 11.18172760 -73.21075230 11.16824620 -73.23910790 11.36093150 -73.25058010 11.37410550 -73.22221210 11.18172760 -73.21075230,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9488_bz_ACS_WFC_F475W&size=ALL&format=jpeg&output_size=256,2004270788,HLA,0
40,11.2943333333333,-73.2215472222222,H86-74;SMC_OGLE25,image,3,HST,HST_9488_by_ACS_WFC_F475W,HIGH-GALACTIC-LATITUDE,11.2775980316243,-73.2173507070098,52928.06973,52928.10316,1697,OPTICAL,F475W,,,52928.64356,ACS/WFC,Ratnatunga,9488,2013667282,POLYGON J2000 11.18336100 -73.21072870 11.37298980 -73.22274470 11.38489090 -73.19529140 11.19555450 -73.18328650 11.18336100 -73.21072870 POLYGON J2000 11.37388760 -73.22317050 11.18146830 -73.21175340 11.16806170 -73.24011200 11.36078860 -73.25154140 11.37388760 -73.22317050,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9488_by_ACS_WFC_F475W&size=ALL&format=jpeg&output_size=256,2004270784,HLA,0
40,11.2943333333333,-73.2215472222222,H86-74;SMC_OGLE25,image,3,HST,HST_9488_bx_ACS_WFC_F475W,HIGH-GALACTIC-LATITUDE,11.277619114822,-73.2173502987128,52927.07197,52927.10855,1673,OPTICAL,F475W,,,52927.96995,ACS/WFC,Ratnatunga,9488,2013667278,POLYGON J2000 11.16808270 -73.24011160 11.36080980 -73.25154100 11.37390870 -73.22317010 11.18148930 -73.21175300 11.16808270 -73.24011160 POLYGON J2000 11.38491210 -73.19529100 11.19557550 -73.18328600 11.18338200 -73.21072830 11.37301100 -73.22274430 11.38491210 -73.19529100,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9488_bx_ACS_WFC_F475W&size=ALL&format=jpeg&output_size=256,2004270780,HLA,0
