#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#Names, RAJ2000, DEJ2000, Type, amaj, amin, PA, Com, SimbadName, Product Type, Calibration Level, Mission, Observation ID, Target Name, RA, Dec, Start Time, End Time, Exposure Time, Waveband, Filters, Target Classification, Observation Title, Release Date, Instrument, Principal Investigator, Proposal ID, Object ID, s_region, jpegURL, Product Group ID, Project, Distance (")
#@string, ra, dec, string, string, string, string, string, string, string, int, string, string, string, ra, dec, float, float, float, string, string, string, string, float, string, string, string, string, string, string, string, string, float
Names,RAJ2000,DEJ2000,Type,amaj,amin,PA,Com,SimbadName,dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,target_classification,obs_title,t_obs_release,instrument,proposal_pi,proposal_id,objID,s_region,jpegURL,obsid,project,distance
"HDE269676,Sk-71o45",82.8125,-71.0694444444444,CN,0.4000000059604645,0.3499999940395355,120,in NGC2018,HDE269676,image,3,HST,hst_09827_07_wfpc2_f336w_wf,ANY,82.7693781576957,-71.0514958170817,53184.95851,53184.96117,100,OPTICAL,F336W,,,53550.70112,WFPC2/WFC,BIANCHI,9827,2013583338,POLYGON J2000 82.72253800 -71.06787600 82.75232460 -71.06211052 82.76593300 -71.06967300 82.78762630 -71.06555540 82.80492500 -71.07529500 82.86395500 -71.06424800 82.82989900 -71.04506600 82.82966827 -71.04510923 82.79822200 -71.02778900 82.74640413 -71.03770839 82.74609500 -71.03754000 82.74005285 -71.03871220 82.68761100 -71.04887200 82.72253800 -71.06787600,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_09827_07_wfpc2_f336w_wf&size=ALL&format=jpeg&output_size=256,2004186840,HLA,0
"HDE269676,Sk-71o45",82.8125,-71.0694444444444,CN,0.4000000059604645,0.3499999940395355,120,in NGC2018,HDE269676,image,3,HST,hst_09827_07_wfpc2_f439w_wf,ANY,82.7693781576957,-71.0514958170817,53184.96337,53184.96522,80,OPTICAL,F439W,,,53550.70135,WFPC2/WFC,BIANCHI,9827,2013583340,POLYGON J2000 82.86395500 -71.06424800 82.82989900 -71.04506600 82.82966827 -71.04510923 82.79822200 -71.02778900 82.74640413 -71.03770839 82.74609500 -71.03754000 82.74005285 -71.03871220 82.68761100 -71.04887200 82.72253800 -71.06787600 82.75232460 -71.06211052 82.76593300 -71.06967300 82.78762630 -71.06555540 82.80492500 -71.07529500 82.86395500 -71.06424800,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_09827_07_wfpc2_f439w_wf&size=ALL&format=jpeg&output_size=256,2004186842,HLA,0
"HDE269676,Sk-71o45",82.8125,-71.0694444444444,CN,0.4000000059604645,0.3499999940395355,120,in NGC2018,HDE269676,image,3,HST,hst_09827_07_wfpc2_f555w_wf,ANY,82.7693781576957,-71.0514958170817,53184.96684,53184.96834,20,OPTICAL,F555W,,,53550.7017,WFPC2/WFC,BIANCHI,9827,2013583342,POLYGON J2000 82.74640413 -71.03770839 82.74609500 -71.03754000 82.74005285 -71.03871220 82.68761100 -71.04887200 82.72253800 -71.06787600 82.75232460 -71.06211052 82.76593300 -71.06967300 82.78762630 -71.06555540 82.80492500 -71.07529500 82.86395500 -71.06424800 82.82989900 -71.04506600 82.82966827 -71.04510923 82.79822200 -71.02778900 82.74640413 -71.03770839,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_09827_07_wfpc2_f555w_wf&size=ALL&format=jpeg&output_size=256,2004186844,HLA,0
NKN-N159S-Y1,85.0541666666667,-69.8325,C,0.6399999856948853,0.6399999856948853,0,,[NKN2005] N159S-Y1,image,3,HST,hst_09827_14_wfpc2_f439w_wf,ANY,85.0549046952668,-69.839088368629,52920.06059,52920.0886,40,OPTICAL,F439W,,,53286.5565,WFPC2/WFC,BIANCHI,9827,2013583424,POLYGON J2000 85.12872800 -69.84034600 85.09651974 -69.82427921 85.09698500 -69.82416700 85.06023700 -69.80604300 85.00761700 -69.81872000 85.02631834 -69.82795106 85.00535700 -69.83290100 85.01874934 -69.83963453 84.99172900 -69.84593200 85.02768900 -69.86425300 85.07677322 -69.85280566 85.08088300 -69.85184600 85.08074516 -69.85177583 85.12872800 -69.84034600,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_09827_14_wfpc2_f439w_wf&size=ALL&format=jpeg&output_size=256,2004186926,HLA,0
"SL654,KMHK1231",85.2916666666667,-69.9044444444444,CN,1.2999999523162842,1.100000023841858,120,"mP,sup?DEML282",[SL63] 654,image,3,HST,HST_9827_14_ACS_WFC_F555W,ANY,85.2092181261826,-69.9184386292607,52920.07515,52920.08764,100,OPTICAL,F555W,,,53286.56432,ACS/WFC,Bianchi,9827,2013673682,POLYGON J2000 85.27470650 -69.95026070 85.30946590 -69.89480840 85.22706590 -69.89071370 85.19209490 -69.94614980 85.27470650 -69.95026070 POLYGON J2000 85.14610810 -69.88718160 85.10920870 -69.94178970 85.18911950 -69.94559270 85.22581740 -69.89096810 85.14610810 -69.88718160,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9827_14_ACS_WFC_F555W&size=ALL&format=jpeg&output_size=256,2004277184,HLA,0
BSDL2800,85.2833333333333,-69.9122222222222,CN,0.800000011920929,0.6499999761581421,110,"mP,sup?DEML282",BSDL2800,image,3,HST,HST_9827_14_ACS_WFC_F555W,ANY,85.2092181261826,-69.9184386292607,52920.07515,52920.08764,100,OPTICAL,F555W,,,53286.56432,ACS/WFC,Bianchi,9827,2013673682,POLYGON J2000 85.27470650 -69.95026070 85.30946590 -69.89480840 85.22706590 -69.89071370 85.19209490 -69.94614980 85.27470650 -69.95026070 POLYGON J2000 85.14610810 -69.88718160 85.10920870 -69.94178970 85.18911950 -69.94559270 85.22581740 -69.89096810 85.14610810 -69.88718160,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9827_14_ACS_WFC_F555W&size=ALL&format=jpeg&output_size=256,2004277184,HLA,0
"SL654,KMHK1231",85.2916666666667,-69.9044444444444,CN,1.2999999523162842,1.100000023841858,120,"mP,sup?DEML282",[SL63] 654,image,3,HST,J8QZ14081,ANY,85.21030640456,-69.91906978445,52920.05994,52920.06706,80,OPTICAL,F814W,PARALLEL FIELD;UNIDENTIFIED,UV extinction by dust in unexplored LMC environments,53286.51425,ACS/WFC,BIANCHI,9827,2014194079,POLYGON   85.30935441 -69.89548155  85.27549023 -69.95113524  85.10966579 -69.94227416  85.14727652 -69.88826971  85.30935441 -69.89548155,http://archive.stsci.edu/hst/previews/J8QZ/J8QZ14081_256.jpg,2004320028,DADS,0
BSDL2800,85.2833333333333,-69.9122222222222,CN,0.800000011920929,0.6499999761581421,110,"mP,sup?DEML282",BSDL2800,image,3,HST,J8QZ14081,ANY,85.21030640456,-69.91906978445,52920.05994,52920.06706,80,OPTICAL,F814W,PARALLEL FIELD;UNIDENTIFIED,UV extinction by dust in unexplored LMC environments,53286.51425,ACS/WFC,BIANCHI,9827,2014194079,POLYGON   85.30935441 -69.89548155  85.27549023 -69.95113524  85.10966579 -69.94227416  85.14727652 -69.88826971  85.30935441 -69.89548155,http://archive.stsci.edu/hst/previews/J8QZ/J8QZ14081_256.jpg,2004320028,DADS,0
BM14,85.8708333333333,-67.7525,CA,0.5,0.3499999940395355,40,,BMG 14,image,3,HST,hst_09827_03_wfpc2_f439w_wf,ANY,85.84153034663,-67.7548107975487,53147.67031,53147.67216,80,OPTICAL,F439W,,,53512.83113,WFPC2/WFC,BIANCHI,9827,2013583292,POLYGON J2000 85.78471000 -67.76406500 85.78486629 -67.76408658 85.83374320 -67.77082584 85.83600083 -67.77113668 85.83962800 -67.77163600 85.84980778 -67.76105667 85.87147200 -67.76413000 85.87902460 -67.75648930 85.90677200 -67.76049300 85.92758500 -67.73982400 85.87294800 -67.73193600 85.87286692 -67.73201657 85.82307000 -67.72503700 85.80516776 -67.74335293 85.80468300 -67.74328600 85.78471000 -67.76406500,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_09827_03_wfpc2_f439w_wf&size=ALL&format=jpeg&output_size=256,2004186794,HLA,0
NKN-N160-O4,85.0041666666666,-69.6808333333333,C,0.8999999761581421,0.8999999761581421,0,,[NKN2005] N160-O4,image,3,HST,hst_09827_13_wfpc2_f336w_wf,ANY,84.9975811392365,-69.6877148653695,53152.24323,53152.24485,40,OPTICAL,F336W,,,53517.36429,WFPC2/WFC,BIANCHI,9827,2013583410,POLYGON J2000 85.03786740 -69.69066772 85.06696400 -69.69560300 85.09494200 -69.67572900 85.03765000 -69.66600600 85.03754024 -69.66608403 84.98527000 -69.65743100 84.96106661 -69.67506115 84.96055800 -69.67497800 84.93346300 -69.69498900 84.93361961 -69.69501461 84.98495287 -69.70339669 84.98732953 -69.70378424 84.99114300 -69.70440600 85.00495054 -69.69421796 85.02768000 -69.69801900 85.03786740 -69.69066772,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_09827_13_wfpc2_f336w_wf&size=ALL&format=jpeg&output_size=256,2004186912,HLA,0
"BRHT19a,NKN-N160-Y4",85.0375,-69.6722222222222,C,0.28999999165534973,0.28999999165534973,0,"mP,in NGC2085",BRHT19a,image,3,HST,hst_09827_13_wfpc2_f336w_wf,ANY,84.9975811392365,-69.6877148653695,53152.24323,53152.24485,40,OPTICAL,F336W,,,53517.36429,WFPC2/WFC,BIANCHI,9827,2013583410,POLYGON J2000 85.03786740 -69.69066772 85.06696400 -69.69560300 85.09494200 -69.67572900 85.03765000 -69.66600600 85.03754024 -69.66608403 84.98527000 -69.65743100 84.96106661 -69.67506115 84.96055800 -69.67497800 84.93346300 -69.69498900 84.93361961 -69.69501461 84.98495287 -69.70339669 84.98732953 -69.70378424 84.99114300 -69.70440600 85.00495054 -69.69421796 85.02768000 -69.69801900 85.03786740 -69.69066772,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_09827_13_wfpc2_f336w_wf&size=ALL&format=jpeg&output_size=256,2004186912,HLA,0
