#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#Name, RA, Dec, M_V, logAge, elogAge, logMass, Source, AltName, Product Type, Calibration Level, Mission, Observation ID, Target Name, RA, Dec, Start Time, End Time, Exposure Time, Waveband, Filters, Target Classification, Observation Title, Release Date, Instrument, Principal Investigator, Proposal ID, Object ID, s_region, jpegURL, Product Group ID, Project, Distance (")
#@string, ra, dec, float, float, float, float, int, string, string, int, string, string, string, ra, dec, float, float, float, string, string, string, string, float, string, string, string, string, string, string, string, string, float
Name,RA,Dec,M_V,logAge,elogAge,logMass,Source,AltName,dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,target_classification,obs_title,t_obs_release,instrument,proposal_pi,proposal_id,objID,s_region,jpegURL,obsid,project,distance
HD32228,74.1416666666667,-66.4736111111111,-7.77,7.3,0.2,3.89,1,NA,image,3,HST,HST_9419_02_ACS_HRC_total,ANY,74.1458377135669,-66.4755518779001,52635.36028,52635.37656,1164,,DETECTION,,,53000.367,ACS/HRC,Maiz-Apellaniz,9419,2013661436,POLYGON J2000 74.13397000 -66.47742770 74.15275830 -66.48045940 74.15770360 -66.47367520 74.13891980 -66.47064410 74.13397000 -66.47742770,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9419_02_ACS_HRC_total&size=ALL&format=jpeg&output_size=256,2004264938,HLA,0
HD32228,74.1416666666667,-66.4736111111111,-7.77,7.3,0.2,3.89,1,NA,image,3,HST,HST_9419_05_ACS_WFC_F435W,N11-POS5,74.1229576878956,-66.4668235031723,52807.12345,52807.13045,466,OPTICAL,F435W,,,53173.12346,ACS/WFC,Maiz-Apellaniz,9419,2013661473,POLYGON J2000 74.19248110 -66.47246900 74.20218150 -66.44410990 74.06326610 -66.43252910 74.05341240 -66.46087950 74.19248110 -66.47246900 POLYGON J2000 74.19110970 -66.47349490 74.05405470 -66.46130710 74.04503260 -66.48874030 74.18223410 -66.50093590 74.19110970 -66.47349490,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9419_05_ACS_WFC_F435W&size=ALL&format=jpeg&output_size=256,2004264975,HLA,0
HD32228,74.1416666666667,-66.4736111111111,-7.77,7.3,0.2,3.89,1,NA,image,3,HST,HST_9419_05_ACS_WFC_F550M,N11-POS5,74.1229575688473,-66.466822416972,52807.05646,52807.09839,1379,OPTICAL,F550M,,,53173.56311,ACS/WFC,Maiz-Apellaniz,9419,2013661474,POLYGON J2000 74.04503970 -66.48873810 74.18222610 -66.50093210 74.19110210 -66.47349310 74.05406220 -66.46130680 74.04503970 -66.48873810 POLYGON J2000 74.20217520 -66.44411030 74.06327190 -66.43253070 74.05341860 -66.46087910 74.19247520 -66.47246730 74.20217520 -66.44411030,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9419_05_ACS_WFC_F550M&size=ALL&format=jpeg&output_size=256,2004264976,HLA,0
HD32228,74.1416666666667,-66.4736111111111,-7.77,7.3,0.2,3.89,1,NA,image,3,HST,HST_9419_05_ACS_WFC_F658N,N11-POS5,74.1229581735105,-66.4668220874778,52807.1326,52807.16198,813,OPTICAL,F658N,,,53173.13663,ACS/WFC,Maiz-Apellaniz,9419,2013661475,POLYGON J2000 74.18222680 -66.50093150 74.19110170 -66.47349280 74.05406390 -66.46130600 74.04504250 -66.48873690 74.18222680 -66.50093150 POLYGON J2000 74.06327310 -66.43253080 74.05342050 -66.46087890 74.19247400 -66.47246730 74.20217340 -66.44411050 74.06327310 -66.43253080,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9419_05_ACS_WFC_F658N&size=ALL&format=jpeg&output_size=256,2004264977,HLA,0
HD32228,74.1416666666667,-66.4736111111111,-7.77,7.3,0.2,3.89,1,NA,image,3,HST,HST_9419_05_ACS_WFC_F660N,N11-POS5,74.122958330451,-66.4668209609272,52807.164,52807.19791,813,OPTICAL,F660N,,,53173.16803,ACS/WFC,Maiz-Apellaniz,9419,2013661476,POLYGON J2000 74.19247060 -66.47246620 74.20217170 -66.44411010 74.06327650 -66.43253180 74.05342210 -66.46087930 74.19247060 -66.47246620 POLYGON J2000 74.18222290 -66.50092730 74.19109570 -66.47349290 74.05406840 -66.46130580 74.04504910 -66.48873240 74.18222290 -66.50092730,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9419_05_ACS_WFC_F660N&size=ALL&format=jpeg&output_size=256,2004264978,HLA,0
HD32228,74.1416666666667,-66.4736111111111,-7.77,7.3,0.2,3.89,1,NA,image,3,HST,HST_9419_05_ACS_WFC_F814W,N11-POS5,74.1229578942796,-66.4668223259136,52807.02536,52807.03237,467,OPTICAL,F814W,,,53173.02538,ACS/WFC,Maiz-Apellaniz,9419,2013661477,POLYGON J2000 74.19110260 -66.47349330 74.05406150 -66.46130560 74.04504050 -66.48873720 74.18222810 -66.50093280 74.19110260 -66.47349330 POLYGON J2000 74.19247650 -66.47246820 74.20217600 -66.44411080 74.06327070 -66.43252980 74.05341790 -66.46087860 74.19247650 -66.47246820,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9419_05_ACS_WFC_F814W&size=ALL&format=jpeg&output_size=256,2004264979,HLA,0
HD32228,74.1416666666667,-66.4736111111111,-7.77,7.3,0.2,3.89,1,NA,image,3,HST,HST_9419_05_ACS_WFC_total,N11-POS5,74.1229578980741,-66.4668222732635,52807.02536,52807.19791,3938,,DETECTION,,,53173.56311,ACS/WFC,Maiz-Apellaniz,9419,2013661478,POLYGON J2000 74.19110126 -66.47349415 74.19110170 -66.47349280 74.19109558 -66.47349226 74.19109540 -66.47349280 74.05406847 -66.46130641 74.05406390 -66.46130600 74.05406329 -66.46130787 74.05405470 -66.46130710 74.04503260 -66.48874030 74.18223410 -66.50093590 74.19110970 -66.47349490 74.19110126 -66.47349415 POLYGON J2000 74.06326610 -66.43252910 74.05341240 -66.46087950 74.19248110 -66.47246900 74.20218150 -66.44410990 74.06326610 -66.43252910,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9419_05_ACS_WFC_total&size=ALL&format=jpeg&output_size=256,2004264980,HLA,0
HD32228,74.1416666666667,-66.4736111111111,-7.77,7.3,0.2,3.89,1,NA,image,3,HST,J8DJ05011,N11-POS5,74.12191666667,-66.47015277778,52807.05809,52807.09839,1376,OPTICAL,F550M,EXT-CLUSTER;EXT-MEDIUM;HII REGION;OB ASSOCIATION,The Complete IMF of a Massive Young Cluster,53173.36175,ACS/WFC,MAIZ APELLANIZ,9419,2014190588,POLYGON   74.06512241 -66.43272149  74.20453189 -66.44399008  74.18361442 -66.50092758  74.04792941 -66.48848630  74.06512241 -66.43272149,http://archive.stsci.edu/hst/previews/J8DJ/J8DJ05011_256.jpg,2004316001,DADS,0
NGC1818,76.0575,-66.4338888888889,-9.61,7.4,0.2,4.13,4,NA,image,3,HST,IBXG01030,NGC1818,76.0615,-66.43448888889,56364.25884,56364.31414,1962,UV,F275W,GLOBULAR CLUSTER;STELLAR CLUSTER,A Panchromatic Hubble Andromeda and Triangulum Survey - Globular Cluster Sequence Calibrations,56364.64196,WFC3/UVIS,DALCANTON,12116,2012916310,POLYGON 76.07186939 -66.40375307 75.97962612 -66.42941888 76.05103328 -66.4652356 76.14365275 -66.4387982 76.07186939 -66.40375307 76.07186939 -66.40375307,http://archive.stsci.edu/hst/previews/IBXG/IBXG01030_256.jpg,2003850946,DADS,0
NGC1786,74.7829166666667,-67.7458333333333,-8.41,10.18,0.01,5.57,4,NA,image,3,HST,ICB004KCQ,NGC-1786,74.7826431133,-67.74473048319,56821.14079,56821.14194,100,OPTICAL,F814W,GLOBULAR CLUSTER;STELLAR CLUSTER,"Multiple populations in external globular glusters: the Fornax dSph, the LMC, and the SMC",57186.51999,WFC3/UVIS,MONELLI,13435,2012735845,POLYGON ICRS  74.79423165 -67.77013862  74.72473644 -67.73335337  74.77098681 -67.71917095  74.83957588 -67.75588114  74.79423165 -67.77013862,http://archive.stsci.edu/hst/previews/ICB0/ICB004KCQ_256.jpg,2002975824,DADS,0
