#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#@int, ra, dec, string, Product Type, Calibration Level, Mission, Observation ID, Target Name, RA, Dec, Start Time, End Time, Exposure Time, Waveband, Filters, Target Classification, Observation Title, Release Date, Instrument, Principal Investigator, Proposal ID, Object ID, s_region, jpegURL, Product Group ID, Project, Distance (")
#@string, ra, dec, string, string, int, string, string, string, ra, dec, float, float, float, string, string, string, string, float, string, string, string, string, string, string, string, string, float
@int,ra,dec,string,dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,target_classification,obs_title,t_obs_release,instrument,proposal_pi,proposal_id,objID,s_region,jpegURL,obsid,project,distance
68,12.801375,-73.1616944444445,NGC290;L42;ESO29SC19,image,3,HST,HST_10126_04_ACS_WFC_F814W,NGC-290,12.7964809061451,-73.1759621440202,53308.37477,53308.3869,560,OPTICAL,F814W,,,53673.37985,ACS/WFC,Olszewski,10126,2013589392,POLYGON J2000 12.67334950 -73.19170230 12.85325500 -73.21437200 12.88633350 -73.18739690 12.70666460 -73.16475600 12.67334950 -73.19170230 POLYGON J2000 12.91694980 -73.16077650 12.74066080 -73.13774210 12.70924590 -73.16386580 12.88575920 -73.18692700 12.91694980 -73.16077650,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10126_04_ACS_WFC_F814W&size=ALL&format=jpeg&output_size=256,2004192894,HLA,0
68,12.801375,-73.1616944444445,NGC290;L42;ESO29SC19,image,3,HST,HST_10126_04_ACS_WFC_total,NGC-290,12.7964815888987,-73.1759616947651,53308.3606,53308.3869,1120,,DETECTION,,,53673.37985,ACS/WFC,Olszewski,10126,2013589393,POLYGON J2000 12.67334250 -73.19170270 12.85325900 -73.21437310 12.88634060 -73.18739640 12.70666060 -73.16475490 12.67334250 -73.19170270 POLYGON J2000 12.88576110 -73.18692507 12.88576670 -73.18692580 12.91696050 -73.16077410 12.74065890 -73.13773960 12.70924070 -73.16386450 12.70924682 -73.16386530 12.88575880 -73.18692700 12.88576110 -73.18692507,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10126_04_ACS_WFC_total&size=ALL&format=jpeg&output_size=256,2004192895,HLA,0
71,12.992375,-72.9557444444444,K29;L44;SMC_OGLE74,image,3,HST,J90605010,K-29,12.97166666667,-72.95402777778,53250.5977,53250.60983,560,OPTICAL,F814W,EXT-CLUSTER;HALO;UNDESIGNATED,The 3-D Shape of the SMC: Is It Tidally Distorted?,53615.60279,ACS/WFC,OLSZEWSKI,10126,2012931744,POLYGON 13.08001683 -72.95116483 13.02378812 -72.92942709 12.86099139 -72.95776794 12.91606484 -72.98056261 13.08001683 -72.95116483 13.08001683 -72.95116483,http://archive.stsci.edu/hst/previews/J906/J90605010_256.jpg,2003866380,DADS,0
71,12.992375,-72.9557444444444,K29;L44;SMC_OGLE74,image,3,HST,J90605020,K-29,12.97166666667,-72.95402777778,53250.58353,53250.59566,560,OPTICAL,F555W,EXT-CLUSTER;HALO;UNDESIGNATED,The 3-D Shape of the SMC: Is It Tidally Distorted?,53615.58862,ACS/WFC,OLSZEWSKI,10126,2012931745,POLYGON 13.08001683 -72.95116483 13.02378812 -72.92942709 12.86099139 -72.95776794 12.91606484 -72.98056261 13.08001683 -72.95116483 13.08001683 -72.95116483,http://archive.stsci.edu/hst/previews/J906/J90605020_256.jpg,2003866381,DADS,0
71,12.992375,-72.9557444444444,K29;L44;SMC_OGLE74,image,3,HST,HST_10126_05_ACS_WFC_F435W,K-29,13.0005586305226,-72.9659132009836,53250.57632,53250.58142,440,OPTICAL,F435W,,,53615.96624,ACS/WFC,Olszewski,10126,2013589394,POLYGON J2000 12.91755850 -72.97985290 13.08137080 -72.95087020 13.02550430 -72.92857920 12.86180800 -72.95751720 12.91755850 -72.97985290 POLYGON J2000 13.08301130 -72.95100100 12.91861680 -72.98097360 12.97584040 -73.00419150 13.14035440 -72.97417280 13.08301130 -72.95100100,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10126_05_ACS_WFC_F435W&size=ALL&format=jpeg&output_size=256,2004192896,HLA,0
71,12.992375,-72.9557444444444,K29;L44;SMC_OGLE74,image,3,HST,HST_10126_05_ACS_WFC_F555W,K-29,13.0005600390124,-72.9659135108099,53250.58354,53250.59567,560,OPTICAL,F555W,,,53615.58862,ACS/WFC,Olszewski,10126,2013589395,POLYGON J2000 12.91756450 -72.97985250 13.08136750 -72.95087120 13.02550340 -72.92858060 12.86181640 -72.95751720 12.91756450 -72.97985250 POLYGON J2000 12.91862000 -72.98097320 12.97584220 -73.00419080 13.14035130 -72.97417330 13.08300950 -72.95100170 12.91862000 -72.98097320,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10126_05_ACS_WFC_F555W&size=ALL&format=jpeg&output_size=256,2004192897,HLA,0
71,12.992375,-72.9557444444444,K29;L44;SMC_OGLE74,image,3,HST,HST_10126_05_ACS_WFC_F814W,K-29,13.0005617972112,-72.9659143456855,53250.59771,53250.60984,560,OPTICAL,F814W,,,53615.60279,ACS/WFC,Olszewski,10126,2013589396,POLYGON J2000 13.08136640 -72.95087370 13.02550400 -72.92858460 12.86182490 -72.95751820 12.91757140 -72.97985200 13.08136640 -72.95087370 POLYGON J2000 12.97584490 -73.00418870 13.14034570 -72.97417360 13.08300680 -72.95100370 12.91862550 -72.98097280 12.97584490 -73.00418870,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10126_05_ACS_WFC_F814W&size=ALL&format=jpeg&output_size=256,2004192898,HLA,0
71,12.992375,-72.9557444444444,K29;L44;SMC_OGLE74,image,3,HST,HST_10126_05_ACS_WFC_total,K-29,13.0005609181118,-72.9659139282477,53250.58354,53250.60984,1120,,DETECTION,,,53615.60279,ACS/WFC,Olszewski,10126,2013589397,POLYGON J2000 13.02550340 -72.92858060 12.86181640 -72.95751720 12.91756450 -72.97985250 12.91757037 -72.97985147 13.08136630 -72.95087380 13.08136216 -72.95087215 13.08136750 -72.95087120 13.02550340 -72.92858060 POLYGON J2000 12.91862000 -72.98097320 12.97584220 -73.00419080 13.14035130 -72.97417330 13.08300950 -72.95100170 12.91862000 -72.98097320,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10126_05_ACS_WFC_total&size=ALL&format=jpeg&output_size=256,2004192899,HLA,0
110,14.7802083333333,-72.1497611111111,BS90,image,3,HST,IBY721010,SMC-ASS-45,14.77800729497,-72.17890857934,56202.15191,56202.15354,2,UV,F225W,EXT-CLUSTER;OB ASSOCIATION,The Unevolved Massive Star Content of the Magellanic Clouds,56202.24808,WFC3/UVIS,MASSEY,12940,2012916569,POLYGON 14.87898238 -72.17613204 14.76800286 -72.14592752 14.67705951 -72.18165867 14.78568485 -72.21195185 14.87898238 -72.17613204 14.87898238 -72.17613204,http://archive.stsci.edu/hst/previews/IBY7/IBY721010_256.jpg,2003851205,DADS,0
110,14.7802083333333,-72.1497611111111,BS90,image,3,HST,hst_12940_21_wfc3_uvis_f225w,SMC-ASS-45,14.7667493025121,-72.1706807528472,56202.15191,56202.15354,2,UV,F225W,,,56202.24808,WFC3/UVIS,Massey,12940,2014100904,POLYGON J2000 14.83194536 -72.19378098 14.83242140 -72.19391100 14.87821060 -72.17606820 14.87808891 -72.17603498 14.87943260 -72.17551070 14.76923429 -72.14534959 14.76911300 -72.14531630 14.72329470 -72.16313370 14.72341598 -72.16316700 14.72206880 -72.16369020 14.72225309 -72.16374080 14.67776010 -72.18095820 14.67788243 -72.18099225 14.67653320 -72.18151370 14.78566240 -72.21180960 14.83106270 -72.19420530 14.83093996 -72.19417133 14.83194536 -72.19378098,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_12940_21_wfc3_uvis_f225w&size=ALL&format=jpeg&output_size=256,2004296880,HLA,0
